['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2,HYPERSOFT,1,86566000000,2.0,True,1,True
Toro Rosso,GAS,3,HYPERSOFT,1,84876000000,3.0,True,1,True
Toro Rosso,GAS,4,HYPERSOFT,1,87707000000,4.0,True,2,True
Toro Rosso,GAS,5,HYPERSOFT,1,104408000000,5.0,True,267,False
Toro Rosso,GAS,6,SUPERSOFT,2,102148000000,1.0,True,1,False
Toro Rosso,GAS,7,SUPERSOFT,2,83375000000,2.0,True,1,True
Toro Rosso,GAS,8,SUPERSOFT,2,83413000000,3.0,True,1,True
Toro Rosso,GAS,9,SUPERSOFT,2,82896000000,4.0,True,1,True
Toro Rosso,GAS,10,SUPERSOFT,2,83010000000,5.0,True,1,True
Toro Rosso,GAS,11,SUPERSOFT,2,83113000000,6.0,True,1,True
Toro Rosso,GAS,12,SUPERSOFT,2,83483000000,7.0,True,1,True
Toro Rosso,GAS,13,SUPERSOFT,2,83583000000,8.0,True,1,True
Toro Rosso,GAS,14,SUPERSOFT,2,83961000000,9.0,True,1,True
Toro Rosso,GAS,15,SUPERSOFT,2,83974000000,10.0,True,1,True
Toro Rosso,GAS,16,SUPERSOFT,2,83699000000,11.0,True,1,True
Toro Rosso,GAS,17,SUPERSOFT,2,84426000000,12.0,True,1,True
Toro Rosso,GAS,18,SUPERSOFT,2,85302000000,13.0,True,1,True
Toro Rosso,GAS,19,SUPERSOFT,2,85667000000,14.0,True,1,True
Toro Rosso,GAS,20,SUPERSOFT,2,85310000000,15.0,True,1,True
Toro Rosso,GAS,21,SUPERSOFT,2,85359000000,16.0,True,1,True
Toro Rosso,GAS,22,SUPERSOFT,2,85494000000,17.0,True,1,True
Toro Rosso,GAS,23,SUPERSOFT,2,84973000000,18.0,True,1,True
Toro Rosso,GAS,24,SUPERSOFT,2,86412000000,19.0,True,1,True
Toro Rosso,GAS,25,SUPERSOFT,2,85709000000,20.0,True,1,True
Toro Rosso,GAS,26,SUPERSOFT,2,88164000000,21.0,True,1,False
Toro Rosso,GAS,27,SUPERSOFT,3,103917000000,1.0,True,1,False
Toro Rosso,GAS,28,SUPERSOFT,3,84063000000,2.0,True,1,True
Toro Rosso,GAS,29,SUPERSOFT,3,92433000000,3.0,True,26,False
Toro Rosso,GAS,30,SUPERSOFT,3,110969000000,4.0,True,6,False
Toro Rosso,GAS,31,SUPERSOFT,3,95224000000,5.0,True,67,False
Toro Rosso,GAS,32,SUPERSOFT,3,83926000000,6.0,True,1,True
Toro Rosso,GAS,33,SUPERSOFT,3,84473000000,7.0,True,1,True
Toro Rosso,GAS,34,SUPERSOFT,3,84586000000,8.0,True,1,True
Toro Rosso,GAS,35,SUPERSOFT,3,83969000000,9.0,True,1,True
Toro Rosso,GAS,36,SUPERSOFT,3,85491000000,10.0,True,1,True
Toro Rosso,GAS,37,SUPERSOFT,3,83728000000,11.0,True,1,True
Toro Rosso,GAS,38,SUPERSOFT,3,83923000000,12.0,True,1,True
Toro Rosso,GAS,39,SUPERSOFT,3,83475000000,13.0,True,1,True
Toro Rosso,GAS,40,SUPERSOFT,3,83890000000,14.0,True,1,True
Toro Rosso,GAS,41,SUPERSOFT,3,83922000000,15.0,True,1,True
Toro Rosso,GAS,42,SUPERSOFT,3,84069000000,16.0,True,1,True
Toro Rosso,GAS,43,SUPERSOFT,3,84014000000,17.0,True,1,True
Toro Rosso,GAS,44,SUPERSOFT,3,83421000000,18.0,True,1,True
Toro Rosso,GAS,45,SUPERSOFT,3,84742000000,19.0,True,1,True
Toro Rosso,GAS,46,SUPERSOFT,3,83893000000,20.0,True,1,True
Toro Rosso,GAS,47,SUPERSOFT,3,83698000000,21.0,True,1,True
Toro Rosso,GAS,48,SUPERSOFT,3,83098000000,22.0,True,1,True
Toro Rosso,GAS,49,SUPERSOFT,3,83630000000,23.0,True,1,True
Toro Rosso,GAS,50,SUPERSOFT,3,83553000000,24.0,True,1,True
Toro Rosso,GAS,51,SUPERSOFT,3,85826000000,25.0,True,1,True
Toro Rosso,GAS,52,SUPERSOFT,3,84083000000,26.0,True,1,True
Toro Rosso,GAS,53,SUPERSOFT,3,83320000000,27.0,True,1,True
Toro Rosso,GAS,54,SUPERSOFT,3,85232000000,28.0,True,1,True
Toro Rosso,GAS,55,SUPERSOFT,3,84203000000,29.0,True,1,True
Toro Rosso,GAS,56,SUPERSOFT,3,84110000000,30.0,True,1,True
Toro Rosso,GAS,57,SUPERSOFT,3,83970000000,31.0,True,1,True
Toro Rosso,GAS,58,SUPERSOFT,3,86600000000,32.0,True,1,True
Toro Rosso,GAS,59,SUPERSOFT,3,84248000000,33.0,True,1,True
Toro Rosso,GAS,60,SUPERSOFT,3,105680000000,34.0,True,26,False
Toro Rosso,GAS,61,SUPERSOFT,3,103710000000,35.0,True,67,False
Toro Rosso,GAS,62,SUPERSOFT,3,84262000000,36.0,True,1,True
Toro Rosso,GAS,63,SUPERSOFT,3,83515000000,37.0,True,1,True
Toro Rosso,GAS,64,SUPERSOFT,3,83181000000,38.0,True,1,True
Toro Rosso,GAS,65,SUPERSOFT,3,83509000000,39.0,True,1,True
Toro Rosso,GAS,66,SUPERSOFT,3,83467000000,40.0,True,1,True
Toro Rosso,GAS,67,SUPERSOFT,3,83004000000,41.0,True,1,True
Toro Rosso,GAS,68,SUPERSOFT,3,82756000000,42.0,True,1,True
Toro Rosso,GAS,69,SUPERSOFT,3,82755000000,43.0,True,1,True
