['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,SUPERSOFT,1,87651000000,2.0,True,1,True
Haas F1 Team,GRO,3,SUPERSOFT,1,84711000000,3.0,True,1,True
Haas F1 Team,GRO,4,SUPERSOFT,1,85891000000,4.0,True,2,True
Haas F1 Team,GRO,5,SUPERSOFT,1,102593000000,5.0,True,267,False
Haas F1 Team,GRO,6,SUPERSOFT,1,83701000000,6.0,True,1,True
Haas F1 Team,GRO,7,SUPERSOFT,1,83935000000,7.0,True,1,True
Haas F1 Team,GRO,8,SUPERSOFT,1,84447000000,8.0,True,1,True
Haas F1 Team,GRO,9,SUPERSOFT,1,84756000000,9.0,True,1,True
Haas F1 Team,GRO,10,SUPERSOFT,1,85161000000,10.0,True,1,True
Haas F1 Team,GRO,11,SUPERSOFT,1,84336000000,11.0,True,1,True
Haas F1 Team,GRO,12,SUPERSOFT,1,85301000000,12.0,True,1,True
Haas F1 Team,GRO,13,SUPERSOFT,1,84907000000,13.0,True,1,True
Haas F1 Team,GRO,14,SUPERSOFT,1,85572000000,14.0,True,1,True
Haas F1 Team,GRO,15,SUPERSOFT,1,86407000000,15.0,True,1,True
Haas F1 Team,GRO,16,SUPERSOFT,1,86031000000,16.0,True,1,True
Haas F1 Team,GRO,17,SUPERSOFT,1,85428000000,17.0,True,1,True
Haas F1 Team,GRO,18,SUPERSOFT,1,86603000000,18.0,True,1,True
Haas F1 Team,GRO,19,SUPERSOFT,1,85509000000,19.0,True,1,True
Haas F1 Team,GRO,20,SUPERSOFT,1,85313000000,20.0,True,1,True
Haas F1 Team,GRO,21,SUPERSOFT,1,85158000000,21.0,True,1,True
Haas F1 Team,GRO,22,SUPERSOFT,1,84503000000,22.0,True,1,True
Haas F1 Team,GRO,23,SUPERSOFT,1,84586000000,23.0,True,1,True
Haas F1 Team,GRO,24,SUPERSOFT,1,84970000000,24.0,True,1,True
Haas F1 Team,GRO,25,SUPERSOFT,1,86048000000,25.0,True,1,True
Haas F1 Team,GRO,26,SUPERSOFT,1,84393000000,26.0,True,1,True
Haas F1 Team,GRO,27,SUPERSOFT,1,84641000000,27.0,True,1,True
Haas F1 Team,GRO,28,SUPERSOFT,1,86640000000,28.0,True,1,True
Haas F1 Team,GRO,29,SUPERSOFT,1,86466000000,29.0,True,2,True
Haas F1 Team,GRO,30,SUPERSOFT,1,112575000000,30.0,True,26,False
Haas F1 Team,GRO,31,SUPERSOFT,1,104208000000,31.0,True,67,False
Haas F1 Team,GRO,32,SUPERSOFT,1,85935000000,32.0,True,1,True
Haas F1 Team,GRO,33,SUPERSOFT,1,86582000000,33.0,True,1,True
Haas F1 Team,GRO,34,SUPERSOFT,1,85065000000,34.0,True,1,True
Haas F1 Team,GRO,35,SUPERSOFT,1,84547000000,35.0,True,1,True
Haas F1 Team,GRO,36,SUPERSOFT,1,85131000000,36.0,True,1,True
Haas F1 Team,GRO,37,SUPERSOFT,1,84935000000,37.0,True,1,True
Haas F1 Team,GRO,38,SUPERSOFT,1,85297000000,38.0,True,1,True
Haas F1 Team,GRO,39,SUPERSOFT,1,84878000000,39.0,True,1,True
Haas F1 Team,GRO,40,SUPERSOFT,1,84840000000,40.0,True,1,True
Haas F1 Team,GRO,41,SUPERSOFT,1,84777000000,41.0,True,1,True
Haas F1 Team,GRO,42,SUPERSOFT,1,84659000000,42.0,True,1,True
Haas F1 Team,GRO,43,SUPERSOFT,1,85443000000,43.0,True,1,True
Haas F1 Team,GRO,44,SUPERSOFT,1,89904000000,44.0,True,1,False
Haas F1 Team,GRO,45,ULTRASOFT,2,99695000000,1.0,True,1,False
Haas F1 Team,GRO,46,ULTRASOFT,2,81370000000,2.0,True,1,True
Haas F1 Team,GRO,47,ULTRASOFT,2,81948000000,3.0,True,1,True
Haas F1 Team,GRO,48,ULTRASOFT,2,82672000000,4.0,True,1,True
Haas F1 Team,GRO,49,ULTRASOFT,2,84217000000,5.0,True,1,True
Haas F1 Team,GRO,50,ULTRASOFT,2,86075000000,6.0,True,1,True
Haas F1 Team,GRO,51,ULTRASOFT,2,85146000000,7.0,True,1,True
Haas F1 Team,GRO,52,ULTRASOFT,2,84355000000,8.0,True,1,True
Haas F1 Team,GRO,53,ULTRASOFT,2,86192000000,9.0,True,1,True
Haas F1 Team,GRO,54,ULTRASOFT,2,84305000000,10.0,True,1,True
Haas F1 Team,GRO,55,ULTRASOFT,2,84205000000,11.0,True,1,True
Haas F1 Team,GRO,56,ULTRASOFT,2,84180000000,12.0,True,1,True
Haas F1 Team,GRO,57,ULTRASOFT,2,84756000000,13.0,True,1,True
Haas F1 Team,GRO,58,ULTRASOFT,2,85035000000,14.0,True,1,True
Haas F1 Team,GRO,59,ULTRASOFT,2,85531000000,15.0,True,2,True
Haas F1 Team,GRO,60,ULTRASOFT,2,113751000000,16.0,True,26,False
Haas F1 Team,GRO,61,HYPERSOFT,3,109556000000,1.0,True,67,False
Haas F1 Team,GRO,62,HYPERSOFT,3,82196000000,2.0,True,1,True
Haas F1 Team,GRO,63,HYPERSOFT,3,82166000000,3.0,True,1,True
Haas F1 Team,GRO,64,HYPERSOFT,3,81438000000,4.0,True,1,True
Haas F1 Team,GRO,65,HYPERSOFT,3,82012000000,5.0,True,1,True
Haas F1 Team,GRO,66,HYPERSOFT,3,81613000000,6.0,True,1,True
Haas F1 Team,GRO,67,HYPERSOFT,3,82302000000,7.0,True,1,True
Haas F1 Team,GRO,68,HYPERSOFT,3,85082000000,8.0,True,1,True
