['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2,HYPERSOFT,1,83965000000,5.0,False,1,True
Sauber,LEC,3,HYPERSOFT,1,83624000000,6.0,False,1,True
Sauber,LEC,4,HYPERSOFT,1,83359000000,7.0,False,2,True
Sauber,LEC,5,HYPERSOFT,1,101425000000,8.0,False,267,False
Sauber,LEC,6,HYPERSOFT,1,83341000000,9.0,False,1,True
Sauber,LEC,7,HYPERSOFT,1,83750000000,10.0,False,1,True
Sauber,LEC,8,HYPERSOFT,1,83531000000,11.0,False,1,True
Sauber,LEC,9,HYPERSOFT,1,84493000000,12.0,False,1,True
Sauber,LEC,10,HYPERSOFT,1,85654000000,13.0,False,1,True
Sauber,LEC,11,HYPERSOFT,1,85372000000,14.0,False,1,True
Sauber,LEC,12,HYPERSOFT,1,85636000000,15.0,False,1,True
Sauber,LEC,13,HYPERSOFT,1,88335000000,16.0,False,1,False
Sauber,LEC,14,SUPERSOFT,2,101537000000,1.0,True,1,False
Sauber,LEC,15,SUPERSOFT,2,84322000000,2.0,True,1,True
Sauber,LEC,16,SUPERSOFT,2,84135000000,3.0,True,1,True
Sauber,LEC,17,SUPERSOFT,2,84030000000,4.0,True,1,True
Sauber,LEC,18,SUPERSOFT,2,85279000000,5.0,True,1,True
Sauber,LEC,19,SUPERSOFT,2,85319000000,6.0,True,1,True
Sauber,LEC,20,SUPERSOFT,2,85191000000,7.0,True,1,True
Sauber,LEC,21,SUPERSOFT,2,84548000000,8.0,True,1,True
Sauber,LEC,22,SUPERSOFT,2,84356000000,9.0,True,1,True
Sauber,LEC,23,SUPERSOFT,2,84040000000,10.0,True,1,True
Sauber,LEC,24,SUPERSOFT,2,83640000000,11.0,True,1,True
Sauber,LEC,25,SUPERSOFT,2,84417000000,12.0,True,1,True
Sauber,LEC,26,SUPERSOFT,2,86436000000,13.0,True,1,True
Sauber,LEC,27,SUPERSOFT,2,84924000000,14.0,True,1,True
Sauber,LEC,28,SUPERSOFT,2,84632000000,15.0,True,1,True
Sauber,LEC,29,SUPERSOFT,2,84453000000,16.0,True,2,True
Sauber,LEC,30,SUPERSOFT,2,107478000000,17.0,True,26,False
Sauber,LEC,31,SUPERSOFT,2,107364000000,18.0,True,67,False
Sauber,LEC,32,SUPERSOFT,2,86220000000,19.0,True,1,True
Sauber,LEC,33,SUPERSOFT,2,87017000000,20.0,True,1,True
Sauber,LEC,34,SUPERSOFT,2,86456000000,21.0,True,1,True
Sauber,LEC,35,SUPERSOFT,2,85798000000,22.0,True,1,True
Sauber,LEC,36,SUPERSOFT,2,84637000000,23.0,True,1,True
Sauber,LEC,37,SUPERSOFT,2,85014000000,24.0,True,1,True
Sauber,LEC,38,SUPERSOFT,2,84171000000,25.0,True,1,True
Sauber,LEC,39,SUPERSOFT,2,84747000000,26.0,True,1,True
Sauber,LEC,40,SUPERSOFT,2,85269000000,27.0,True,1,True
Sauber,LEC,41,SUPERSOFT,2,85124000000,28.0,True,1,True
Sauber,LEC,42,SUPERSOFT,2,84714000000,29.0,True,1,True
Sauber,LEC,43,SUPERSOFT,2,84662000000,30.0,True,1,True
Sauber,LEC,44,SUPERSOFT,2,84591000000,31.0,True,1,True
Sauber,LEC,45,SUPERSOFT,2,84312000000,32.0,True,1,True
Sauber,LEC,46,SUPERSOFT,2,85003000000,33.0,True,1,True
Sauber,LEC,47,SUPERSOFT,2,84692000000,34.0,True,1,True
Sauber,LEC,48,SUPERSOFT,2,84791000000,35.0,True,1,True
Sauber,LEC,49,SUPERSOFT,2,84204000000,36.0,True,1,True
Sauber,LEC,50,SUPERSOFT,2,84758000000,37.0,True,1,True
Sauber,LEC,51,SUPERSOFT,2,84437000000,38.0,True,1,True
Sauber,LEC,52,SUPERSOFT,2,84291000000,39.0,True,1,True
Sauber,LEC,53,SUPERSOFT,2,83864000000,40.0,True,1,True
Sauber,LEC,54,SUPERSOFT,2,84619000000,41.0,True,1,True
Sauber,LEC,55,SUPERSOFT,2,83253000000,42.0,True,1,True
Sauber,LEC,56,SUPERSOFT,2,83063000000,43.0,True,1,True
Sauber,LEC,57,SUPERSOFT,2,86671000000,44.0,True,1,True
Sauber,LEC,58,SUPERSOFT,2,82679000000,45.0,True,1,True
Sauber,LEC,59,SUPERSOFT,2,82923000000,46.0,True,1,True
Sauber,LEC,60,SUPERSOFT,2,99350000000,47.0,True,26,False
Sauber,LEC,61,SUPERSOFT,2,108788000000,48.0,True,67,False
Sauber,LEC,62,SUPERSOFT,2,81733000000,49.0,True,1,True
Sauber,LEC,63,SUPERSOFT,2,81138000000,50.0,True,1,True
Sauber,LEC,64,SUPERSOFT,2,81250000000,51.0,True,1,True
Sauber,LEC,65,SUPERSOFT,2,82077000000,52.0,True,1,True
Sauber,LEC,66,SUPERSOFT,2,80951000000,53.0,True,1,True
Sauber,LEC,67,SUPERSOFT,2,80537000000,54.0,True,1,True
Sauber,LEC,68,SUPERSOFT,2,80684000000,55.0,True,1,True
Sauber,LEC,69,SUPERSOFT,2,81879000000,56.0,True,1,True
