['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2,SUPERSOFT,2,106839000000,6.0,False,1,False
Racing Point,OCO,3,SUPERSOFT,2,82749000000,7.0,False,1,True
Racing Point,OCO,4,SUPERSOFT,2,92107000000,8.0,False,26,False
Racing Point,OCO,5,SUPERSOFT,2,92097000000,9.0,False,67,False
Racing Point,OCO,6,SUPERSOFT,2,82629000000,10.0,False,1,True
Racing Point,OCO,7,SUPERSOFT,2,82890000000,11.0,False,1,True
Racing Point,OCO,8,SUPERSOFT,2,83142000000,12.0,False,1,True
Racing Point,OCO,9,SUPERSOFT,2,83359000000,13.0,False,1,True
Racing Point,OCO,10,SUPERSOFT,2,83641000000,14.0,False,1,True
Racing Point,OCO,11,SUPERSOFT,2,84130000000,15.0,False,1,True
Racing Point,OCO,12,SUPERSOFT,2,84912000000,16.0,False,1,True
Racing Point,OCO,13,SUPERSOFT,2,84827000000,17.0,False,1,True
Racing Point,OCO,14,SUPERSOFT,2,84849000000,18.0,False,1,True
Racing Point,OCO,15,SUPERSOFT,2,84839000000,19.0,False,1,True
Racing Point,OCO,16,SUPERSOFT,2,85986000000,20.0,False,1,True
Racing Point,OCO,17,SUPERSOFT,2,85247000000,21.0,False,1,True
Racing Point,OCO,18,SUPERSOFT,2,85347000000,22.0,False,1,True
Racing Point,OCO,19,SUPERSOFT,2,85790000000,23.0,False,1,True
Racing Point,OCO,20,SUPERSOFT,2,85349000000,24.0,False,1,True
Racing Point,OCO,21,SUPERSOFT,2,85146000000,25.0,False,1,True
Racing Point,OCO,22,SUPERSOFT,2,85106000000,26.0,False,1,True
Racing Point,OCO,23,SUPERSOFT,2,85075000000,27.0,False,1,True
Racing Point,OCO,24,SUPERSOFT,2,85407000000,28.0,False,1,True
Racing Point,OCO,25,SUPERSOFT,2,84765000000,29.0,False,1,True
Racing Point,OCO,26,SUPERSOFT,2,84221000000,30.0,False,1,True
Racing Point,OCO,27,SUPERSOFT,2,84247000000,31.0,False,1,True
Racing Point,OCO,28,SUPERSOFT,2,85734000000,32.0,False,1,True
Racing Point,OCO,29,SUPERSOFT,2,86403000000,33.0,False,26,False
Racing Point,OCO,30,SUPERSOFT,2,114369000000,34.0,False,6,False
Racing Point,OCO,31,ULTRASOFT,3,112390000000,4.0,False,67,False
Racing Point,OCO,32,ULTRASOFT,3,83785000000,5.0,False,1,True
Racing Point,OCO,33,ULTRASOFT,3,83701000000,6.0,False,1,True
Racing Point,OCO,34,ULTRASOFT,3,84463000000,7.0,False,1,True
Racing Point,OCO,35,ULTRASOFT,3,83648000000,8.0,False,1,True
Racing Point,OCO,36,ULTRASOFT,3,84634000000,9.0,False,1,True
Racing Point,OCO,37,ULTRASOFT,3,84496000000,10.0,False,1,True
Racing Point,OCO,38,ULTRASOFT,3,85991000000,11.0,False,1,True
Racing Point,OCO,39,ULTRASOFT,3,84646000000,12.0,False,1,True
Racing Point,OCO,40,ULTRASOFT,3,84602000000,13.0,False,1,True
Racing Point,OCO,41,ULTRASOFT,3,84550000000,14.0,False,1,True
Racing Point,OCO,42,ULTRASOFT,3,84828000000,15.0,False,1,True
Racing Point,OCO,43,ULTRASOFT,3,84684000000,16.0,False,1,True
Racing Point,OCO,44,ULTRASOFT,3,84982000000,17.0,False,1,True
Racing Point,OCO,45,ULTRASOFT,3,83801000000,18.0,False,1,True
Racing Point,OCO,46,ULTRASOFT,3,85649000000,19.0,False,1,True
Racing Point,OCO,47,ULTRASOFT,3,84051000000,20.0,False,1,True
Racing Point,OCO,48,ULTRASOFT,3,83842000000,21.0,False,1,True
Racing Point,OCO,49,ULTRASOFT,3,84500000000,22.0,False,1,True
Racing Point,OCO,50,ULTRASOFT,3,84451000000,23.0,False,1,True
Racing Point,OCO,51,ULTRASOFT,3,84884000000,24.0,False,1,True
Racing Point,OCO,52,ULTRASOFT,3,85161000000,25.0,False,1,True
Racing Point,OCO,53,ULTRASOFT,3,87029000000,26.0,False,1,True
Racing Point,OCO,54,ULTRASOFT,3,84703000000,27.0,False,1,True
Racing Point,OCO,55,ULTRASOFT,3,84634000000,28.0,False,1,True
Racing Point,OCO,56,ULTRASOFT,3,86172000000,29.0,False,1,True
Racing Point,OCO,57,ULTRASOFT,3,84332000000,30.0,False,1,True
Racing Point,OCO,58,ULTRASOFT,3,84705000000,31.0,False,1,True
Racing Point,OCO,59,ULTRASOFT,3,84930000000,32.0,False,2,True
Racing Point,OCO,60,ULTRASOFT,3,107031000000,33.0,False,26,False
Racing Point,OCO,61,ULTRASOFT,3,100705000000,34.0,False,67,False
Racing Point,OCO,62,ULTRASOFT,3,84040000000,35.0,False,1,True
Racing Point,OCO,63,ULTRASOFT,3,83523000000,36.0,False,1,True
Racing Point,OCO,64,ULTRASOFT,3,83358000000,37.0,False,1,True
Racing Point,OCO,65,ULTRASOFT,3,83544000000,38.0,False,1,True
Racing Point,OCO,66,ULTRASOFT,3,83500000000,39.0,False,1,True
Racing Point,OCO,67,ULTRASOFT,3,83433000000,40.0,False,1,True
Racing Point,OCO,68,ULTRASOFT,3,83382000000,41.0,False,1,True
Racing Point,OCO,69,ULTRASOFT,3,83390000000,42.0,False,1,True
