['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,PER,2,SUPERSOFT,1,84416000000,2.0,True,1,True
Racing Point,PER,3,SUPERSOFT,1,84078000000,3.0,True,1,True
Racing Point,PER,4,SUPERSOFT,1,83975000000,4.0,True,2,True
Racing Point,PER,5,SUPERSOFT,1,100916000000,5.0,True,267,False
Racing Point,PER,6,SUPERSOFT,1,83545000000,6.0,True,1,True
Racing Point,PER,7,SUPERSOFT,1,84256000000,7.0,True,1,True
Racing Point,PER,8,SUPERSOFT,1,84826000000,8.0,True,1,True
Racing Point,PER,9,SUPERSOFT,1,84762000000,9.0,True,1,True
Racing Point,PER,10,SUPERSOFT,1,85542000000,10.0,True,1,True
Racing Point,PER,11,SUPERSOFT,1,87347000000,11.0,True,1,True
Racing Point,PER,12,SUPERSOFT,1,86658000000,12.0,True,1,True
Racing Point,PER,13,SUPERSOFT,1,86389000000,13.0,True,1,True
Racing Point,PER,14,SUPERSOFT,1,83633000000,14.0,True,1,True
Racing Point,PER,15,SUPERSOFT,1,83974000000,15.0,True,1,True
Racing Point,PER,16,SUPERSOFT,1,83583000000,16.0,True,1,True
Racing Point,PER,17,SUPERSOFT,1,83753000000,17.0,True,1,True
Racing Point,PER,18,SUPERSOFT,1,84046000000,18.0,True,1,True
Racing Point,PER,19,SUPERSOFT,1,84465000000,19.0,True,1,True
Racing Point,PER,20,SUPERSOFT,1,84054000000,20.0,True,1,True
Racing Point,PER,21,SUPERSOFT,1,84332000000,21.0,True,1,True
Racing Point,PER,22,SUPERSOFT,1,84701000000,22.0,True,1,True
Racing Point,PER,23,SUPERSOFT,1,84538000000,23.0,True,1,True
Racing Point,PER,24,SUPERSOFT,1,84664000000,24.0,True,1,True
Racing Point,PER,25,SUPERSOFT,1,84903000000,25.0,True,1,True
Racing Point,PER,26,SUPERSOFT,1,84370000000,26.0,True,1,True
Racing Point,PER,27,SUPERSOFT,1,84798000000,27.0,True,1,True
Racing Point,PER,28,SUPERSOFT,1,84284000000,28.0,True,1,True
Racing Point,PER,29,SUPERSOFT,1,83837000000,29.0,True,2,True
Racing Point,PER,30,SUPERSOFT,1,109679000000,30.0,True,26,False
Racing Point,PER,31,ULTRASOFT,2,123872000000,4.0,False,67,False
Racing Point,PER,32,ULTRASOFT,2,84174000000,5.0,False,1,True
Racing Point,PER,33,ULTRASOFT,2,87025000000,6.0,False,1,True
Racing Point,PER,34,ULTRASOFT,2,84442000000,7.0,False,1,True
Racing Point,PER,35,ULTRASOFT,2,84451000000,8.0,False,1,True
Racing Point,PER,36,ULTRASOFT,2,86225000000,9.0,False,1,True
Racing Point,PER,37,ULTRASOFT,2,87517000000,10.0,False,1,True
Racing Point,PER,38,ULTRASOFT,2,102831000000,11.0,False,1,False
