['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2,ULTRASOFT,1,81553000000,5.0,False,1,True
Red Bull Racing,RIC,3,ULTRASOFT,1,81694000000,6.0,False,1,True
Red Bull Racing,RIC,4,ULTRASOFT,1,81369000000,7.0,False,1,True
Red Bull Racing,RIC,5,ULTRASOFT,1,99891000000,8.0,False,267,False
Red Bull Racing,RIC,6,ULTRASOFT,1,82074000000,9.0,False,1,True
Red Bull Racing,RIC,7,ULTRASOFT,1,81322000000,10.0,False,1,True
Red Bull Racing,RIC,8,ULTRASOFT,1,81609000000,11.0,False,1,True
Red Bull Racing,RIC,9,ULTRASOFT,1,81878000000,12.0,False,1,True
Red Bull Racing,RIC,10,ULTRASOFT,1,82510000000,13.0,False,1,True
Red Bull Racing,RIC,11,ULTRASOFT,1,83433000000,14.0,False,1,True
Red Bull Racing,RIC,12,ULTRASOFT,1,85232000000,15.0,False,1,False
Red Bull Racing,RIC,13,SUPERSOFT,2,100006000000,1.0,True,1,False
Red Bull Racing,RIC,14,SUPERSOFT,2,81623000000,2.0,True,1,True
Red Bull Racing,RIC,15,SUPERSOFT,2,81004000000,3.0,True,1,True
Red Bull Racing,RIC,16,SUPERSOFT,2,82555000000,4.0,True,1,True
Red Bull Racing,RIC,17,SUPERSOFT,2,82196000000,5.0,True,1,True
Red Bull Racing,RIC,18,SUPERSOFT,2,82491000000,6.0,True,1,True
Red Bull Racing,RIC,19,SUPERSOFT,2,81940000000,7.0,True,1,True
Red Bull Racing,RIC,20,SUPERSOFT,2,81810000000,8.0,True,1,True
Red Bull Racing,RIC,21,SUPERSOFT,2,81544000000,9.0,True,1,True
Red Bull Racing,RIC,22,SUPERSOFT,2,81289000000,10.0,True,1,True
Red Bull Racing,RIC,23,SUPERSOFT,2,81034000000,11.0,True,1,True
Red Bull Racing,RIC,24,SUPERSOFT,2,81455000000,12.0,True,1,True
Red Bull Racing,RIC,25,SUPERSOFT,2,81399000000,13.0,True,1,True
Red Bull Racing,RIC,26,SUPERSOFT,2,81740000000,14.0,True,1,True
Red Bull Racing,RIC,27,SUPERSOFT,2,81945000000,15.0,True,1,True
Red Bull Racing,RIC,28,SUPERSOFT,2,82169000000,16.0,True,1,True
Red Bull Racing,RIC,29,SUPERSOFT,2,82823000000,17.0,True,1,True
Red Bull Racing,RIC,30,SUPERSOFT,2,82937000000,18.0,True,2,True
Red Bull Racing,RIC,31,SUPERSOFT,2,112689000000,19.0,True,26,False
Red Bull Racing,RIC,32,SUPERSOFT,2,101697000000,20.0,True,67,False
Red Bull Racing,RIC,33,SUPERSOFT,2,82670000000,21.0,True,1,True
Red Bull Racing,RIC,34,SUPERSOFT,2,83403000000,22.0,True,1,True
Red Bull Racing,RIC,35,SUPERSOFT,2,82868000000,23.0,True,1,True
Red Bull Racing,RIC,36,SUPERSOFT,2,82570000000,24.0,True,1,True
Red Bull Racing,RIC,37,SUPERSOFT,2,81808000000,25.0,True,1,True
Red Bull Racing,RIC,38,SUPERSOFT,2,81531000000,26.0,True,1,True
Red Bull Racing,RIC,39,SUPERSOFT,2,81723000000,27.0,True,1,True
Red Bull Racing,RIC,40,SUPERSOFT,2,81027000000,28.0,True,1,True
Red Bull Racing,RIC,41,SUPERSOFT,2,80735000000,29.0,True,1,True
Red Bull Racing,RIC,42,SUPERSOFT,2,80888000000,30.0,True,1,False
Red Bull Racing,RIC,43,SUPERSOFT,2,81199000000,31.0,True,1,True
Red Bull Racing,RIC,44,SUPERSOFT,2,81011000000,32.0,True,1,True
Red Bull Racing,RIC,45,SUPERSOFT,2,82444000000,33.0,True,1,True
Red Bull Racing,RIC,46,SUPERSOFT,2,81790000000,34.0,True,1,True
Red Bull Racing,RIC,47,SUPERSOFT,2,81035000000,35.0,True,1,True
Red Bull Racing,RIC,48,SUPERSOFT,2,80766000000,36.0,True,1,True
Red Bull Racing,RIC,49,SUPERSOFT,2,80913000000,37.0,True,1,True
Red Bull Racing,RIC,50,SUPERSOFT,2,81085000000,38.0,True,1,True
Red Bull Racing,RIC,51,SUPERSOFT,2,80723000000,39.0,True,1,True
Red Bull Racing,RIC,52,SUPERSOFT,2,81442000000,40.0,True,1,True
Red Bull Racing,RIC,53,SUPERSOFT,2,80873000000,41.0,True,1,True
Red Bull Racing,RIC,54,SUPERSOFT,2,81216000000,42.0,True,1,True
Red Bull Racing,RIC,55,SUPERSOFT,2,81782000000,43.0,True,1,True
Red Bull Racing,RIC,56,SUPERSOFT,2,81445000000,44.0,True,1,True
Red Bull Racing,RIC,57,SUPERSOFT,2,79462000000,45.0,True,1,True
Red Bull Racing,RIC,58,SUPERSOFT,2,80536000000,46.0,True,1,True
Red Bull Racing,RIC,59,SUPERSOFT,2,80780000000,47.0,True,1,True
Red Bull Racing,RIC,60,SUPERSOFT,2,80327000000,48.0,True,1,True
Red Bull Racing,RIC,61,SUPERSOFT,2,80370000000,49.0,True,1,True
