['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,SAI,2,HYPERSOFT,1,83830000000,5.0,False,1,True
Renault,SAI,3,HYPERSOFT,1,83398000000,6.0,False,1,True
Renault,SAI,4,HYPERSOFT,1,82891000000,7.0,False,2,True
Renault,SAI,5,HYPERSOFT,1,101334000000,8.0,False,267,False
Renault,SAI,6,HYPERSOFT,1,82386000000,9.0,False,1,True
Renault,SAI,7,HYPERSOFT,1,83136000000,10.0,False,1,True
Renault,SAI,8,HYPERSOFT,1,83611000000,11.0,False,1,True
Renault,SAI,9,HYPERSOFT,1,83850000000,12.0,False,1,True
Renault,SAI,10,HYPERSOFT,1,84052000000,13.0,False,1,True
Renault,SAI,11,HYPERSOFT,1,87476000000,14.0,False,1,False
Renault,SAI,12,SUPERSOFT,2,102416000000,1.0,True,1,False
Renault,SAI,13,SUPERSOFT,2,84847000000,2.0,True,1,True
Renault,SAI,14,SUPERSOFT,2,85705000000,3.0,True,1,True
Renault,SAI,15,SUPERSOFT,2,83846000000,4.0,True,1,True
Renault,SAI,16,SUPERSOFT,2,83750000000,5.0,True,1,True
Renault,SAI,17,SUPERSOFT,2,84139000000,6.0,True,1,True
Renault,SAI,18,SUPERSOFT,2,84302000000,7.0,True,1,True
Renault,SAI,19,SUPERSOFT,2,84410000000,8.0,True,1,True
Renault,SAI,20,SUPERSOFT,2,84557000000,9.0,True,1,True
Renault,SAI,21,SUPERSOFT,2,83819000000,10.0,True,1,True
Renault,SAI,22,SUPERSOFT,2,84985000000,11.0,True,1,True
Renault,SAI,23,SUPERSOFT,2,84205000000,12.0,True,1,True
Renault,SAI,24,SUPERSOFT,2,84793000000,13.0,True,1,True
Renault,SAI,25,SUPERSOFT,2,84983000000,14.0,True,1,True
Renault,SAI,26,SUPERSOFT,2,85192000000,15.0,True,1,True
Renault,SAI,27,SUPERSOFT,2,84577000000,16.0,True,1,True
Renault,SAI,28,SUPERSOFT,2,84139000000,17.0,True,1,True
