['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2,ULTRASOFT,1,85715000000,2.0,True,1,True
Williams,STR,3,ULTRASOFT,1,84314000000,3.0,True,1,True
Williams,STR,4,ULTRASOFT,1,84567000000,4.0,True,2,True
Williams,STR,5,ULTRASOFT,1,101542000000,5.0,True,267,False
Williams,STR,6,ULTRASOFT,1,83290000000,6.0,True,1,True
Williams,STR,7,ULTRASOFT,1,83678000000,7.0,True,1,True
Williams,STR,8,ULTRASOFT,1,84210000000,8.0,True,1,True
Williams,STR,9,ULTRASOFT,1,84958000000,9.0,True,1,True
Williams,STR,10,ULTRASOFT,1,90579000000,10.0,True,1,False
Williams,STR,11,ULTRASOFT,2,104755000000,1.0,True,1,False
Williams,STR,12,ULTRASOFT,2,83632000000,2.0,True,1,True
Williams,STR,13,ULTRASOFT,2,83573000000,3.0,True,1,True
Williams,STR,14,ULTRASOFT,2,84297000000,4.0,True,1,True
Williams,STR,15,ULTRASOFT,2,84544000000,5.0,True,1,True
Williams,STR,16,ULTRASOFT,2,83852000000,6.0,True,1,True
Williams,STR,17,ULTRASOFT,2,83822000000,7.0,True,1,True
Williams,STR,18,ULTRASOFT,2,83940000000,8.0,True,1,True
Williams,STR,19,ULTRASOFT,2,84290000000,9.0,True,1,True
Williams,STR,20,ULTRASOFT,2,84684000000,10.0,True,1,True
Williams,STR,21,ULTRASOFT,2,85330000000,11.0,True,1,True
Williams,STR,22,ULTRASOFT,2,85058000000,12.0,True,1,True
Williams,STR,23,ULTRASOFT,2,88653000000,13.0,True,1,False
Williams,STR,24,SUPERSOFT,3,102627000000,1.0,True,1,False
Williams,STR,25,SUPERSOFT,3,83276000000,2.0,True,1,True
Williams,STR,26,SUPERSOFT,3,83001000000,3.0,True,1,True
Williams,STR,27,SUPERSOFT,3,82983000000,4.0,True,1,True
Williams,STR,28,SUPERSOFT,3,84845000000,5.0,True,1,True
Williams,STR,29,SUPERSOFT,3,88689000000,6.0,True,26,False
Williams,STR,30,SUPERSOFT,3,109564000000,7.0,True,6,False
Williams,STR,31,SUPERSOFT,3,97997000000,8.0,True,67,False
Williams,STR,32,SUPERSOFT,3,84618000000,9.0,True,1,True
Williams,STR,33,SUPERSOFT,3,83822000000,10.0,True,1,True
Williams,STR,34,SUPERSOFT,3,83664000000,11.0,True,1,True
Williams,STR,35,SUPERSOFT,3,83556000000,12.0,True,1,True
Williams,STR,36,SUPERSOFT,3,83944000000,13.0,True,1,True
Williams,STR,37,SUPERSOFT,3,84511000000,14.0,True,1,True
Williams,STR,38,SUPERSOFT,3,85993000000,15.0,True,1,True
Williams,STR,39,SUPERSOFT,3,85477000000,16.0,True,1,True
Williams,STR,40,SUPERSOFT,3,84785000000,17.0,True,1,True
Williams,STR,41,SUPERSOFT,3,84469000000,18.0,True,1,True
Williams,STR,42,SUPERSOFT,3,84341000000,19.0,True,1,True
Williams,STR,43,SUPERSOFT,3,84845000000,20.0,True,1,True
Williams,STR,44,SUPERSOFT,3,84833000000,21.0,True,1,True
Williams,STR,45,SUPERSOFT,3,84396000000,22.0,True,1,True
Williams,STR,46,SUPERSOFT,3,85266000000,23.0,True,1,True
Williams,STR,47,SUPERSOFT,3,84150000000,24.0,True,1,True
Williams,STR,48,SUPERSOFT,3,84130000000,25.0,True,1,True
Williams,STR,49,SUPERSOFT,3,85598000000,26.0,True,1,True
Williams,STR,50,SUPERSOFT,3,84314000000,27.0,True,1,True
Williams,STR,51,SUPERSOFT,3,85903000000,28.0,True,1,True
Williams,STR,52,SUPERSOFT,3,85425000000,29.0,True,1,True
Williams,STR,53,SUPERSOFT,3,84460000000,30.0,True,1,True
Williams,STR,54,SUPERSOFT,3,84152000000,31.0,True,1,True
Williams,STR,55,SUPERSOFT,3,84328000000,32.0,True,1,True
Williams,STR,56,SUPERSOFT,3,86164000000,33.0,True,1,True
Williams,STR,57,SUPERSOFT,3,84383000000,34.0,True,1,True
Williams,STR,58,SUPERSOFT,3,84813000000,35.0,True,1,True
Williams,STR,59,SUPERSOFT,3,85113000000,36.0,True,2,True
Williams,STR,60,SUPERSOFT,3,107461000000,37.0,True,26,False
Williams,STR,61,SUPERSOFT,3,100656000000,38.0,True,67,False
Williams,STR,62,SUPERSOFT,3,84493000000,39.0,True,1,True
Williams,STR,63,SUPERSOFT,3,83956000000,40.0,True,1,True
Williams,STR,64,SUPERSOFT,3,84086000000,41.0,True,1,True
Williams,STR,65,SUPERSOFT,3,83671000000,42.0,True,1,True
Williams,STR,66,SUPERSOFT,3,83204000000,43.0,True,1,True
Williams,STR,67,SUPERSOFT,3,83233000000,44.0,True,1,True
Williams,STR,68,SUPERSOFT,3,83525000000,45.0,True,1,True
Williams,STR,69,SUPERSOFT,3,83745000000,46.0,True,1,False
