['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2,ULTRASOFT,1,86274000000,2.0,True,1,True
McLaren,VAN,3,ULTRASOFT,1,84867000000,3.0,True,1,True
McLaren,VAN,4,ULTRASOFT,1,84427000000,4.0,True,2,True
McLaren,VAN,5,ULTRASOFT,1,102308000000,5.0,True,267,False
McLaren,VAN,6,ULTRASOFT,1,83545000000,6.0,True,1,True
McLaren,VAN,7,ULTRASOFT,1,83549000000,7.0,True,1,True
McLaren,VAN,8,ULTRASOFT,1,83756000000,8.0,True,1,True
McLaren,VAN,9,ULTRASOFT,1,83988000000,9.0,True,1,True
McLaren,VAN,10,ULTRASOFT,1,85109000000,10.0,True,1,True
McLaren,VAN,11,ULTRASOFT,1,84899000000,11.0,True,1,True
McLaren,VAN,12,ULTRASOFT,1,89055000000,12.0,True,1,False
McLaren,VAN,13,SUPERSOFT,2,101020000000,1.0,True,1,False
McLaren,VAN,14,SUPERSOFT,2,81921000000,2.0,True,1,True
McLaren,VAN,15,SUPERSOFT,2,83366000000,3.0,True,1,True
McLaren,VAN,16,SUPERSOFT,2,82873000000,4.0,True,1,True
McLaren,VAN,17,SUPERSOFT,2,83650000000,5.0,True,1,True
McLaren,VAN,18,SUPERSOFT,2,84827000000,6.0,True,1,True
McLaren,VAN,19,SUPERSOFT,2,85672000000,7.0,True,1,True
McLaren,VAN,20,SUPERSOFT,2,85530000000,8.0,True,1,True
McLaren,VAN,21,SUPERSOFT,2,85261000000,9.0,True,1,True
McLaren,VAN,22,SUPERSOFT,2,85224000000,10.0,True,1,True
McLaren,VAN,23,SUPERSOFT,2,85424000000,11.0,True,1,True
McLaren,VAN,24,SUPERSOFT,2,85963000000,12.0,True,1,True
McLaren,VAN,25,SUPERSOFT,2,83626000000,13.0,True,1,True
McLaren,VAN,26,SUPERSOFT,2,83976000000,14.0,True,1,True
McLaren,VAN,27,SUPERSOFT,2,84337000000,15.0,True,1,True
McLaren,VAN,28,SUPERSOFT,2,87095000000,16.0,True,1,True
McLaren,VAN,29,SUPERSOFT,2,84817000000,17.0,True,26,False
McLaren,VAN,30,SUPERSOFT,2,112135000000,18.0,True,6,False
McLaren,VAN,31,SUPERSOFT,2,103764000000,19.0,True,67,False
McLaren,VAN,32,SUPERSOFT,2,86036000000,20.0,True,1,True
McLaren,VAN,33,SUPERSOFT,2,83412000000,21.0,True,1,True
McLaren,VAN,34,SUPERSOFT,2,83730000000,22.0,True,1,True
McLaren,VAN,35,SUPERSOFT,2,84955000000,23.0,True,1,True
McLaren,VAN,36,SUPERSOFT,2,84793000000,24.0,True,1,True
McLaren,VAN,37,SUPERSOFT,2,85081000000,25.0,True,1,True
McLaren,VAN,38,SUPERSOFT,2,85153000000,26.0,True,1,True
McLaren,VAN,39,SUPERSOFT,2,84558000000,27.0,True,1,True
McLaren,VAN,40,SUPERSOFT,2,84654000000,28.0,True,1,True
McLaren,VAN,41,SUPERSOFT,2,84832000000,29.0,True,1,True
McLaren,VAN,42,SUPERSOFT,2,84918000000,30.0,True,1,True
McLaren,VAN,43,SUPERSOFT,2,85161000000,31.0,True,1,True
McLaren,VAN,44,SUPERSOFT,2,84113000000,32.0,True,1,True
McLaren,VAN,45,SUPERSOFT,2,84033000000,33.0,True,1,True
McLaren,VAN,46,SUPERSOFT,2,84412000000,34.0,True,1,True
McLaren,VAN,47,SUPERSOFT,2,84440000000,35.0,True,1,True
McLaren,VAN,48,SUPERSOFT,2,84612000000,36.0,True,1,True
McLaren,VAN,49,SUPERSOFT,2,84462000000,37.0,True,1,True
McLaren,VAN,50,SUPERSOFT,2,84419000000,38.0,True,1,True
McLaren,VAN,51,SUPERSOFT,2,84457000000,39.0,True,1,True
McLaren,VAN,52,SUPERSOFT,2,84266000000,40.0,True,1,True
McLaren,VAN,53,SUPERSOFT,2,83820000000,41.0,True,1,True
McLaren,VAN,54,SUPERSOFT,2,85131000000,42.0,True,1,True
McLaren,VAN,55,SUPERSOFT,2,83821000000,43.0,True,1,True
McLaren,VAN,56,SUPERSOFT,2,86220000000,44.0,True,1,True
McLaren,VAN,57,SUPERSOFT,2,83475000000,45.0,True,1,True
McLaren,VAN,58,SUPERSOFT,2,83549000000,46.0,True,1,True
McLaren,VAN,59,SUPERSOFT,2,83449000000,47.0,True,1,True
McLaren,VAN,60,SUPERSOFT,2,102486000000,48.0,True,26,False
McLaren,VAN,61,SUPERSOFT,2,107251000000,49.0,True,67,False
McLaren,VAN,62,SUPERSOFT,2,83399000000,50.0,True,1,True
McLaren,VAN,63,SUPERSOFT,2,82567000000,51.0,True,1,True
McLaren,VAN,64,SUPERSOFT,2,82435000000,52.0,True,1,True
McLaren,VAN,65,SUPERSOFT,2,82780000000,53.0,True,1,True
McLaren,VAN,66,SUPERSOFT,2,83054000000,54.0,True,1,True
McLaren,VAN,67,SUPERSOFT,2,82790000000,55.0,True,1,True
McLaren,VAN,68,SUPERSOFT,2,85723000000,56.0,True,1,True
McLaren,VAN,69,SUPERSOFT,2,83036000000,57.0,True,1,True
