['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2,ULTRASOFT,1,80959000000,5.0,False,1,True
Red Bull Racing,VER,3,ULTRASOFT,1,81091000000,6.0,False,1,True
Red Bull Racing,VER,4,ULTRASOFT,1,81162000000,7.0,False,1,True
Red Bull Racing,VER,5,ULTRASOFT,1,98701000000,8.0,False,267,False
Red Bull Racing,VER,6,ULTRASOFT,1,83465000000,9.0,False,7,False
Red Bull Racing,VER,7,ULTRASOFT,1,81177000000,10.0,False,1,True
Red Bull Racing,VER,8,ULTRASOFT,1,80923000000,11.0,False,1,True
Red Bull Racing,VER,9,ULTRASOFT,1,81249000000,12.0,False,1,True
Red Bull Racing,VER,10,ULTRASOFT,1,81634000000,13.0,False,1,True
Red Bull Racing,VER,11,ULTRASOFT,1,82291000000,14.0,False,1,True
Red Bull Racing,VER,12,ULTRASOFT,1,82692000000,15.0,False,1,True
Red Bull Racing,VER,13,ULTRASOFT,1,85704000000,16.0,False,1,False
Red Bull Racing,VER,14,SUPERSOFT,2,100948000000,1.0,True,1,False
Red Bull Racing,VER,15,SUPERSOFT,2,80299000000,2.0,True,1,True
Red Bull Racing,VER,16,SUPERSOFT,2,80919000000,3.0,True,1,True
Red Bull Racing,VER,17,SUPERSOFT,2,80660000000,4.0,True,1,True
Red Bull Racing,VER,18,SUPERSOFT,2,80431000000,5.0,True,1,True
Red Bull Racing,VER,19,SUPERSOFT,2,81373000000,6.0,True,1,True
Red Bull Racing,VER,20,SUPERSOFT,2,81607000000,7.0,True,1,True
Red Bull Racing,VER,21,SUPERSOFT,2,81403000000,8.0,True,1,True
Red Bull Racing,VER,22,SUPERSOFT,2,81265000000,9.0,True,1,True
Red Bull Racing,VER,23,SUPERSOFT,2,81170000000,10.0,True,1,True
Red Bull Racing,VER,24,SUPERSOFT,2,81612000000,11.0,True,1,True
Red Bull Racing,VER,25,SUPERSOFT,2,82346000000,12.0,True,1,True
Red Bull Racing,VER,26,SUPERSOFT,2,81065000000,13.0,True,1,True
Red Bull Racing,VER,27,SUPERSOFT,2,80870000000,14.0,True,1,True
Red Bull Racing,VER,28,SUPERSOFT,2,80898000000,15.0,True,1,True
Red Bull Racing,VER,29,SUPERSOFT,2,81680000000,16.0,True,1,True
Red Bull Racing,VER,30,SUPERSOFT,2,82083000000,17.0,True,2,True
Red Bull Racing,VER,31,SUPERSOFT,2,104739000000,18.0,True,26,False
Red Bull Racing,VER,32,SUPERSOFT,2,108215000000,19.0,True,67,False
Red Bull Racing,VER,33,SUPERSOFT,2,82946000000,20.0,True,1,True
Red Bull Racing,VER,34,SUPERSOFT,2,81459000000,21.0,True,1,True
Red Bull Racing,VER,35,SUPERSOFT,2,81495000000,22.0,True,1,True
Red Bull Racing,VER,36,SUPERSOFT,2,81137000000,23.0,True,1,True
Red Bull Racing,VER,37,SUPERSOFT,2,81655000000,24.0,True,1,True
