['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,ALO,2,HYPERSOFT,1.0,79987000000,6.0,False,2,True
McLaren,ALO,3,HYPERSOFT,1.0,79790000000,7.0,False,1,True
McLaren,ALO,4,HYPERSOFT,1.0,79456000000,8.0,False,1,True
McLaren,ALO,5,HYPERSOFT,1.0,79135000000,9.0,False,1,True
McLaren,ALO,6,HYPERSOFT,1.0,79162000000,10.0,False,1,True
McLaren,ALO,7,HYPERSOFT,1.0,78974000000,11.0,False,1,True
McLaren,ALO,8,HYPERSOFT,1.0,79401000000,12.0,False,1,True
McLaren,ALO,9,HYPERSOFT,1.0,78773000000,13.0,False,1,True
McLaren,ALO,10,HYPERSOFT,1.0,78687000000,14.0,False,1,True
McLaren,ALO,11,HYPERSOFT,1.0,78701000000,15.0,False,1,True
McLaren,ALO,12,HYPERSOFT,1.0,78837000000,16.0,False,1,True
McLaren,ALO,13,HYPERSOFT,1.0,78989000000,17.0,False,2,True
McLaren,ALO,14,HYPERSOFT,1.0,79302000000,18.0,False,1,True
McLaren,ALO,15,HYPERSOFT,1.0,78991000000,19.0,False,1,True
McLaren,ALO,16,HYPERSOFT,1.0,79087000000,20.0,False,1,True
McLaren,ALO,17,HYPERSOFT,1.0,79427000000,21.0,False,1,True
McLaren,ALO,18,HYPERSOFT,1.0,79320000000,22.0,False,1,True
McLaren,ALO,19,HYPERSOFT,1.0,96370000000,23.0,False,1,False
McLaren,ALO,20,SUPERSOFT,2.0,82318000000,1.0,True,1,False
McLaren,ALO,21,SUPERSOFT,2.0,79578000000,2.0,True,1,True
McLaren,ALO,22,SUPERSOFT,2.0,77484000000,3.0,True,1,True
McLaren,ALO,23,SUPERSOFT,2.0,77018000000,4.0,True,1,True
McLaren,ALO,24,SUPERSOFT,2.0,79443000000,5.0,True,1,True
McLaren,ALO,25,SUPERSOFT,2.0,79296000000,6.0,True,1,True
McLaren,ALO,26,SUPERSOFT,2.0,79853000000,7.0,True,1,True
McLaren,ALO,27,SUPERSOFT,2.0,79601000000,8.0,True,1,True
McLaren,ALO,28,SUPERSOFT,2.0,79658000000,9.0,True,1,True
McLaren,ALO,29,SUPERSOFT,2.0,79022000000,10.0,True,1,True
McLaren,ALO,30,SUPERSOFT,2.0,78819000000,11.0,True,1,True
McLaren,ALO,31,SUPERSOFT,2.0,78663000000,12.0,True,1,True
McLaren,ALO,32,SUPERSOFT,2.0,78916000000,13.0,True,1,True
McLaren,ALO,33,SUPERSOFT,2.0,78653000000,14.0,True,1,True
McLaren,ALO,34,SUPERSOFT,2.0,78317000000,15.0,True,1,True
McLaren,ALO,35,SUPERSOFT,2.0,78095000000,16.0,True,1,True
McLaren,ALO,36,SUPERSOFT,2.0,78690000000,17.0,True,1,True
McLaren,ALO,37,SUPERSOFT,2.0,78551000000,18.0,True,1,True
McLaren,ALO,38,SUPERSOFT,2.0,79844000000,19.0,True,1,True
McLaren,ALO,39,SUPERSOFT,2.0,78883000000,20.0,True,1,True
McLaren,ALO,40,SUPERSOFT,2.0,79554000000,21.0,True,1,True
McLaren,ALO,41,SUPERSOFT,2.0,79346000000,22.0,True,1,True
McLaren,ALO,42,SUPERSOFT,2.0,78186000000,23.0,True,1,True
McLaren,ALO,43,SUPERSOFT,2.0,78473000000,24.0,True,1,True
McLaren,ALO,44,SUPERSOFT,2.0,78185000000,25.0,True,1,True
McLaren,ALO,45,SUPERSOFT,2.0,78897000000,26.0,True,1,True
McLaren,ALO,46,SUPERSOFT,2.0,77898000000,27.0,True,1,True
McLaren,ALO,47,SUPERSOFT,2.0,78357000000,28.0,True,1,True
McLaren,ALO,48,SUPERSOFT,2.0,78915000000,29.0,True,1,True
McLaren,ALO,49,SUPERSOFT,2.0,78986000000,30.0,True,1,True
McLaren,ALO,50,SUPERSOFT,2.0,81492000000,31.0,True,1,True
McLaren,ALO,51,SUPERSOFT,2.0,81376000000,32.0,True,1,True
McLaren,ALO,52,SUPERSOFT,2.0,82363000000,33.0,True,1,True
