['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2,HYPERSOFT,1.0,78630000000,5.0,False,2,True
Mercedes,BOT,3,HYPERSOFT,1.0,78096000000,6.0,False,1,True
Mercedes,BOT,4,HYPERSOFT,1.0,78074000000,7.0,False,1,True
Mercedes,BOT,5,HYPERSOFT,1.0,78016000000,8.0,False,1,True
Mercedes,BOT,6,HYPERSOFT,1.0,77734000000,9.0,False,1,True
Mercedes,BOT,7,HYPERSOFT,1.0,77953000000,10.0,False,1,True
Mercedes,BOT,8,HYPERSOFT,1.0,77559000000,11.0,False,1,True
Mercedes,BOT,9,HYPERSOFT,1.0,77823000000,12.0,False,1,True
Mercedes,BOT,10,HYPERSOFT,1.0,77768000000,13.0,False,1,True
Mercedes,BOT,11,HYPERSOFT,1.0,77935000000,14.0,False,1,True
Mercedes,BOT,12,HYPERSOFT,1.0,78737000000,15.0,False,1,True
Mercedes,BOT,13,HYPERSOFT,1.0,79014000000,16.0,False,2,True
Mercedes,BOT,14,HYPERSOFT,1.0,79044000000,17.0,False,2,True
Mercedes,BOT,15,HYPERSOFT,1.0,79285000000,18.0,False,1,True
Mercedes,BOT,16,HYPERSOFT,1.0,79415000000,19.0,False,1,True
Mercedes,BOT,17,HYPERSOFT,1.0,96837000000,20.0,False,1,False
Mercedes,BOT,18,SUPERSOFT,2.0,79033000000,1.0,True,1,False
Mercedes,BOT,19,SUPERSOFT,2.0,77692000000,2.0,True,1,True
Mercedes,BOT,20,SUPERSOFT,2.0,76550000000,3.0,True,1,True
Mercedes,BOT,21,SUPERSOFT,2.0,76312000000,4.0,True,1,True
Mercedes,BOT,22,SUPERSOFT,2.0,77999000000,5.0,True,1,True
Mercedes,BOT,23,SUPERSOFT,2.0,76866000000,6.0,True,1,True
Mercedes,BOT,24,SUPERSOFT,2.0,77141000000,7.0,True,1,True
Mercedes,BOT,25,SUPERSOFT,2.0,77334000000,8.0,True,1,True
Mercedes,BOT,26,SUPERSOFT,2.0,77496000000,9.0,True,1,True
Mercedes,BOT,27,SUPERSOFT,2.0,77911000000,10.0,True,1,True
Mercedes,BOT,28,SUPERSOFT,2.0,77957000000,11.0,True,1,True
Mercedes,BOT,29,SUPERSOFT,2.0,78321000000,12.0,True,1,True
Mercedes,BOT,30,SUPERSOFT,2.0,78115000000,13.0,True,1,True
Mercedes,BOT,31,SUPERSOFT,2.0,78863000000,14.0,True,1,True
Mercedes,BOT,32,SUPERSOFT,2.0,79163000000,15.0,True,1,True
Mercedes,BOT,33,SUPERSOFT,2.0,79958000000,16.0,True,1,True
Mercedes,BOT,34,SUPERSOFT,2.0,79015000000,17.0,True,1,True
Mercedes,BOT,35,SUPERSOFT,2.0,79337000000,18.0,True,1,True
Mercedes,BOT,36,SUPERSOFT,2.0,79030000000,19.0,True,1,True
