['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,ERI,2,ULTRASOFT,1.0,81243000000,1.0,True,2,True
Sauber,ERI,3,ULTRASOFT,1.0,79863000000,2.0,True,1,True
Sauber,ERI,4,ULTRASOFT,1.0,80578000000,3.0,True,1,True
Sauber,ERI,5,ULTRASOFT,1.0,80460000000,4.0,True,1,True
Sauber,ERI,6,ULTRASOFT,1.0,79804000000,5.0,True,1,True
Sauber,ERI,7,ULTRASOFT,1.0,80445000000,6.0,True,1,True
Sauber,ERI,8,ULTRASOFT,1.0,80420000000,7.0,True,1,True
Sauber,ERI,9,ULTRASOFT,1.0,80025000000,8.0,True,1,True
Sauber,ERI,10,ULTRASOFT,1.0,78066000000,9.0,True,1,True
Sauber,ERI,11,ULTRASOFT,1.0,80248000000,10.0,True,1,True
Sauber,ERI,12,ULTRASOFT,1.0,79283000000,11.0,True,1,True
Sauber,ERI,13,ULTRASOFT,1.0,79581000000,12.0,True,2,True
Sauber,ERI,14,ULTRASOFT,1.0,79263000000,13.0,True,1,True
Sauber,ERI,15,ULTRASOFT,1.0,79293000000,14.0,True,1,True
Sauber,ERI,16,ULTRASOFT,1.0,79837000000,15.0,True,1,True
Sauber,ERI,17,ULTRASOFT,1.0,98143000000,16.0,True,1,False
Sauber,ERI,18,SUPERSOFT,2.0,80083000000,1.0,True,1,False
Sauber,ERI,19,SUPERSOFT,2.0,76936000000,2.0,True,1,True
Sauber,ERI,20,SUPERSOFT,2.0,77090000000,3.0,True,1,True
Sauber,ERI,21,SUPERSOFT,2.0,77504000000,4.0,True,1,True
Sauber,ERI,22,SUPERSOFT,2.0,77981000000,5.0,True,1,True
Sauber,ERI,23,SUPERSOFT,2.0,77601000000,6.0,True,1,True
Sauber,ERI,24,SUPERSOFT,2.0,77977000000,7.0,True,1,True
Sauber,ERI,25,SUPERSOFT,2.0,77619000000,8.0,True,1,True
Sauber,ERI,26,SUPERSOFT,2.0,78012000000,9.0,True,1,True
Sauber,ERI,27,SUPERSOFT,2.0,78531000000,10.0,True,1,True
Sauber,ERI,28,SUPERSOFT,2.0,79411000000,11.0,True,1,True
Sauber,ERI,29,SUPERSOFT,2.0,79951000000,12.0,True,1,True
Sauber,ERI,30,SUPERSOFT,2.0,79847000000,13.0,True,1,True
Sauber,ERI,31,SUPERSOFT,2.0,80405000000,14.0,True,1,True
Sauber,ERI,32,SUPERSOFT,2.0,80061000000,15.0,True,1,True
Sauber,ERI,33,SUPERSOFT,2.0,79926000000,16.0,True,1,True
