['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2,HYPERSOFT,1.0,80619000000,6.0,False,2,True
Toro Rosso,GAS,3,HYPERSOFT,1.0,79812000000,7.0,False,1,True
Toro Rosso,GAS,4,HYPERSOFT,1.0,79562000000,8.0,False,1,True
Toro Rosso,GAS,5,HYPERSOFT,1.0,79400000000,9.0,False,1,True
Toro Rosso,GAS,6,HYPERSOFT,1.0,79489000000,10.0,False,1,True
Toro Rosso,GAS,7,HYPERSOFT,1.0,79766000000,11.0,False,1,True
Toro Rosso,GAS,8,HYPERSOFT,1.0,79497000000,12.0,False,1,True
Toro Rosso,GAS,9,HYPERSOFT,1.0,79346000000,13.0,False,1,True
Toro Rosso,GAS,10,HYPERSOFT,1.0,79193000000,14.0,False,1,True
Toro Rosso,GAS,11,HYPERSOFT,1.0,79714000000,15.0,False,1,True
Toro Rosso,GAS,12,HYPERSOFT,1.0,79118000000,16.0,False,1,True
Toro Rosso,GAS,13,HYPERSOFT,1.0,79238000000,17.0,False,2,True
Toro Rosso,GAS,14,HYPERSOFT,1.0,79738000000,18.0,False,1,True
Toro Rosso,GAS,15,HYPERSOFT,1.0,79937000000,19.0,False,1,True
Toro Rosso,GAS,16,HYPERSOFT,1.0,80471000000,20.0,False,1,True
Toro Rosso,GAS,17,HYPERSOFT,1.0,79540000000,21.0,False,1,True
Toro Rosso,GAS,18,HYPERSOFT,1.0,79029000000,22.0,False,1,True
Toro Rosso,GAS,19,HYPERSOFT,1.0,79145000000,23.0,False,1,True
Toro Rosso,GAS,20,HYPERSOFT,1.0,79182000000,24.0,False,1,True
Toro Rosso,GAS,21,HYPERSOFT,1.0,79247000000,25.0,False,1,True
Toro Rosso,GAS,22,HYPERSOFT,1.0,78824000000,26.0,False,1,True
Toro Rosso,GAS,23,HYPERSOFT,1.0,78431000000,27.0,False,1,True
Toro Rosso,GAS,24,HYPERSOFT,1.0,78570000000,28.0,False,1,True
Toro Rosso,GAS,25,HYPERSOFT,1.0,78701000000,29.0,False,1,True
Toro Rosso,GAS,26,HYPERSOFT,1.0,78405000000,30.0,False,1,True
Toro Rosso,GAS,27,HYPERSOFT,1.0,78912000000,31.0,False,1,True
Toro Rosso,GAS,28,HYPERSOFT,1.0,78235000000,32.0,False,1,True
Toro Rosso,GAS,29,HYPERSOFT,1.0,78090000000,33.0,False,1,True
Toro Rosso,GAS,30,HYPERSOFT,1.0,78302000000,34.0,False,1,True
Toro Rosso,GAS,31,HYPERSOFT,1.0,78263000000,35.0,False,1,True
Toro Rosso,GAS,32,HYPERSOFT,1.0,78630000000,36.0,False,1,True
Toro Rosso,GAS,33,HYPERSOFT,1.0,78275000000,37.0,False,1,True
Toro Rosso,GAS,34,HYPERSOFT,1.0,78690000000,38.0,False,1,True
Toro Rosso,GAS,35,HYPERSOFT,1.0,78590000000,39.0,False,1,True
Toro Rosso,GAS,36,HYPERSOFT,1.0,79048000000,40.0,False,1,True
Toro Rosso,GAS,37,HYPERSOFT,1.0,96516000000,41.0,False,1,False
Toro Rosso,GAS,38,SUPERSOFT,2.0,80582000000,1.0,True,1,False
Toro Rosso,GAS,39,SUPERSOFT,2.0,78239000000,2.0,True,1,True
Toro Rosso,GAS,40,SUPERSOFT,2.0,77850000000,3.0,True,1,True
Toro Rosso,GAS,41,SUPERSOFT,2.0,79021000000,4.0,True,1,True
Toro Rosso,GAS,42,SUPERSOFT,2.0,78996000000,5.0,True,1,True
Toro Rosso,GAS,43,SUPERSOFT,2.0,79318000000,6.0,True,1,True
Toro Rosso,GAS,44,SUPERSOFT,2.0,78772000000,7.0,True,1,True
