['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,ULTRASOFT,1.0,81732000000,1.0,True,1,True
Haas F1 Team,GRO,3,ULTRASOFT,1.0,79924000000,2.0,True,1,True
Haas F1 Team,GRO,4,ULTRASOFT,1.0,80333000000,3.0,True,1,True
Haas F1 Team,GRO,5,ULTRASOFT,1.0,80102000000,4.0,True,1,True
Haas F1 Team,GRO,6,ULTRASOFT,1.0,80063000000,5.0,True,1,True
Haas F1 Team,GRO,7,ULTRASOFT,1.0,80132000000,6.0,True,1,True
Haas F1 Team,GRO,8,ULTRASOFT,1.0,80382000000,7.0,True,1,True
Haas F1 Team,GRO,9,ULTRASOFT,1.0,81550000000,8.0,True,1,True
Haas F1 Team,GRO,10,ULTRASOFT,1.0,79187000000,9.0,True,1,True
Haas F1 Team,GRO,11,ULTRASOFT,1.0,79774000000,10.0,True,1,True
Haas F1 Team,GRO,12,ULTRASOFT,1.0,80703000000,11.0,True,1,True
Haas F1 Team,GRO,13,ULTRASOFT,1.0,80349000000,12.0,True,2,True
Haas F1 Team,GRO,14,ULTRASOFT,1.0,81031000000,13.0,True,1,True
Haas F1 Team,GRO,15,ULTRASOFT,1.0,99399000000,14.0,True,1,False
Haas F1 Team,GRO,16,SUPERSOFT,2.0,82266000000,2.0,False,1,False
Haas F1 Team,GRO,17,SUPERSOFT,2.0,78069000000,3.0,False,1,True
Haas F1 Team,GRO,18,SUPERSOFT,2.0,78578000000,4.0,False,1,True
Haas F1 Team,GRO,19,SUPERSOFT,2.0,81101000000,5.0,False,1,True
Haas F1 Team,GRO,20,SUPERSOFT,2.0,77765000000,6.0,False,1,True
Haas F1 Team,GRO,21,SUPERSOFT,2.0,77654000000,7.0,False,1,True
Haas F1 Team,GRO,22,SUPERSOFT,2.0,77715000000,8.0,False,1,True
Haas F1 Team,GRO,23,SUPERSOFT,2.0,77996000000,9.0,False,1,True
Haas F1 Team,GRO,24,SUPERSOFT,2.0,77721000000,10.0,False,1,True
Haas F1 Team,GRO,25,SUPERSOFT,2.0,77651000000,11.0,False,1,True
Haas F1 Team,GRO,26,SUPERSOFT,2.0,77523000000,12.0,False,1,True
Haas F1 Team,GRO,27,SUPERSOFT,2.0,77981000000,13.0,False,1,True
Haas F1 Team,GRO,28,SUPERSOFT,2.0,77973000000,14.0,False,1,True
Haas F1 Team,GRO,29,SUPERSOFT,2.0,78863000000,15.0,False,1,True
Haas F1 Team,GRO,30,SUPERSOFT,2.0,80158000000,16.0,False,1,True
Haas F1 Team,GRO,31,SUPERSOFT,2.0,78648000000,17.0,False,1,True
Haas F1 Team,GRO,32,SUPERSOFT,2.0,78654000000,18.0,False,1,True
Haas F1 Team,GRO,33,SUPERSOFT,2.0,79209000000,19.0,False,1,True
Haas F1 Team,GRO,34,SUPERSOFT,2.0,79671000000,20.0,False,1,True
Haas F1 Team,GRO,35,SUPERSOFT,2.0,79728000000,21.0,False,1,True
Haas F1 Team,GRO,36,SUPERSOFT,2.0,79829000000,22.0,False,1,True
Haas F1 Team,GRO,37,SUPERSOFT,2.0,79949000000,23.0,False,1,True
Haas F1 Team,GRO,38,SUPERSOFT,2.0,80332000000,24.0,False,1,True
Haas F1 Team,GRO,39,SUPERSOFT,2.0,79960000000,25.0,False,1,True
