['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,HAR,2,HYPERSOFT,1.0,80993000000,1.0,True,2,True
Toro Rosso,HAR,3,HYPERSOFT,1.0,79844000000,2.0,True,1,True
Toro Rosso,HAR,4,HYPERSOFT,1.0,80501000000,3.0,True,1,True
Toro Rosso,HAR,5,HYPERSOFT,1.0,79944000000,4.0,True,1,True
Toro Rosso,HAR,6,HYPERSOFT,1.0,79757000000,5.0,True,1,True
Toro Rosso,HAR,7,HYPERSOFT,1.0,81067000000,6.0,True,1,True
Toro Rosso,HAR,8,HYPERSOFT,1.0,79641000000,7.0,True,1,True
Toro Rosso,HAR,9,HYPERSOFT,1.0,78636000000,8.0,True,1,True
Toro Rosso,HAR,10,HYPERSOFT,1.0,79131000000,9.0,True,1,True
Toro Rosso,HAR,11,HYPERSOFT,1.0,80534000000,10.0,True,1,True
Toro Rosso,HAR,12,HYPERSOFT,1.0,80057000000,11.0,True,1,True
Toro Rosso,HAR,13,HYPERSOFT,1.0,96713000000,12.0,True,2,False
Toro Rosso,HAR,14,ULTRASOFT,2.0,79611000000,1.0,True,1,False
Toro Rosso,HAR,15,ULTRASOFT,2.0,77172000000,2.0,True,1,True
Toro Rosso,HAR,16,ULTRASOFT,2.0,77790000000,3.0,True,1,True
Toro Rosso,HAR,17,ULTRASOFT,2.0,78101000000,4.0,True,1,True
Toro Rosso,HAR,18,ULTRASOFT,2.0,78072000000,5.0,True,1,True
Toro Rosso,HAR,19,ULTRASOFT,2.0,78960000000,6.0,True,1,True
Toro Rosso,HAR,20,ULTRASOFT,2.0,78110000000,7.0,True,1,True
Toro Rosso,HAR,21,ULTRASOFT,2.0,78462000000,8.0,True,1,True
Toro Rosso,HAR,22,ULTRASOFT,2.0,78597000000,9.0,True,1,True
Toro Rosso,HAR,23,ULTRASOFT,2.0,78438000000,10.0,True,1,True
Toro Rosso,HAR,24,ULTRASOFT,2.0,78400000000,11.0,True,1,True
Toro Rosso,HAR,25,ULTRASOFT,2.0,78310000000,12.0,True,1,True
Toro Rosso,HAR,26,ULTRASOFT,2.0,78917000000,13.0,True,1,True
Toro Rosso,HAR,27,ULTRASOFT,2.0,79448000000,14.0,True,1,True
Toro Rosso,HAR,28,ULTRASOFT,2.0,79677000000,15.0,True,1,True
Toro Rosso,HAR,29,ULTRASOFT,2.0,79731000000,16.0,True,1,True
Toro Rosso,HAR,30,ULTRASOFT,2.0,79566000000,17.0,True,1,True
Toro Rosso,HAR,31,ULTRASOFT,2.0,79416000000,18.0,True,1,True
