['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,HUL,2,ULTRASOFT,1.0,81091000000,1.0,True,2,True
Renault,HUL,3,ULTRASOFT,1.0,79855000000,2.0,True,1,True
Renault,HUL,4,ULTRASOFT,1.0,79676000000,3.0,True,1,True
Renault,HUL,5,ULTRASOFT,1.0,79539000000,4.0,True,1,True
Renault,HUL,6,ULTRASOFT,1.0,79523000000,5.0,True,1,True
Renault,HUL,7,ULTRASOFT,1.0,79865000000,6.0,True,1,True
Renault,HUL,8,ULTRASOFT,1.0,79455000000,7.0,True,1,True
Renault,HUL,9,ULTRASOFT,1.0,79491000000,8.0,True,1,True
Renault,HUL,10,ULTRASOFT,1.0,78948000000,9.0,True,1,True
Renault,HUL,11,ULTRASOFT,1.0,80184000000,10.0,True,1,True
Renault,HUL,12,ULTRASOFT,1.0,79259000000,11.0,True,1,True
Renault,HUL,13,ULTRASOFT,1.0,78936000000,12.0,True,2,True
Renault,HUL,14,ULTRASOFT,1.0,79537000000,13.0,True,1,True
Renault,HUL,15,ULTRASOFT,1.0,79791000000,14.0,True,1,True
Renault,HUL,16,ULTRASOFT,1.0,80139000000,15.0,True,1,True
Renault,HUL,17,ULTRASOFT,1.0,79951000000,16.0,True,1,True
Renault,HUL,18,ULTRASOFT,1.0,79200000000,17.0,True,1,True
Renault,HUL,19,ULTRASOFT,1.0,79626000000,18.0,True,1,True
Renault,HUL,20,ULTRASOFT,1.0,79610000000,19.0,True,1,True
Renault,HUL,21,ULTRASOFT,1.0,79503000000,20.0,True,1,True
Renault,HUL,22,ULTRASOFT,1.0,79606000000,21.0,True,1,True
Renault,HUL,23,ULTRASOFT,1.0,79733000000,22.0,True,1,True
Renault,HUL,24,ULTRASOFT,1.0,79568000000,23.0,True,1,True
Renault,HUL,25,ULTRASOFT,1.0,79658000000,24.0,True,1,True
Renault,HUL,26,ULTRASOFT,1.0,79810000000,25.0,True,1,True
Renault,HUL,27,ULTRASOFT,1.0,79680000000,26.0,True,1,True
Renault,HUL,28,ULTRASOFT,1.0,79219000000,27.0,True,1,True
Renault,HUL,29,ULTRASOFT,1.0,79412000000,28.0,True,1,True
Renault,HUL,30,ULTRASOFT,1.0,79102000000,29.0,True,1,True
Renault,HUL,31,ULTRASOFT,1.0,78879000000,30.0,True,1,True
Renault,HUL,32,ULTRASOFT,1.0,78684000000,31.0,True,1,True
Renault,HUL,33,ULTRASOFT,1.0,78418000000,32.0,True,1,True
Renault,HUL,34,ULTRASOFT,1.0,78294000000,33.0,True,1,True
Renault,HUL,35,ULTRASOFT,1.0,78679000000,34.0,True,1,True
Renault,HUL,36,ULTRASOFT,1.0,78253000000,35.0,True,1,True
Renault,HUL,37,ULTRASOFT,1.0,78578000000,36.0,True,1,True
Renault,HUL,38,ULTRASOFT,1.0,78458000000,37.0,True,1,True
Renault,HUL,39,ULTRASOFT,1.0,78607000000,38.0,True,1,True
Renault,HUL,40,ULTRASOFT,1.0,78776000000,39.0,True,1,True
Renault,HUL,41,ULTRASOFT,1.0,78528000000,40.0,True,1,True
Renault,HUL,42,ULTRASOFT,1.0,78401000000,41.0,True,1,True
Renault,HUL,43,ULTRASOFT,1.0,78585000000,42.0,True,1,True
Renault,HUL,44,ULTRASOFT,1.0,78528000000,43.0,True,1,True
Renault,HUL,45,ULTRASOFT,1.0,78229000000,44.0,True,1,True
Renault,HUL,46,ULTRASOFT,1.0,78328000000,45.0,True,1,True
Renault,HUL,47,ULTRASOFT,1.0,78875000000,46.0,True,1,True
Renault,HUL,48,ULTRASOFT,1.0,78957000000,47.0,True,1,True
Renault,HUL,49,ULTRASOFT,1.0,79177000000,48.0,True,1,True
Renault,HUL,50,ULTRASOFT,1.0,97055000000,49.0,True,1,False
Renault,HUL,51,HYPERSOFT,2.0,79602000000,3.0,False,1,False
Renault,HUL,52,HYPERSOFT,2.0,76434000000,4.0,False,1,True
Renault,HUL,53,HYPERSOFT,2.0,77925000000,5.0,False,2,True
Renault,HUL,54,HYPERSOFT,2.0,79585000000,6.0,False,1,True
Renault,HUL,55,HYPERSOFT,2.0,76421000000,7.0,False,1,True
Renault,HUL,56,HYPERSOFT,2.0,76123000000,8.0,False,1,True
Renault,HUL,57,HYPERSOFT,2.0,76061000000,9.0,False,1,True
Renault,HUL,58,HYPERSOFT,2.0,76142000000,10.0,False,1,True
Renault,HUL,59,HYPERSOFT,2.0,76502000000,11.0,False,1,True
Renault,HUL,60,HYPERSOFT,2.0,76457000000,12.0,False,1,True
Renault,HUL,61,HYPERSOFT,2.0,77171000000,13.0,False,1,True
Renault,HUL,62,HYPERSOFT,2.0,77570000000,14.0,False,1,True
Renault,HUL,63,HYPERSOFT,2.0,77432000000,15.0,False,1,True
Renault,HUL,64,HYPERSOFT,2.0,77472000000,16.0,False,1,True
Renault,HUL,65,HYPERSOFT,2.0,77261000000,17.0,False,1,True
Renault,HUL,66,HYPERSOFT,2.0,77396000000,18.0,False,1,True
Renault,HUL,67,HYPERSOFT,2.0,77374000000,19.0,False,1,True
Renault,HUL,68,HYPERSOFT,2.0,77101000000,20.0,False,1,True
Renault,HUL,69,HYPERSOFT,2.0,77134000000,21.0,False,1,True
Renault,HUL,70,HYPERSOFT,2.0,77516000000,22.0,False,1,True
Renault,HUL,71,HYPERSOFT,2.0,77615000000,23.0,False,1,True
Renault,HUL,72,HYPERSOFT,2.0,89995000000,24.0,False,26,False
Renault,HUL,73,HYPERSOFT,2.0,102451000000,25.0,False,67,False
Renault,HUL,74,HYPERSOFT,2.0,79090000000,26.0,False,7,False
Renault,HUL,75,HYPERSOFT,2.0,78254000000,27.0,False,1,True
Renault,HUL,76,HYPERSOFT,2.0,78757000000,28.0,False,1,True
Renault,HUL,77,HYPERSOFT,2.0,78591000000,29.0,False,1,True
Renault,HUL,78,HYPERSOFT,2.0,79154000000,30.0,False,1,True
