['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2,ULTRASOFT,1.0,80754000000,1.0,True,2,True
Sauber,LEC,3,ULTRASOFT,1.0,80066000000,2.0,True,1,True
Sauber,LEC,4,ULTRASOFT,1.0,80655000000,3.0,True,1,True
Sauber,LEC,5,ULTRASOFT,1.0,79857000000,4.0,True,1,True
Sauber,LEC,6,ULTRASOFT,1.0,79725000000,5.0,True,1,True
Sauber,LEC,7,ULTRASOFT,1.0,80310000000,6.0,True,1,True
Sauber,LEC,8,ULTRASOFT,1.0,78534000000,7.0,True,1,True
Sauber,LEC,9,ULTRASOFT,1.0,78619000000,8.0,True,1,True
Sauber,LEC,10,ULTRASOFT,1.0,79324000000,9.0,True,1,True
Sauber,LEC,11,ULTRASOFT,1.0,81270000000,10.0,True,1,True
Sauber,LEC,12,ULTRASOFT,1.0,79063000000,11.0,True,1,True
Sauber,LEC,13,ULTRASOFT,1.0,79134000000,12.0,True,2,True
Sauber,LEC,14,ULTRASOFT,1.0,97708000000,13.0,True,1,False
Sauber,LEC,15,SUPERSOFT,2.0,80856000000,1.0,True,1,False
Sauber,LEC,16,SUPERSOFT,2.0,77748000000,2.0,True,1,True
Sauber,LEC,17,SUPERSOFT,2.0,77710000000,3.0,True,1,True
Sauber,LEC,18,SUPERSOFT,2.0,78173000000,4.0,True,1,True
Sauber,LEC,19,SUPERSOFT,2.0,78471000000,5.0,True,1,True
Sauber,LEC,20,SUPERSOFT,2.0,79291000000,6.0,True,1,True
Sauber,LEC,21,SUPERSOFT,2.0,78600000000,7.0,True,1,True
Sauber,LEC,22,SUPERSOFT,2.0,77907000000,8.0,True,1,True
Sauber,LEC,23,SUPERSOFT,2.0,78184000000,9.0,True,1,True
Sauber,LEC,24,SUPERSOFT,2.0,78182000000,10.0,True,1,True
Sauber,LEC,25,SUPERSOFT,2.0,78577000000,11.0,True,1,True
Sauber,LEC,26,SUPERSOFT,2.0,78502000000,12.0,True,1,True
Sauber,LEC,27,SUPERSOFT,2.0,79314000000,13.0,True,1,True
Sauber,LEC,28,SUPERSOFT,2.0,79535000000,14.0,True,1,True
Sauber,LEC,29,SUPERSOFT,2.0,79998000000,15.0,True,1,True
Sauber,LEC,30,SUPERSOFT,2.0,79733000000,16.0,True,1,True
Sauber,LEC,31,SUPERSOFT,2.0,79438000000,17.0,True,1,True
Sauber,LEC,32,SUPERSOFT,2.0,79911000000,18.0,True,1,True
Sauber,LEC,33,SUPERSOFT,2.0,80028000000,19.0,True,1,True
Sauber,LEC,34,SUPERSOFT,2.0,79863000000,20.0,True,1,True
Sauber,LEC,35,SUPERSOFT,2.0,80280000000,21.0,True,1,True
Sauber,LEC,36,SUPERSOFT,2.0,80022000000,22.0,True,1,True
Sauber,LEC,37,SUPERSOFT,2.0,79662000000,23.0,True,1,True
Sauber,LEC,38,SUPERSOFT,2.0,80228000000,24.0,True,1,True
Sauber,LEC,39,SUPERSOFT,2.0,79962000000,25.0,True,1,True
Sauber,LEC,40,SUPERSOFT,2.0,79966000000,26.0,True,1,True
Sauber,LEC,41,SUPERSOFT,2.0,79893000000,27.0,True,1,True
Sauber,LEC,42,SUPERSOFT,2.0,79926000000,28.0,True,1,True
Sauber,LEC,43,SUPERSOFT,2.0,79675000000,29.0,True,1,True
Sauber,LEC,44,SUPERSOFT,2.0,79920000000,30.0,True,1,True
Sauber,LEC,45,SUPERSOFT,2.0,79634000000,31.0,True,1,True
Sauber,LEC,46,SUPERSOFT,2.0,79512000000,32.0,True,1,True
Sauber,LEC,47,SUPERSOFT,2.0,79484000000,33.0,True,1,False
Sauber,LEC,48,SUPERSOFT,2.0,79434000000,34.0,True,1,True
Sauber,LEC,49,SUPERSOFT,2.0,79062000000,35.0,True,1,True
Sauber,LEC,50,SUPERSOFT,2.0,79306000000,36.0,True,1,True
Sauber,LEC,51,SUPERSOFT,2.0,78983000000,37.0,True,1,True
Sauber,LEC,52,SUPERSOFT,2.0,79016000000,38.0,True,2,True
Sauber,LEC,53,SUPERSOFT,2.0,79134000000,39.0,True,2,True
Sauber,LEC,54,SUPERSOFT,2.0,78610000000,40.0,True,1,True
Sauber,LEC,55,SUPERSOFT,2.0,78503000000,41.0,True,1,True
Sauber,LEC,56,SUPERSOFT,2.0,78510000000,42.0,True,1,True
Sauber,LEC,57,SUPERSOFT,2.0,78298000000,43.0,True,1,True
Sauber,LEC,58,SUPERSOFT,2.0,78690000000,44.0,True,1,True
Sauber,LEC,59,SUPERSOFT,2.0,78329000000,45.0,True,1,True
Sauber,LEC,60,SUPERSOFT,2.0,78084000000,46.0,True,1,True
Sauber,LEC,61,SUPERSOFT,2.0,77832000000,47.0,True,1,True
Sauber,LEC,62,SUPERSOFT,2.0,78228000000,48.0,True,1,True
Sauber,LEC,63,SUPERSOFT,2.0,78558000000,49.0,True,1,True
Sauber,LEC,64,SUPERSOFT,2.0,79002000000,50.0,True,1,True
Sauber,LEC,65,SUPERSOFT,2.0,78364000000,51.0,True,1,True
Sauber,LEC,66,SUPERSOFT,2.0,78300000000,52.0,True,1,True
Sauber,LEC,67,SUPERSOFT,2.0,78695000000,53.0,True,1,True
Sauber,LEC,68,SUPERSOFT,2.0,79497000000,54.0,True,1,True
Sauber,LEC,69,SUPERSOFT,2.0,78471000000,55.0,True,1,True
Sauber,LEC,70,SUPERSOFT,2.0,78517000000,56.0,True,1,True
