['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2,ULTRASOFT,1.0,81368000000,1.0,True,1,True
Haas F1 Team,MAG,3,ULTRASOFT,1.0,79890000000,2.0,True,1,True
Haas F1 Team,MAG,4,ULTRASOFT,1.0,80394000000,3.0,True,1,True
Haas F1 Team,MAG,5,ULTRASOFT,1.0,80159000000,4.0,True,1,True
Haas F1 Team,MAG,6,ULTRASOFT,1.0,80069000000,5.0,True,1,True
Haas F1 Team,MAG,7,ULTRASOFT,1.0,79954000000,6.0,True,1,True
Haas F1 Team,MAG,8,ULTRASOFT,1.0,80642000000,7.0,True,1,True
Haas F1 Team,MAG,9,ULTRASOFT,1.0,81032000000,8.0,True,1,True
Haas F1 Team,MAG,10,ULTRASOFT,1.0,78571000000,9.0,True,1,True
Haas F1 Team,MAG,11,ULTRASOFT,1.0,79747000000,10.0,True,1,True
Haas F1 Team,MAG,12,ULTRASOFT,1.0,79374000000,11.0,True,1,True
Haas F1 Team,MAG,13,ULTRASOFT,1.0,79213000000,12.0,True,2,True
Haas F1 Team,MAG,14,ULTRASOFT,1.0,79053000000,13.0,True,1,True
Haas F1 Team,MAG,15,ULTRASOFT,1.0,79323000000,14.0,True,1,True
Haas F1 Team,MAG,16,ULTRASOFT,1.0,79660000000,15.0,True,1,True
Haas F1 Team,MAG,17,ULTRASOFT,1.0,97140000000,16.0,True,1,False
Haas F1 Team,MAG,18,SUPERSOFT,2.0,82228000000,2.0,False,1,False
Haas F1 Team,MAG,19,SUPERSOFT,2.0,77669000000,3.0,False,1,True
Haas F1 Team,MAG,20,SUPERSOFT,2.0,77476000000,4.0,False,1,True
Haas F1 Team,MAG,21,SUPERSOFT,2.0,77594000000,5.0,False,1,True
Haas F1 Team,MAG,22,SUPERSOFT,2.0,77858000000,6.0,False,1,True
Haas F1 Team,MAG,23,SUPERSOFT,2.0,78236000000,7.0,False,1,True
Haas F1 Team,MAG,24,SUPERSOFT,2.0,78481000000,8.0,False,1,True
Haas F1 Team,MAG,25,SUPERSOFT,2.0,78038000000,9.0,False,1,True
Haas F1 Team,MAG,26,SUPERSOFT,2.0,77715000000,10.0,False,1,True
Haas F1 Team,MAG,27,SUPERSOFT,2.0,77587000000,11.0,False,1,True
Haas F1 Team,MAG,28,SUPERSOFT,2.0,78224000000,12.0,False,1,True
Haas F1 Team,MAG,29,SUPERSOFT,2.0,78696000000,13.0,False,1,True
Haas F1 Team,MAG,30,SUPERSOFT,2.0,79621000000,14.0,False,1,True
Haas F1 Team,MAG,31,SUPERSOFT,2.0,80625000000,15.0,False,1,True
Haas F1 Team,MAG,32,SUPERSOFT,2.0,79377000000,16.0,False,1,True
Haas F1 Team,MAG,33,SUPERSOFT,2.0,80282000000,17.0,False,1,True
Haas F1 Team,MAG,34,SUPERSOFT,2.0,79486000000,18.0,False,1,True
Haas F1 Team,MAG,35,SUPERSOFT,2.0,79919000000,19.0,False,1,True
Haas F1 Team,MAG,36,SUPERSOFT,2.0,80455000000,20.0,False,1,True
Haas F1 Team,MAG,37,SUPERSOFT,2.0,80048000000,21.0,False,1,True
Haas F1 Team,MAG,38,SUPERSOFT,2.0,80361000000,22.0,False,1,True
Haas F1 Team,MAG,39,SUPERSOFT,2.0,80241000000,23.0,False,1,True
Haas F1 Team,MAG,40,SUPERSOFT,2.0,80017000000,24.0,False,1,True
Haas F1 Team,MAG,41,SUPERSOFT,2.0,79601000000,25.0,False,1,True
Haas F1 Team,MAG,42,SUPERSOFT,2.0,79548000000,26.0,False,1,True
Haas F1 Team,MAG,43,SUPERSOFT,2.0,79686000000,27.0,False,1,True
Haas F1 Team,MAG,44,SUPERSOFT,2.0,79871000000,28.0,False,1,True
Haas F1 Team,MAG,45,SUPERSOFT,2.0,80637000000,29.0,False,1,True
Haas F1 Team,MAG,46,SUPERSOFT,2.0,80370000000,30.0,False,1,True
Haas F1 Team,MAG,47,SUPERSOFT,2.0,79492000000,31.0,False,1,True
Haas F1 Team,MAG,48,SUPERSOFT,2.0,79333000000,32.0,False,1,True
Haas F1 Team,MAG,49,SUPERSOFT,2.0,79048000000,33.0,False,1,True
Haas F1 Team,MAG,50,SUPERSOFT,2.0,78943000000,34.0,False,1,True
Haas F1 Team,MAG,51,SUPERSOFT,2.0,79170000000,35.0,False,1,True
Haas F1 Team,MAG,52,SUPERSOFT,2.0,79213000000,36.0,False,2,True
Haas F1 Team,MAG,53,SUPERSOFT,2.0,79678000000,37.0,False,2,True
Haas F1 Team,MAG,54,SUPERSOFT,2.0,79222000000,38.0,False,1,True
Haas F1 Team,MAG,55,SUPERSOFT,2.0,78880000000,39.0,False,1,True
Haas F1 Team,MAG,56,SUPERSOFT,2.0,78748000000,40.0,False,1,True
Haas F1 Team,MAG,57,SUPERSOFT,2.0,78234000000,41.0,False,1,True
Haas F1 Team,MAG,58,SUPERSOFT,2.0,78192000000,42.0,False,1,True
Haas F1 Team,MAG,59,SUPERSOFT,2.0,78550000000,43.0,False,1,True
Haas F1 Team,MAG,60,SUPERSOFT,2.0,78414000000,44.0,False,1,True
Haas F1 Team,MAG,61,SUPERSOFT,2.0,77921000000,45.0,False,1,True
Haas F1 Team,MAG,62,SUPERSOFT,2.0,78034000000,46.0,False,1,True
Haas F1 Team,MAG,63,SUPERSOFT,2.0,77918000000,47.0,False,1,True
Haas F1 Team,MAG,64,SUPERSOFT,2.0,78141000000,48.0,False,1,True
Haas F1 Team,MAG,65,SUPERSOFT,2.0,78271000000,49.0,False,1,True
Haas F1 Team,MAG,66,SUPERSOFT,2.0,78410000000,50.0,False,1,True
Haas F1 Team,MAG,67,SUPERSOFT,2.0,78288000000,51.0,False,1,True
Haas F1 Team,MAG,68,SUPERSOFT,2.0,79168000000,52.0,False,1,True
Haas F1 Team,MAG,69,SUPERSOFT,2.0,78629000000,53.0,False,1,True
Haas F1 Team,MAG,70,SUPERSOFT,2.0,78483000000,54.0,False,1,True
Haas F1 Team,MAG,71,SUPERSOFT,2.0,80656000000,55.0,False,2,True
Haas F1 Team,MAG,72,SUPERSOFT,2.0,102775000000,56.0,False,26,False
