['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,OCO,2,HYPERSOFT,1.0,79010000000,6.0,False,2,True
Force India,OCO,3,HYPERSOFT,1.0,78840000000,7.0,False,1,True
Force India,OCO,4,HYPERSOFT,1.0,78667000000,8.0,False,1,True
Force India,OCO,5,HYPERSOFT,1.0,78499000000,9.0,False,1,True
Force India,OCO,6,HYPERSOFT,1.0,78640000000,10.0,False,1,True
Force India,OCO,7,HYPERSOFT,1.0,78671000000,11.0,False,1,True
Force India,OCO,8,HYPERSOFT,1.0,None,12.0,False,1,False
Force India,OCO,9,HYPERSOFT,1.0,78904000000,13.0,False,1,True
Force India,OCO,10,HYPERSOFT,1.0,78865000000,14.0,False,1,True
Force India,OCO,11,HYPERSOFT,1.0,79055000000,15.0,False,1,True
Force India,OCO,12,HYPERSOFT,1.0,79218000000,16.0,False,1,True
Force India,OCO,13,HYPERSOFT,1.0,79249000000,17.0,False,2,True
Force India,OCO,14,HYPERSOFT,1.0,80106000000,18.0,False,1,True
Force India,OCO,15,HYPERSOFT,1.0,78702000000,19.0,False,1,True
Force India,OCO,16,HYPERSOFT,1.0,78692000000,20.0,False,1,True
Force India,OCO,17,HYPERSOFT,1.0,78678000000,21.0,False,1,True
Force India,OCO,18,HYPERSOFT,1.0,78792000000,22.0,False,1,True
Force India,OCO,19,HYPERSOFT,1.0,78723000000,23.0,False,1,True
Force India,OCO,20,HYPERSOFT,1.0,79068000000,24.0,False,1,True
Force India,OCO,21,HYPERSOFT,1.0,79378000000,25.0,False,1,True
Force India,OCO,22,HYPERSOFT,1.0,79936000000,26.0,False,1,True
Force India,OCO,23,HYPERSOFT,1.0,98104000000,27.0,False,1,False
Force India,OCO,24,SUPERSOFT,2.0,81698000000,1.0,True,1,False
Force India,OCO,25,SUPERSOFT,2.0,79602000000,2.0,True,1,True
Force India,OCO,26,SUPERSOFT,2.0,79793000000,3.0,True,1,True
Force India,OCO,27,SUPERSOFT,2.0,79594000000,4.0,True,1,True
Force India,OCO,28,SUPERSOFT,2.0,79280000000,5.0,True,1,True
Force India,OCO,29,SUPERSOFT,2.0,79072000000,6.0,True,1,True
Force India,OCO,30,SUPERSOFT,2.0,79261000000,7.0,True,1,True
Force India,OCO,31,SUPERSOFT,2.0,78267000000,8.0,True,1,True
Force India,OCO,32,SUPERSOFT,2.0,78873000000,9.0,True,1,True
Force India,OCO,33,SUPERSOFT,2.0,78470000000,10.0,True,1,True
Force India,OCO,34,SUPERSOFT,2.0,78479000000,11.0,True,1,True
Force India,OCO,35,SUPERSOFT,2.0,78454000000,12.0,True,1,True
Force India,OCO,36,SUPERSOFT,2.0,78683000000,13.0,True,1,True
Force India,OCO,37,SUPERSOFT,2.0,78465000000,14.0,True,1,True
Force India,OCO,38,SUPERSOFT,2.0,78972000000,15.0,True,1,True
Force India,OCO,39,SUPERSOFT,2.0,78826000000,16.0,True,1,True
Force India,OCO,40,SUPERSOFT,2.0,78774000000,17.0,True,1,True
