['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,PER,2,HYPERSOFT,1.0,80609000000,4.0,False,2,True
Force India,PER,3,HYPERSOFT,1.0,79711000000,5.0,False,1,True
Force India,PER,4,HYPERSOFT,1.0,79563000000,6.0,False,1,True
Force India,PER,5,HYPERSOFT,1.0,79376000000,7.0,False,1,True
Force India,PER,6,HYPERSOFT,1.0,79588000000,8.0,False,1,True
Force India,PER,7,HYPERSOFT,1.0,79654000000,9.0,False,1,True
Force India,PER,8,HYPERSOFT,1.0,79475000000,10.0,False,1,True
Force India,PER,9,HYPERSOFT,1.0,79040000000,11.0,False,1,True
Force India,PER,10,HYPERSOFT,1.0,78930000000,12.0,False,1,True
Force India,PER,11,HYPERSOFT,1.0,79175000000,13.0,False,1,True
Force India,PER,12,HYPERSOFT,1.0,79067000000,14.0,False,1,True
Force India,PER,13,HYPERSOFT,1.0,79495000000,15.0,False,2,True
Force India,PER,14,HYPERSOFT,1.0,79668000000,16.0,False,1,True
Force India,PER,15,HYPERSOFT,1.0,80311000000,17.0,False,1,True
Force India,PER,16,HYPERSOFT,1.0,80884000000,18.0,False,1,True
Force India,PER,17,HYPERSOFT,1.0,78682000000,19.0,False,1,True
Force India,PER,18,HYPERSOFT,1.0,78379000000,20.0,False,1,True
Force India,PER,19,HYPERSOFT,1.0,79143000000,21.0,False,1,True
Force India,PER,20,HYPERSOFT,1.0,79263000000,22.0,False,1,True
Force India,PER,21,HYPERSOFT,1.0,100898000000,23.0,False,1,False
Force India,PER,22,SUPERSOFT,2.0,81571000000,1.0,True,1,False
Force India,PER,23,SUPERSOFT,2.0,78373000000,2.0,True,1,True
Force India,PER,24,SUPERSOFT,2.0,77546000000,3.0,True,1,True
Force India,PER,25,SUPERSOFT,2.0,77869000000,4.0,True,1,True
Force India,PER,26,SUPERSOFT,2.0,78157000000,5.0,True,1,True
Force India,PER,27,SUPERSOFT,2.0,78206000000,6.0,True,1,True
Force India,PER,28,SUPERSOFT,2.0,78708000000,7.0,True,1,True
Force India,PER,29,SUPERSOFT,2.0,78896000000,8.0,True,1,True
Force India,PER,30,SUPERSOFT,2.0,79886000000,9.0,True,1,True
Force India,PER,31,SUPERSOFT,2.0,80099000000,10.0,True,1,True
Force India,PER,32,SUPERSOFT,2.0,79879000000,11.0,True,1,True
Force India,PER,33,SUPERSOFT,2.0,80145000000,12.0,True,1,True
Force India,PER,34,SUPERSOFT,2.0,79297000000,13.0,True,1,True
Force India,PER,35,SUPERSOFT,2.0,80077000000,14.0,True,1,True
Force India,PER,36,SUPERSOFT,2.0,79959000000,15.0,True,1,True
Force India,PER,37,SUPERSOFT,2.0,79953000000,16.0,True,1,True
Force India,PER,38,SUPERSOFT,2.0,80168000000,17.0,True,1,True
Force India,PER,39,SUPERSOFT,2.0,80424000000,18.0,True,1,True
Force India,PER,40,SUPERSOFT,2.0,80245000000,19.0,True,1,True
Force India,PER,41,SUPERSOFT,2.0,79137000000,20.0,True,1,True
Force India,PER,42,SUPERSOFT,2.0,79984000000,21.0,True,1,True
Force India,PER,43,SUPERSOFT,2.0,79578000000,22.0,True,1,True
Force India,PER,44,SUPERSOFT,2.0,80346000000,23.0,True,1,True
Force India,PER,45,SUPERSOFT,2.0,80231000000,24.0,True,1,True
Force India,PER,46,SUPERSOFT,2.0,80303000000,25.0,True,1,True
Force India,PER,47,SUPERSOFT,2.0,79284000000,26.0,True,1,True
Force India,PER,48,SUPERSOFT,2.0,79329000000,27.0,True,1,True
Force India,PER,49,SUPERSOFT,2.0,78915000000,28.0,True,1,True
Force India,PER,50,SUPERSOFT,2.0,79219000000,29.0,True,1,True
Force India,PER,51,SUPERSOFT,2.0,78646000000,30.0,True,1,True
Force India,PER,52,SUPERSOFT,2.0,79088000000,31.0,True,2,True
Force India,PER,53,SUPERSOFT,2.0,79282000000,32.0,True,2,True
Force India,PER,54,SUPERSOFT,2.0,78719000000,33.0,True,1,True
Force India,PER,55,SUPERSOFT,2.0,78738000000,34.0,True,1,True
Force India,PER,56,SUPERSOFT,2.0,78892000000,35.0,True,1,True
Force India,PER,57,SUPERSOFT,2.0,78438000000,36.0,True,1,True
Force India,PER,58,SUPERSOFT,2.0,78453000000,37.0,True,1,True
Force India,PER,59,SUPERSOFT,2.0,78209000000,38.0,True,1,True
Force India,PER,60,SUPERSOFT,2.0,78347000000,39.0,True,1,True
Force India,PER,61,SUPERSOFT,2.0,77949000000,40.0,True,1,True
Force India,PER,62,SUPERSOFT,2.0,77942000000,41.0,True,1,True
Force India,PER,63,SUPERSOFT,2.0,77785000000,42.0,True,1,True
Force India,PER,64,SUPERSOFT,2.0,78413000000,43.0,True,1,True
Force India,PER,65,SUPERSOFT,2.0,78591000000,44.0,True,1,True
Force India,PER,66,SUPERSOFT,2.0,78594000000,45.0,True,1,True
Force India,PER,67,SUPERSOFT,2.0,78221000000,46.0,True,1,True
Force India,PER,68,SUPERSOFT,2.0,78808000000,47.0,True,1,True
Force India,PER,69,SUPERSOFT,2.0,78912000000,48.0,True,1,True
Force India,PER,70,SUPERSOFT,2.0,78535000000,49.0,True,1,True
Force India,PER,71,SUPERSOFT,2.0,81871000000,50.0,True,2,True
Force India,PER,72,SUPERSOFT,2.0,102266000000,51.0,True,26,False
Force India,PER,73,SUPERSOFT,2.0,90456000000,52.0,True,67,False
Force India,PER,74,SUPERSOFT,2.0,79063000000,53.0,True,1,True
Force India,PER,75,SUPERSOFT,2.0,78678000000,54.0,True,1,True
Force India,PER,76,SUPERSOFT,2.0,77980000000,55.0,True,1,True
Force India,PER,77,SUPERSOFT,2.0,78110000000,56.0,True,1,True
Force India,PER,78,SUPERSOFT,2.0,78745000000,57.0,True,1,True
