['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2,HYPERSOFT,1.0,78414000000,4.0,False,2,True
Ferrari,RAI,3,HYPERSOFT,1.0,78156000000,5.0,False,1,True
Ferrari,RAI,4,HYPERSOFT,1.0,77725000000,6.0,False,1,True
Ferrari,RAI,5,HYPERSOFT,1.0,77880000000,7.0,False,1,True
Ferrari,RAI,6,HYPERSOFT,1.0,77547000000,8.0,False,1,True
Ferrari,RAI,7,HYPERSOFT,1.0,77618000000,9.0,False,1,True
Ferrari,RAI,8,HYPERSOFT,1.0,77171000000,10.0,False,1,True
Ferrari,RAI,9,HYPERSOFT,1.0,77043000000,11.0,False,1,True
Ferrari,RAI,10,HYPERSOFT,1.0,77216000000,12.0,False,1,True
Ferrari,RAI,11,HYPERSOFT,1.0,77605000000,13.0,False,1,True
Ferrari,RAI,12,HYPERSOFT,1.0,77906000000,14.0,False,1,True
Ferrari,RAI,13,HYPERSOFT,1.0,76392000000,15.0,False,1,True
Ferrari,RAI,14,HYPERSOFT,1.0,76879000000,16.0,False,2,True
Ferrari,RAI,15,HYPERSOFT,1.0,77125000000,17.0,False,1,True
Ferrari,RAI,16,HYPERSOFT,1.0,78129000000,18.0,False,1,True
Ferrari,RAI,17,HYPERSOFT,1.0,95833000000,19.0,False,1,False
Ferrari,RAI,18,ULTRASOFT,2.0,79851000000,1.0,True,1,False
Ferrari,RAI,19,ULTRASOFT,2.0,77060000000,2.0,True,1,True
Ferrari,RAI,20,ULTRASOFT,2.0,77076000000,3.0,True,1,True
Ferrari,RAI,21,ULTRASOFT,2.0,77310000000,4.0,True,1,True
Ferrari,RAI,22,ULTRASOFT,2.0,77810000000,5.0,True,1,True
Ferrari,RAI,23,ULTRASOFT,2.0,78551000000,6.0,True,1,True
Ferrari,RAI,24,ULTRASOFT,2.0,78600000000,7.0,True,1,True
Ferrari,RAI,25,ULTRASOFT,2.0,78883000000,8.0,True,1,True
Ferrari,RAI,26,ULTRASOFT,2.0,79284000000,9.0,True,1,True
Ferrari,RAI,27,ULTRASOFT,2.0,79135000000,10.0,True,1,True
Ferrari,RAI,28,ULTRASOFT,2.0,78907000000,11.0,True,1,True
Ferrari,RAI,29,ULTRASOFT,2.0,79698000000,12.0,True,1,True
Ferrari,RAI,30,ULTRASOFT,2.0,79448000000,13.0,True,1,True
Ferrari,RAI,31,ULTRASOFT,2.0,79494000000,14.0,True,1,True
Ferrari,RAI,32,ULTRASOFT,2.0,78941000000,15.0,True,1,True
Ferrari,RAI,33,ULTRASOFT,2.0,79069000000,16.0,True,1,True
Ferrari,RAI,34,ULTRASOFT,2.0,79062000000,17.0,True,1,True
Ferrari,RAI,35,ULTRASOFT,2.0,79301000000,18.0,True,1,True
Ferrari,RAI,36,ULTRASOFT,2.0,79466000000,19.0,True,1,True
Ferrari,RAI,37,ULTRASOFT,2.0,78993000000,20.0,True,1,True
Ferrari,RAI,38,ULTRASOFT,2.0,79016000000,21.0,True,1,True
Ferrari,RAI,39,ULTRASOFT,2.0,78970000000,22.0,True,1,True
Ferrari,RAI,40,ULTRASOFT,2.0,79137000000,23.0,True,1,True
Ferrari,RAI,41,ULTRASOFT,2.0,79592000000,24.0,True,1,True
Ferrari,RAI,42,ULTRASOFT,2.0,79420000000,25.0,True,1,True
Ferrari,RAI,43,ULTRASOFT,2.0,79310000000,26.0,True,1,True
Ferrari,RAI,44,ULTRASOFT,2.0,79614000000,27.0,True,1,True
Ferrari,RAI,45,ULTRASOFT,2.0,79492000000,28.0,True,1,True
Ferrari,RAI,46,ULTRASOFT,2.0,79240000000,29.0,True,1,True
Ferrari,RAI,47,ULTRASOFT,2.0,79469000000,30.0,True,1,True
Ferrari,RAI,48,ULTRASOFT,2.0,79285000000,31.0,True,1,True
Ferrari,RAI,49,ULTRASOFT,2.0,79377000000,32.0,True,1,True
Ferrari,RAI,50,ULTRASOFT,2.0,78931000000,33.0,True,1,True
Ferrari,RAI,51,ULTRASOFT,2.0,79272000000,34.0,True,1,True
Ferrari,RAI,52,ULTRASOFT,2.0,79363000000,35.0,True,1,True
Ferrari,RAI,53,ULTRASOFT,2.0,79204000000,36.0,True,2,True
Ferrari,RAI,54,ULTRASOFT,2.0,80553000000,37.0,True,2,True
Ferrari,RAI,55,ULTRASOFT,2.0,79576000000,38.0,True,1,True
Ferrari,RAI,56,ULTRASOFT,2.0,79617000000,39.0,True,1,True
Ferrari,RAI,57,ULTRASOFT,2.0,78582000000,40.0,True,1,True
Ferrari,RAI,58,ULTRASOFT,2.0,78929000000,41.0,True,1,True
Ferrari,RAI,59,ULTRASOFT,2.0,78597000000,42.0,True,1,True
Ferrari,RAI,60,ULTRASOFT,2.0,78875000000,43.0,True,1,True
Ferrari,RAI,61,ULTRASOFT,2.0,78725000000,44.0,True,1,True
Ferrari,RAI,62,ULTRASOFT,2.0,78147000000,45.0,True,1,True
Ferrari,RAI,63,ULTRASOFT,2.0,78555000000,46.0,True,1,True
Ferrari,RAI,64,ULTRASOFT,2.0,78339000000,47.0,True,1,True
Ferrari,RAI,65,ULTRASOFT,2.0,78747000000,48.0,True,1,True
Ferrari,RAI,66,ULTRASOFT,2.0,78607000000,49.0,True,1,True
Ferrari,RAI,67,ULTRASOFT,2.0,78591000000,50.0,True,1,True
Ferrari,RAI,68,ULTRASOFT,2.0,78911000000,51.0,True,1,True
Ferrari,RAI,69,ULTRASOFT,2.0,78719000000,52.0,True,1,True
Ferrari,RAI,70,ULTRASOFT,2.0,77957000000,53.0,True,1,True
Ferrari,RAI,71,ULTRASOFT,2.0,78424000000,54.0,True,1,True
Ferrari,RAI,72,ULTRASOFT,2.0,88274000000,55.0,True,26,False
Ferrari,RAI,73,ULTRASOFT,2.0,104166000000,56.0,True,67,False
Ferrari,RAI,74,ULTRASOFT,2.0,80453000000,57.0,True,7,False
Ferrari,RAI,75,ULTRASOFT,2.0,78210000000,58.0,True,1,True
Ferrari,RAI,76,ULTRASOFT,2.0,78080000000,59.0,True,1,True
Ferrari,RAI,77,ULTRASOFT,2.0,78435000000,60.0,True,1,True
Ferrari,RAI,78,ULTRASOFT,2.0,78358000000,61.0,True,1,True
