['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2,nan,nan,78135000000,nan,nan,2,True
Red Bull Racing,RIC,3,HYPERSOFT,1.0,77810000000,4.0,False,1,True
Red Bull Racing,RIC,4,HYPERSOFT,1.0,77796000000,5.0,False,1,True
Red Bull Racing,RIC,5,HYPERSOFT,1.0,77549000000,6.0,False,1,True
Red Bull Racing,RIC,6,HYPERSOFT,1.0,77428000000,7.0,False,1,True
Red Bull Racing,RIC,7,HYPERSOFT,1.0,77074000000,8.0,False,1,True
Red Bull Racing,RIC,8,HYPERSOFT,1.0,77110000000,9.0,False,1,True
Red Bull Racing,RIC,9,HYPERSOFT,1.0,76872000000,10.0,False,1,True
Red Bull Racing,RIC,10,HYPERSOFT,1.0,77047000000,11.0,False,1,True
Red Bull Racing,RIC,11,HYPERSOFT,1.0,76435000000,12.0,False,1,True
Red Bull Racing,RIC,12,HYPERSOFT,1.0,76848000000,13.0,False,1,True
Red Bull Racing,RIC,13,HYPERSOFT,1.0,75562000000,14.0,False,1,True
Red Bull Racing,RIC,14,HYPERSOFT,1.0,75792000000,15.0,False,2,True
Red Bull Racing,RIC,15,HYPERSOFT,1.0,75734000000,16.0,False,1,True
Red Bull Racing,RIC,16,HYPERSOFT,1.0,76981000000,17.0,False,1,True
Red Bull Racing,RIC,17,HYPERSOFT,1.0,92580000000,18.0,False,1,False
Red Bull Racing,RIC,18,ULTRASOFT,2.0,80661000000,1.0,True,1,False
Red Bull Racing,RIC,19,ULTRASOFT,2.0,78043000000,2.0,True,1,True
Red Bull Racing,RIC,20,ULTRASOFT,2.0,78831000000,3.0,True,1,True
Red Bull Racing,RIC,21,ULTRASOFT,2.0,78395000000,4.0,True,1,True
Red Bull Racing,RIC,22,ULTRASOFT,2.0,78712000000,5.0,True,1,True
Red Bull Racing,RIC,23,ULTRASOFT,2.0,78281000000,6.0,True,1,True
Red Bull Racing,RIC,24,ULTRASOFT,2.0,78275000000,7.0,True,1,True
Red Bull Racing,RIC,25,ULTRASOFT,2.0,79188000000,8.0,True,1,True
Red Bull Racing,RIC,26,ULTRASOFT,2.0,78672000000,9.0,True,1,True
Red Bull Racing,RIC,27,ULTRASOFT,2.0,79356000000,10.0,True,1,True
Red Bull Racing,RIC,28,ULTRASOFT,2.0,79418000000,11.0,True,1,True
Red Bull Racing,RIC,29,ULTRASOFT,2.0,78302000000,12.0,True,1,True
Red Bull Racing,RIC,30,ULTRASOFT,2.0,78257000000,13.0,True,1,True
Red Bull Racing,RIC,31,ULTRASOFT,2.0,79126000000,14.0,True,1,True
Red Bull Racing,RIC,32,ULTRASOFT,2.0,79156000000,15.0,True,1,True
Red Bull Racing,RIC,33,ULTRASOFT,2.0,78896000000,16.0,True,1,True
Red Bull Racing,RIC,34,ULTRASOFT,2.0,79461000000,17.0,True,1,True
Red Bull Racing,RIC,35,ULTRASOFT,2.0,79565000000,18.0,True,1,True
Red Bull Racing,RIC,36,ULTRASOFT,2.0,79852000000,19.0,True,1,True
Red Bull Racing,RIC,37,ULTRASOFT,2.0,80049000000,20.0,True,1,True
Red Bull Racing,RIC,38,ULTRASOFT,2.0,79809000000,21.0,True,1,True
Red Bull Racing,RIC,39,ULTRASOFT,2.0,79642000000,22.0,True,1,True
Red Bull Racing,RIC,40,ULTRASOFT,2.0,80031000000,23.0,True,1,True
Red Bull Racing,RIC,41,ULTRASOFT,2.0,79553000000,24.0,True,1,True
Red Bull Racing,RIC,42,ULTRASOFT,2.0,79979000000,25.0,True,1,True
Red Bull Racing,RIC,43,ULTRASOFT,2.0,79954000000,26.0,True,1,True
Red Bull Racing,RIC,44,ULTRASOFT,2.0,79797000000,27.0,True,1,True
Red Bull Racing,RIC,45,ULTRASOFT,2.0,79296000000,28.0,True,1,True
Red Bull Racing,RIC,46,ULTRASOFT,2.0,79638000000,29.0,True,1,True
Red Bull Racing,RIC,47,ULTRASOFT,2.0,79632000000,30.0,True,1,True
Red Bull Racing,RIC,48,ULTRASOFT,2.0,79405000000,31.0,True,1,True
Red Bull Racing,RIC,49,ULTRASOFT,2.0,79710000000,32.0,True,1,True
Red Bull Racing,RIC,50,ULTRASOFT,2.0,79759000000,33.0,True,1,True
Red Bull Racing,RIC,51,ULTRASOFT,2.0,79386000000,34.0,True,1,True
Red Bull Racing,RIC,52,ULTRASOFT,2.0,79611000000,35.0,True,1,True
Red Bull Racing,RIC,53,ULTRASOFT,2.0,79228000000,36.0,True,2,True
Red Bull Racing,RIC,54,ULTRASOFT,2.0,81196000000,37.0,True,2,True
Red Bull Racing,RIC,55,ULTRASOFT,2.0,79231000000,38.0,True,1,True
Red Bull Racing,RIC,56,ULTRASOFT,2.0,78341000000,39.0,True,1,True
Red Bull Racing,RIC,57,ULTRASOFT,2.0,78321000000,40.0,True,1,True
