['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2,ULTRASOFT,1.0,81235000000,1.0,True,2,True
Red Bull Racing,VER,3,ULTRASOFT,1.0,79775000000,2.0,True,1,True
Red Bull Racing,VER,4,ULTRASOFT,1.0,80396000000,3.0,True,1,True
Red Bull Racing,VER,5,ULTRASOFT,1.0,79395000000,4.0,True,1,True
Red Bull Racing,VER,6,ULTRASOFT,1.0,79747000000,5.0,True,1,True
Red Bull Racing,VER,7,ULTRASOFT,1.0,79861000000,6.0,True,1,True
Red Bull Racing,VER,8,ULTRASOFT,1.0,78233000000,7.0,True,1,True
Red Bull Racing,VER,9,ULTRASOFT,1.0,78310000000,8.0,True,1,True
Red Bull Racing,VER,10,ULTRASOFT,1.0,79376000000,9.0,True,1,True
Red Bull Racing,VER,11,ULTRASOFT,1.0,81081000000,10.0,True,1,True
Red Bull Racing,VER,12,ULTRASOFT,1.0,79372000000,11.0,True,1,True
Red Bull Racing,VER,13,ULTRASOFT,1.0,79016000000,12.0,True,2,True
Red Bull Racing,VER,14,ULTRASOFT,1.0,79218000000,13.0,True,1,True
Red Bull Racing,VER,15,ULTRASOFT,1.0,79300000000,14.0,True,1,True
Red Bull Racing,VER,16,ULTRASOFT,1.0,81211000000,15.0,True,1,True
Red Bull Racing,VER,17,ULTRASOFT,1.0,80713000000,16.0,True,1,True
Red Bull Racing,VER,18,ULTRASOFT,1.0,81061000000,17.0,True,1,True
Red Bull Racing,VER,19,ULTRASOFT,1.0,80572000000,18.0,True,1,True
Red Bull Racing,VER,20,ULTRASOFT,1.0,81945000000,19.0,True,1,True
Red Bull Racing,VER,21,ULTRASOFT,1.0,78624000000,20.0,True,1,True
Red Bull Racing,VER,22,ULTRASOFT,1.0,78558000000,21.0,True,1,True
Red Bull Racing,VER,23,ULTRASOFT,1.0,77788000000,22.0,True,1,True
Red Bull Racing,VER,24,ULTRASOFT,1.0,78379000000,23.0,True,1,True
Red Bull Racing,VER,25,ULTRASOFT,1.0,79124000000,24.0,True,1,True
Red Bull Racing,VER,26,ULTRASOFT,1.0,79481000000,25.0,True,1,True
Red Bull Racing,VER,27,ULTRASOFT,1.0,79443000000,26.0,True,1,True
Red Bull Racing,VER,28,ULTRASOFT,1.0,79250000000,27.0,True,1,True
Red Bull Racing,VER,29,ULTRASOFT,1.0,None,28.0,True,1,False
Red Bull Racing,VER,30,ULTRASOFT,1.0,78920000000,29.0,True,1,True
Red Bull Racing,VER,31,ULTRASOFT,1.0,None,30.0,True,1,False
Red Bull Racing,VER,32,ULTRASOFT,1.0,78726000000,31.0,True,1,True
Red Bull Racing,VER,33,ULTRASOFT,1.0,78751000000,32.0,True,1,True
Red Bull Racing,VER,34,ULTRASOFT,1.0,78810000000,33.0,True,1,True
Red Bull Racing,VER,35,ULTRASOFT,1.0,78550000000,34.0,True,1,True
Red Bull Racing,VER,36,ULTRASOFT,1.0,78797000000,35.0,True,1,True
Red Bull Racing,VER,37,ULTRASOFT,1.0,78470000000,36.0,True,1,True
Red Bull Racing,VER,38,ULTRASOFT,1.0,78937000000,37.0,True,1,True
Red Bull Racing,VER,39,ULTRASOFT,1.0,79154000000,38.0,True,1,True
