['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2,HYPERSOFT,1.0,78447000000,4.0,False,2,True
Ferrari,VET,3,HYPERSOFT,1.0,78088000000,5.0,False,1,True
Ferrari,VET,4,HYPERSOFT,1.0,77488000000,6.0,False,1,True
Ferrari,VET,5,HYPERSOFT,1.0,77827000000,7.0,False,1,True
Ferrari,VET,6,HYPERSOFT,1.0,77321000000,8.0,False,1,True
Ferrari,VET,7,HYPERSOFT,1.0,77256000000,9.0,False,1,True
Ferrari,VET,8,HYPERSOFT,1.0,76998000000,10.0,False,1,True
Ferrari,VET,9,HYPERSOFT,1.0,77264000000,11.0,False,1,True
Ferrari,VET,10,HYPERSOFT,1.0,76659000000,12.0,False,1,True
Ferrari,VET,11,HYPERSOFT,1.0,76644000000,13.0,False,1,True
Ferrari,VET,12,HYPERSOFT,1.0,76940000000,14.0,False,1,True
Ferrari,VET,13,HYPERSOFT,1.0,76139000000,15.0,False,1,True
Ferrari,VET,14,HYPERSOFT,1.0,76065000000,16.0,False,2,True
Ferrari,VET,15,HYPERSOFT,1.0,76539000000,17.0,False,1,True
Ferrari,VET,16,HYPERSOFT,1.0,94156000000,18.0,False,1,False
Ferrari,VET,17,ULTRASOFT,2.0,78172000000,1.0,True,1,False
Ferrari,VET,18,ULTRASOFT,2.0,77539000000,2.0,True,1,True
Ferrari,VET,19,ULTRASOFT,2.0,77875000000,3.0,True,1,True
Ferrari,VET,20,ULTRASOFT,2.0,77960000000,4.0,True,1,True
Ferrari,VET,21,ULTRASOFT,2.0,78481000000,5.0,True,1,True
Ferrari,VET,22,ULTRASOFT,2.0,78302000000,6.0,True,1,True
Ferrari,VET,23,ULTRASOFT,2.0,78288000000,7.0,True,1,True
Ferrari,VET,24,ULTRASOFT,2.0,78545000000,8.0,True,1,True
Ferrari,VET,25,ULTRASOFT,2.0,78717000000,9.0,True,1,True
Ferrari,VET,26,ULTRASOFT,2.0,78691000000,10.0,True,1,True
Ferrari,VET,27,ULTRASOFT,2.0,79274000000,11.0,True,1,True
Ferrari,VET,28,ULTRASOFT,2.0,78817000000,12.0,True,1,True
Ferrari,VET,29,ULTRASOFT,2.0,78038000000,13.0,True,1,True
Ferrari,VET,30,ULTRASOFT,2.0,78657000000,14.0,True,1,True
Ferrari,VET,31,ULTRASOFT,2.0,79103000000,15.0,True,1,True
Ferrari,VET,32,ULTRASOFT,2.0,79329000000,16.0,True,1,True
Ferrari,VET,33,ULTRASOFT,2.0,78919000000,17.0,True,1,True
Ferrari,VET,34,ULTRASOFT,2.0,79632000000,18.0,True,1,True
Ferrari,VET,35,ULTRASOFT,2.0,79775000000,19.0,True,1,True
Ferrari,VET,36,ULTRASOFT,2.0,79601000000,20.0,True,1,True
Ferrari,VET,37,ULTRASOFT,2.0,80137000000,21.0,True,1,True
Ferrari,VET,38,ULTRASOFT,2.0,79785000000,22.0,True,1,True
Ferrari,VET,39,ULTRASOFT,2.0,79786000000,23.0,True,1,True
Ferrari,VET,40,ULTRASOFT,2.0,79737000000,24.0,True,1,True
Ferrari,VET,41,ULTRASOFT,2.0,79859000000,25.0,True,1,True
Ferrari,VET,42,ULTRASOFT,2.0,79808000000,26.0,True,1,True
Ferrari,VET,43,ULTRASOFT,2.0,79938000000,27.0,True,1,True
Ferrari,VET,44,ULTRASOFT,2.0,79768000000,28.0,True,1,True
Ferrari,VET,45,ULTRASOFT,2.0,79566000000,29.0,True,1,True
Ferrari,VET,46,ULTRASOFT,2.0,79525000000,30.0,True,1,True
Ferrari,VET,47,ULTRASOFT,2.0,79486000000,31.0,True,1,True
Ferrari,VET,48,ULTRASOFT,2.0,79354000000,32.0,True,1,True
Ferrari,VET,49,ULTRASOFT,2.0,79682000000,33.0,True,1,True
Ferrari,VET,50,ULTRASOFT,2.0,79537000000,34.0,True,1,True
Ferrari,VET,51,ULTRASOFT,2.0,79594000000,35.0,True,1,True
Ferrari,VET,52,ULTRASOFT,2.0,79372000000,36.0,True,1,True
Ferrari,VET,53,ULTRASOFT,2.0,79541000000,37.0,True,2,True
Ferrari,VET,54,ULTRASOFT,2.0,80966000000,38.0,True,2,True
Ferrari,VET,55,ULTRASOFT,2.0,78941000000,39.0,True,1,True
Ferrari,VET,56,ULTRASOFT,2.0,78379000000,40.0,True,1,True
Ferrari,VET,57,ULTRASOFT,2.0,78185000000,41.0,True,1,True
Ferrari,VET,58,ULTRASOFT,2.0,78565000000,42.0,True,1,True
Ferrari,VET,59,ULTRASOFT,2.0,78381000000,43.0,True,1,True
Ferrari,VET,60,ULTRASOFT,2.0,78450000000,44.0,True,1,True
Ferrari,VET,61,ULTRASOFT,2.0,78428000000,45.0,True,1,True
Ferrari,VET,62,ULTRASOFT,2.0,77774000000,46.0,True,1,True
Ferrari,VET,63,ULTRASOFT,2.0,78148000000,47.0,True,1,True
Ferrari,VET,64,ULTRASOFT,2.0,77763000000,48.0,True,1,True
Ferrari,VET,65,ULTRASOFT,2.0,78054000000,49.0,True,1,True
Ferrari,VET,66,ULTRASOFT,2.0,77932000000,50.0,True,1,True
Ferrari,VET,67,ULTRASOFT,2.0,77628000000,51.0,True,1,True
Ferrari,VET,68,ULTRASOFT,2.0,77725000000,52.0,True,1,True
Ferrari,VET,69,ULTRASOFT,2.0,77959000000,53.0,True,1,True
Ferrari,VET,70,ULTRASOFT,2.0,77325000000,54.0,True,1,True
Ferrari,VET,71,ULTRASOFT,2.0,77229000000,55.0,True,1,True
Ferrari,VET,72,ULTRASOFT,2.0,80621000000,56.0,True,26,False
Ferrari,VET,73,ULTRASOFT,2.0,107651000000,57.0,True,6,False
Ferrari,VET,74,ULTRASOFT,2.0,89068000000,58.0,True,67,False
Ferrari,VET,75,ULTRASOFT,2.0,77373000000,59.0,True,1,True
Ferrari,VET,76,ULTRASOFT,2.0,78133000000,60.0,True,1,True
Ferrari,VET,77,ULTRASOFT,2.0,77848000000,61.0,True,1,True
Ferrari,VET,78,ULTRASOFT,2.0,78262000000,62.0,True,1,True
