['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,ALO,2,ULTRASOFT,1.0,105694000000,1.0,True,1,True
McLaren,ALO,3,ULTRASOFT,1.0,104562000000,2.0,True,1,True
McLaren,ALO,4,ULTRASOFT,1.0,104369000000,3.0,True,2,True
McLaren,ALO,5,ULTRASOFT,1.0,109256000000,4.0,True,1,False
McLaren,ALO,6,SOFT,2.0,122090000000,1.0,True,1,False
McLaren,ALO,7,SOFT,2.0,101819000000,2.0,True,1,True
McLaren,ALO,8,SOFT,2.0,102533000000,3.0,True,1,True
McLaren,ALO,9,SOFT,2.0,102311000000,4.0,True,1,True
McLaren,ALO,10,SOFT,2.0,102555000000,5.0,True,1,True
McLaren,ALO,11,SOFT,2.0,102014000000,6.0,True,1,True
McLaren,ALO,12,SOFT,2.0,102330000000,7.0,True,1,True
McLaren,ALO,13,SOFT,2.0,102148000000,8.0,True,1,True
McLaren,ALO,14,SOFT,2.0,102085000000,9.0,True,1,True
McLaren,ALO,15,SOFT,2.0,101923000000,10.0,True,1,True
McLaren,ALO,16,SOFT,2.0,101951000000,11.0,True,1,True
McLaren,ALO,17,SOFT,2.0,101958000000,12.0,True,1,True
McLaren,ALO,18,SOFT,2.0,101977000000,13.0,True,1,True
McLaren,ALO,19,SOFT,2.0,102260000000,14.0,True,1,True
McLaren,ALO,20,SOFT,2.0,101824000000,15.0,True,1,True
McLaren,ALO,21,SOFT,2.0,101863000000,16.0,True,1,True
McLaren,ALO,22,SOFT,2.0,102081000000,17.0,True,1,True
McLaren,ALO,23,SOFT,2.0,101758000000,18.0,True,1,True
McLaren,ALO,24,SOFT,2.0,101845000000,19.0,True,1,True
McLaren,ALO,25,SOFT,2.0,101353000000,20.0,True,1,True
McLaren,ALO,26,SOFT,2.0,101224000000,21.0,True,1,True
McLaren,ALO,27,SOFT,2.0,101384000000,22.0,True,1,True
McLaren,ALO,28,SOFT,2.0,101418000000,23.0,True,1,True
McLaren,ALO,29,SOFT,2.0,102733000000,24.0,True,1,True
McLaren,ALO,30,SOFT,2.0,104102000000,25.0,True,1,True
McLaren,ALO,31,SOFT,2.0,101794000000,26.0,True,1,True
McLaren,ALO,32,SOFT,2.0,101010000000,27.0,True,1,True
McLaren,ALO,33,SOFT,2.0,102226000000,28.0,True,1,True
McLaren,ALO,34,SOFT,2.0,100859000000,29.0,True,1,True
McLaren,ALO,35,SOFT,2.0,101423000000,30.0,True,1,True
McLaren,ALO,36,SOFT,2.0,100530000000,31.0,True,1,True
McLaren,ALO,37,SOFT,2.0,100214000000,32.0,True,1,True
McLaren,ALO,38,SOFT,2.0,100487000000,33.0,True,1,True
McLaren,ALO,39,SOFT,2.0,99853000000,34.0,True,1,True
McLaren,ALO,40,SOFT,2.0,100628000000,35.0,True,1,True
McLaren,ALO,41,SOFT,2.0,100378000000,36.0,True,1,True
McLaren,ALO,42,SOFT,2.0,100567000000,37.0,True,1,True
McLaren,ALO,43,SOFT,2.0,99913000000,38.0,True,1,True
McLaren,ALO,44,SOFT,2.0,99590000000,39.0,True,1,True
McLaren,ALO,45,SOFT,2.0,100664000000,40.0,True,1,True
McLaren,ALO,46,SOFT,2.0,101220000000,41.0,True,1,True
McLaren,ALO,47,SOFT,2.0,100470000000,42.0,True,1,True
McLaren,ALO,48,SOFT,2.0,100369000000,43.0,True,1,True
McLaren,ALO,49,SOFT,2.0,100364000000,44.0,True,1,True
McLaren,ALO,50,SOFT,2.0,100700000000,45.0,True,1,True
McLaren,ALO,51,SOFT,2.0,100394000000,46.0,True,1,True
McLaren,ALO,52,SOFT,2.0,101112000000,47.0,True,1,True
