['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2,HYPERSOFT,1.0,104614000000,4.0,False,1,True
Haas F1 Team,GRO,3,HYPERSOFT,1.0,103912000000,5.0,False,1,True
Haas F1 Team,GRO,4,HYPERSOFT,1.0,102659000000,6.0,False,2,True
Haas F1 Team,GRO,5,HYPERSOFT,1.0,102889000000,7.0,False,1,True
Haas F1 Team,GRO,6,HYPERSOFT,1.0,102777000000,8.0,False,1,True
Haas F1 Team,GRO,7,HYPERSOFT,1.0,103871000000,9.0,False,1,True
Haas F1 Team,GRO,8,HYPERSOFT,1.0,112436000000,10.0,False,1,False
Haas F1 Team,GRO,9,SOFT,2.0,122300000000,1.0,True,1,False
Haas F1 Team,GRO,10,SOFT,2.0,102215000000,2.0,True,1,True
Haas F1 Team,GRO,11,SOFT,2.0,101841000000,3.0,True,1,True
Haas F1 Team,GRO,12,SOFT,2.0,101132000000,4.0,True,1,True
Haas F1 Team,GRO,13,SOFT,2.0,101213000000,5.0,True,1,True
Haas F1 Team,GRO,14,SOFT,2.0,101607000000,6.0,True,1,True
Haas F1 Team,GRO,15,SOFT,2.0,101063000000,7.0,True,1,True
Haas F1 Team,GRO,16,SOFT,2.0,101397000000,8.0,True,1,True
Haas F1 Team,GRO,17,SOFT,2.0,100685000000,9.0,True,1,True
Haas F1 Team,GRO,18,SOFT,2.0,100935000000,10.0,True,1,True
Haas F1 Team,GRO,19,SOFT,2.0,100990000000,11.0,True,1,True
Haas F1 Team,GRO,20,SOFT,2.0,101053000000,12.0,True,1,True
Haas F1 Team,GRO,21,SOFT,2.0,101644000000,13.0,True,1,True
Haas F1 Team,GRO,22,SOFT,2.0,101165000000,14.0,True,1,True
Haas F1 Team,GRO,23,SOFT,2.0,101655000000,15.0,True,1,True
Haas F1 Team,GRO,24,SOFT,2.0,101784000000,16.0,True,1,True
Haas F1 Team,GRO,25,SOFT,2.0,101679000000,17.0,True,1,True
Haas F1 Team,GRO,26,SOFT,2.0,100968000000,18.0,True,1,True
Haas F1 Team,GRO,27,SOFT,2.0,100212000000,19.0,True,1,True
Haas F1 Team,GRO,28,SOFT,2.0,100085000000,20.0,True,1,True
Haas F1 Team,GRO,29,SOFT,2.0,100087000000,21.0,True,1,True
Haas F1 Team,GRO,30,SOFT,2.0,100073000000,22.0,True,1,True
Haas F1 Team,GRO,31,SOFT,2.0,99909000000,23.0,True,1,True
Haas F1 Team,GRO,32,SOFT,2.0,99527000000,24.0,True,1,True
Haas F1 Team,GRO,33,SOFT,2.0,99662000000,25.0,True,1,True
Haas F1 Team,GRO,34,SOFT,2.0,99368000000,26.0,True,1,False
Haas F1 Team,GRO,35,SOFT,2.0,99456000000,27.0,True,1,True
Haas F1 Team,GRO,36,SOFT,2.0,99284000000,28.0,True,1,True
Haas F1 Team,GRO,37,SOFT,2.0,99831000000,29.0,True,1,True
Haas F1 Team,GRO,38,SOFT,2.0,99254000000,30.0,True,1,True
Haas F1 Team,GRO,39,SOFT,2.0,99530000000,31.0,True,1,True
Haas F1 Team,GRO,40,SOFT,2.0,105417000000,32.0,True,1,True
Haas F1 Team,GRO,41,SOFT,2.0,99340000000,33.0,True,1,True
Haas F1 Team,GRO,42,SOFT,2.0,101398000000,34.0,True,1,True
Haas F1 Team,GRO,43,SOFT,2.0,99487000000,35.0,True,1,True
Haas F1 Team,GRO,44,SOFT,2.0,99375000000,36.0,True,1,True
Haas F1 Team,GRO,45,SOFT,2.0,99541000000,37.0,True,1,True
Haas F1 Team,GRO,46,SOFT,2.0,98244000000,38.0,True,1,True
Haas F1 Team,GRO,47,SOFT,2.0,99146000000,39.0,True,1,True
Haas F1 Team,GRO,48,SOFT,2.0,99737000000,40.0,True,1,True
Haas F1 Team,GRO,49,SOFT,2.0,101272000000,41.0,True,1,True
Haas F1 Team,GRO,50,SOFT,2.0,98933000000,42.0,True,1,True
Haas F1 Team,GRO,51,SOFT,2.0,99148000000,43.0,True,1,True
Haas F1 Team,GRO,52,SOFT,2.0,98354000000,44.0,True,1,True
