['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,HAM,2,ULTRASOFT,1.0,100132000000,4.0,False,1,True
Mercedes,HAM,3,ULTRASOFT,1.0,99916000000,5.0,False,1,True
Mercedes,HAM,4,ULTRASOFT,1.0,99770000000,6.0,False,2,True
Mercedes,HAM,5,ULTRASOFT,1.0,100126000000,7.0,False,1,True
Mercedes,HAM,6,ULTRASOFT,1.0,99744000000,8.0,False,1,True
Mercedes,HAM,7,ULTRASOFT,1.0,99656000000,9.0,False,1,True
Mercedes,HAM,8,ULTRASOFT,1.0,99829000000,10.0,False,1,True
Mercedes,HAM,9,ULTRASOFT,1.0,100226000000,11.0,False,1,True
Mercedes,HAM,10,ULTRASOFT,1.0,100349000000,12.0,False,1,True
Mercedes,HAM,11,ULTRASOFT,1.0,100292000000,13.0,False,1,True
Mercedes,HAM,12,ULTRASOFT,1.0,100012000000,14.0,False,1,True
Mercedes,HAM,13,ULTRASOFT,1.0,99553000000,15.0,False,1,True
Mercedes,HAM,14,ULTRASOFT,1.0,104617000000,16.0,False,1,False
Mercedes,HAM,15,SOFT,2.0,119661000000,1.0,True,1,False
Mercedes,HAM,16,SOFT,2.0,99616000000,2.0,True,1,True
Mercedes,HAM,17,SOFT,2.0,98644000000,3.0,True,1,True
Mercedes,HAM,18,SOFT,2.0,98537000000,4.0,True,1,True
Mercedes,HAM,19,SOFT,2.0,98826000000,5.0,True,1,True
Mercedes,HAM,20,SOFT,2.0,98410000000,6.0,True,1,True
Mercedes,HAM,21,SOFT,2.0,98430000000,7.0,True,1,True
Mercedes,HAM,22,SOFT,2.0,98677000000,8.0,True,1,True
Mercedes,HAM,23,SOFT,2.0,99566000000,9.0,True,1,True
Mercedes,HAM,24,SOFT,2.0,99107000000,10.0,True,1,True
Mercedes,HAM,25,SOFT,2.0,98687000000,11.0,True,1,True
Mercedes,HAM,26,SOFT,2.0,98731000000,12.0,True,1,True
Mercedes,HAM,27,SOFT,2.0,98470000000,13.0,True,1,True
Mercedes,HAM,28,SOFT,2.0,97947000000,14.0,True,1,True
Mercedes,HAM,29,SOFT,2.0,98436000000,15.0,True,1,True
Mercedes,HAM,30,SOFT,2.0,99360000000,16.0,True,1,True
Mercedes,HAM,31,SOFT,2.0,98392000000,17.0,True,1,True
Mercedes,HAM,32,SOFT,2.0,98447000000,18.0,True,1,True
Mercedes,HAM,33,SOFT,2.0,97988000000,19.0,True,1,True
Mercedes,HAM,34,SOFT,2.0,98419000000,20.0,True,1,True
Mercedes,HAM,35,SOFT,2.0,98039000000,21.0,True,1,True
Mercedes,HAM,36,SOFT,2.0,97691000000,22.0,True,1,True
Mercedes,HAM,37,SOFT,2.0,97395000000,23.0,True,1,True
Mercedes,HAM,38,SOFT,2.0,97316000000,24.0,True,1,True
Mercedes,HAM,39,SOFT,2.0,97288000000,25.0,True,1,True
Mercedes,HAM,40,SOFT,2.0,97358000000,26.0,True,1,True
Mercedes,HAM,41,SOFT,2.0,97757000000,27.0,True,1,True
Mercedes,HAM,42,SOFT,2.0,99059000000,28.0,True,1,True
Mercedes,HAM,43,SOFT,2.0,97469000000,29.0,True,1,True
Mercedes,HAM,44,SOFT,2.0,96664000000,30.0,True,1,True
Mercedes,HAM,45,SOFT,2.0,96185000000,31.0,True,1,True
Mercedes,HAM,46,SOFT,2.0,97069000000,32.0,True,1,True
Mercedes,HAM,47,SOFT,2.0,96765000000,33.0,True,1,True
Mercedes,HAM,48,SOFT,2.0,96421000000,34.0,True,1,True
Mercedes,HAM,49,SOFT,2.0,96137000000,35.0,True,1,True
Mercedes,HAM,50,SOFT,2.0,95916000000,36.0,True,1,True
Mercedes,HAM,51,SOFT,2.0,96067000000,37.0,True,1,True
Mercedes,HAM,52,SOFT,2.0,97898000000,38.0,True,1,True
Mercedes,HAM,53,SOFT,2.0,96403000000,39.0,True,1,True
