['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2,HYPERSOFT,1.0,104252000000,4.0,False,1,True
Haas F1 Team,MAG,3,HYPERSOFT,1.0,101658000000,5.0,False,1,True
Haas F1 Team,MAG,4,HYPERSOFT,1.0,102183000000,6.0,False,2,True
Haas F1 Team,MAG,5,HYPERSOFT,1.0,102540000000,7.0,False,1,True
Haas F1 Team,MAG,6,HYPERSOFT,1.0,104028000000,8.0,False,1,True
Haas F1 Team,MAG,7,HYPERSOFT,1.0,102790000000,9.0,False,1,True
Haas F1 Team,MAG,8,HYPERSOFT,1.0,103070000000,10.0,False,1,True
Haas F1 Team,MAG,9,HYPERSOFT,1.0,107526000000,11.0,False,1,False
Haas F1 Team,MAG,10,SOFT,2.0,119929000000,1.0,True,1,False
Haas F1 Team,MAG,11,SOFT,2.0,101641000000,2.0,True,1,True
Haas F1 Team,MAG,12,SOFT,2.0,100867000000,3.0,True,1,True
Haas F1 Team,MAG,13,SOFT,2.0,101405000000,4.0,True,1,True
Haas F1 Team,MAG,14,SOFT,2.0,101723000000,5.0,True,1,True
Haas F1 Team,MAG,15,SOFT,2.0,102120000000,6.0,True,1,True
Haas F1 Team,MAG,16,SOFT,2.0,102238000000,7.0,True,1,True
Haas F1 Team,MAG,17,SOFT,2.0,102105000000,8.0,True,1,True
Haas F1 Team,MAG,18,SOFT,2.0,101177000000,9.0,True,1,True
Haas F1 Team,MAG,19,SOFT,2.0,102142000000,10.0,True,1,True
Haas F1 Team,MAG,20,SOFT,2.0,101301000000,11.0,True,1,True
Haas F1 Team,MAG,21,SOFT,2.0,100999000000,12.0,True,1,True
Haas F1 Team,MAG,22,SOFT,2.0,100847000000,13.0,True,1,True
Haas F1 Team,MAG,23,SOFT,2.0,100870000000,14.0,True,1,True
Haas F1 Team,MAG,24,SOFT,2.0,100802000000,15.0,True,1,True
Haas F1 Team,MAG,25,SOFT,2.0,100610000000,16.0,True,1,True
Haas F1 Team,MAG,26,SOFT,2.0,100218000000,17.0,True,1,True
Haas F1 Team,MAG,27,SOFT,2.0,100331000000,18.0,True,1,True
Haas F1 Team,MAG,28,SOFT,2.0,100031000000,19.0,True,1,True
Haas F1 Team,MAG,29,SOFT,2.0,100216000000,20.0,True,1,True
Haas F1 Team,MAG,30,SOFT,2.0,100035000000,21.0,True,1,True
Haas F1 Team,MAG,31,SOFT,2.0,99989000000,22.0,True,1,True
Haas F1 Team,MAG,32,SOFT,2.0,99782000000,23.0,True,1,True
Haas F1 Team,MAG,33,SOFT,2.0,99902000000,24.0,True,1,True
Haas F1 Team,MAG,34,SOFT,2.0,99648000000,25.0,True,1,True
Haas F1 Team,MAG,35,SOFT,2.0,99619000000,26.0,True,1,True
Haas F1 Team,MAG,36,SOFT,2.0,99516000000,27.0,True,1,True
Haas F1 Team,MAG,37,SOFT,2.0,99541000000,28.0,True,1,True
Haas F1 Team,MAG,38,SOFT,2.0,99373000000,29.0,True,1,True
Haas F1 Team,MAG,39,SOFT,2.0,98961000000,30.0,True,1,True
Haas F1 Team,MAG,40,SOFT,2.0,98995000000,31.0,True,1,True
Haas F1 Team,MAG,41,SOFT,2.0,98826000000,32.0,True,1,True
Haas F1 Team,MAG,42,SOFT,2.0,99177000000,33.0,True,1,True
Haas F1 Team,MAG,43,SOFT,2.0,98801000000,34.0,True,1,True
Haas F1 Team,MAG,44,SOFT,2.0,98815000000,35.0,True,1,True
Haas F1 Team,MAG,45,SOFT,2.0,98626000000,36.0,True,1,True
Haas F1 Team,MAG,46,SOFT,2.0,98732000000,37.0,True,1,True
Haas F1 Team,MAG,47,SOFT,2.0,100628000000,38.0,True,1,True
Haas F1 Team,MAG,48,SOFT,2.0,101484000000,39.0,True,1,True
Haas F1 Team,MAG,49,SOFT,2.0,98389000000,40.0,True,1,True
Haas F1 Team,MAG,50,SOFT,2.0,98197000000,41.0,True,1,True
Haas F1 Team,MAG,51,SOFT,2.0,98188000000,42.0,True,1,True
Haas F1 Team,MAG,52,SOFT,2.0,98015000000,43.0,True,1,True
