['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2,HYPERSOFT,1.0,103928000000,4.0,False,1,True
Racing Point,OCO,3,HYPERSOFT,1.0,102179000000,5.0,False,1,True
Racing Point,OCO,4,HYPERSOFT,1.0,102458000000,6.0,False,2,True
Racing Point,OCO,5,HYPERSOFT,1.0,103066000000,7.0,False,1,True
Racing Point,OCO,6,HYPERSOFT,1.0,102529000000,8.0,False,1,True
Racing Point,OCO,7,HYPERSOFT,1.0,102894000000,9.0,False,1,True
Racing Point,OCO,8,HYPERSOFT,1.0,102832000000,10.0,False,1,True
Racing Point,OCO,9,HYPERSOFT,1.0,103290000000,11.0,False,1,True
Racing Point,OCO,10,HYPERSOFT,1.0,104816000000,12.0,False,1,False
Racing Point,OCO,11,SOFT,2.0,121760000000,1.0,True,1,False
Racing Point,OCO,12,SOFT,2.0,100776000000,2.0,True,1,True
Racing Point,OCO,13,SOFT,2.0,101394000000,3.0,True,1,True
Racing Point,OCO,14,SOFT,2.0,101644000000,4.0,True,1,True
Racing Point,OCO,15,SOFT,2.0,102041000000,5.0,True,1,True
Racing Point,OCO,16,SOFT,2.0,101998000000,6.0,True,1,True
Racing Point,OCO,17,SOFT,2.0,102114000000,7.0,True,1,True
Racing Point,OCO,18,SOFT,2.0,101493000000,8.0,True,1,True
Racing Point,OCO,19,SOFT,2.0,101817000000,9.0,True,1,True
Racing Point,OCO,20,SOFT,2.0,101346000000,10.0,True,1,True
Racing Point,OCO,21,SOFT,2.0,101048000000,11.0,True,1,True
Racing Point,OCO,22,SOFT,2.0,101006000000,12.0,True,1,True
Racing Point,OCO,23,SOFT,2.0,100667000000,13.0,True,1,True
Racing Point,OCO,24,SOFT,2.0,100903000000,14.0,True,1,True
Racing Point,OCO,25,SOFT,2.0,101282000000,15.0,True,1,True
Racing Point,OCO,26,SOFT,2.0,102232000000,16.0,True,1,True
Racing Point,OCO,27,SOFT,2.0,99839000000,17.0,True,1,True
Racing Point,OCO,28,SOFT,2.0,99950000000,18.0,True,1,True
Racing Point,OCO,29,SOFT,2.0,99879000000,19.0,True,1,True
Racing Point,OCO,30,SOFT,2.0,99909000000,20.0,True,1,True
Racing Point,OCO,31,SOFT,2.0,99847000000,21.0,True,1,True
Racing Point,OCO,32,SOFT,2.0,99873000000,22.0,True,1,True
Racing Point,OCO,33,SOFT,2.0,99768000000,23.0,True,1,True
Racing Point,OCO,34,SOFT,2.0,99787000000,24.0,True,1,True
Racing Point,OCO,35,SOFT,2.0,99544000000,25.0,True,1,True
Racing Point,OCO,36,SOFT,2.0,99653000000,26.0,True,1,True
Racing Point,OCO,37,SOFT,2.0,99112000000,27.0,True,1,True
Racing Point,OCO,38,SOFT,2.0,98849000000,28.0,True,1,True
Racing Point,OCO,39,SOFT,2.0,98908000000,29.0,True,1,True
Racing Point,OCO,40,SOFT,2.0,98821000000,30.0,True,1,True
Racing Point,OCO,41,SOFT,2.0,98712000000,31.0,True,1,True
Racing Point,OCO,42,SOFT,2.0,98768000000,32.0,True,1,True
Racing Point,OCO,43,SOFT,2.0,99244000000,33.0,True,1,True
Racing Point,OCO,44,SOFT,2.0,98778000000,34.0,True,1,True
Racing Point,OCO,45,SOFT,2.0,98929000000,35.0,True,1,True
Racing Point,OCO,46,SOFT,2.0,98493000000,36.0,True,1,True
Racing Point,OCO,47,SOFT,2.0,102525000000,37.0,True,1,True
Racing Point,OCO,48,SOFT,2.0,99056000000,38.0,True,1,True
Racing Point,OCO,49,SOFT,2.0,98745000000,39.0,True,1,True
Racing Point,OCO,50,SOFT,2.0,98499000000,40.0,True,1,True
Racing Point,OCO,51,SOFT,2.0,100118000000,41.0,True,1,True
Racing Point,OCO,52,SOFT,2.0,98366000000,42.0,True,1,True
