['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2,SOFT,1.0,103473000000,1.0,True,1,True
Red Bull Racing,RIC,3,SOFT,1.0,101298000000,2.0,True,1,True
Red Bull Racing,RIC,4,SOFT,1.0,102514000000,3.0,True,2,True
Red Bull Racing,RIC,5,SOFT,1.0,102594000000,4.0,True,1,True
Red Bull Racing,RIC,6,SOFT,1.0,102105000000,5.0,True,1,True
Red Bull Racing,RIC,7,SOFT,1.0,103127000000,6.0,True,1,True
Red Bull Racing,RIC,8,SOFT,1.0,103587000000,7.0,True,1,True
Red Bull Racing,RIC,9,SOFT,1.0,100984000000,8.0,True,1,True
Red Bull Racing,RIC,10,SOFT,1.0,100773000000,9.0,True,1,True
Red Bull Racing,RIC,11,SOFT,1.0,100622000000,10.0,True,1,True
Red Bull Racing,RIC,12,SOFT,1.0,100528000000,11.0,True,1,True
Red Bull Racing,RIC,13,SOFT,1.0,100515000000,12.0,True,1,True
Red Bull Racing,RIC,14,SOFT,1.0,100146000000,13.0,True,1,True
Red Bull Racing,RIC,15,SOFT,1.0,99898000000,14.0,True,1,True
Red Bull Racing,RIC,16,SOFT,1.0,99932000000,15.0,True,1,True
Red Bull Racing,RIC,17,SOFT,1.0,99828000000,16.0,True,1,True
Red Bull Racing,RIC,18,SOFT,1.0,99723000000,17.0,True,1,True
Red Bull Racing,RIC,19,SOFT,1.0,99872000000,18.0,True,1,True
Red Bull Racing,RIC,20,SOFT,1.0,99510000000,19.0,True,1,True
Red Bull Racing,RIC,21,SOFT,1.0,99444000000,20.0,True,1,True
Red Bull Racing,RIC,22,SOFT,1.0,99315000000,21.0,True,1,True
Red Bull Racing,RIC,23,SOFT,1.0,99378000000,22.0,True,1,True
Red Bull Racing,RIC,24,SOFT,1.0,99315000000,23.0,True,1,True
Red Bull Racing,RIC,25,SOFT,1.0,99355000000,24.0,True,1,True
Red Bull Racing,RIC,26,SOFT,1.0,99234000000,25.0,True,1,True
Red Bull Racing,RIC,27,SOFT,1.0,99559000000,26.0,True,1,True
Red Bull Racing,RIC,28,SOFT,1.0,99540000000,27.0,True,1,True
Red Bull Racing,RIC,29,SOFT,1.0,100072000000,28.0,True,1,True
Red Bull Racing,RIC,30,SOFT,1.0,98443000000,29.0,True,1,True
Red Bull Racing,RIC,31,SOFT,1.0,98991000000,30.0,True,1,True
Red Bull Racing,RIC,32,SOFT,1.0,98835000000,31.0,True,1,True
Red Bull Racing,RIC,33,SOFT,1.0,98900000000,32.0,True,1,True
Red Bull Racing,RIC,34,SOFT,1.0,99644000000,33.0,True,1,True
Red Bull Racing,RIC,35,SOFT,1.0,98795000000,34.0,True,1,True
Red Bull Racing,RIC,36,SOFT,1.0,98466000000,35.0,True,1,True
Red Bull Racing,RIC,37,SOFT,1.0,98210000000,36.0,True,1,True
Red Bull Racing,RIC,38,SOFT,1.0,98710000000,37.0,True,1,True
Red Bull Racing,RIC,39,SOFT,1.0,103500000000,38.0,True,1,False
Red Bull Racing,RIC,40,ULTRASOFT,2.0,126147000000,1.0,True,1,False
Red Bull Racing,RIC,41,ULTRASOFT,2.0,96345000000,2.0,True,1,True
Red Bull Racing,RIC,42,ULTRASOFT,2.0,97891000000,3.0,True,1,True
Red Bull Racing,RIC,43,ULTRASOFT,2.0,97700000000,4.0,True,1,True
Red Bull Racing,RIC,44,ULTRASOFT,2.0,98012000000,5.0,True,1,True
Red Bull Racing,RIC,45,ULTRASOFT,2.0,97235000000,6.0,True,1,True
Red Bull Racing,RIC,46,ULTRASOFT,2.0,97684000000,7.0,True,1,True
Red Bull Racing,RIC,47,ULTRASOFT,2.0,97301000000,8.0,True,1,True
Red Bull Racing,RIC,48,ULTRASOFT,2.0,99097000000,9.0,True,1,True
Red Bull Racing,RIC,49,ULTRASOFT,2.0,99336000000,10.0,True,1,True
Red Bull Racing,RIC,50,ULTRASOFT,2.0,98606000000,11.0,True,1,True
Red Bull Racing,RIC,51,ULTRASOFT,2.0,98339000000,12.0,True,1,True
Red Bull Racing,RIC,52,ULTRASOFT,2.0,98918000000,13.0,True,1,True
Red Bull Racing,RIC,53,ULTRASOFT,2.0,99395000000,14.0,True,1,True
