['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,SAI,2,SOFT,1.0,104804000000,1.0,True,1,True
Renault,SAI,3,SOFT,1.0,103522000000,2.0,True,1,True
Renault,SAI,4,SOFT,1.0,103098000000,3.0,True,2,True
Renault,SAI,5,SOFT,1.0,104666000000,4.0,True,1,True
Renault,SAI,6,SOFT,1.0,104703000000,5.0,True,1,True
Renault,SAI,7,SOFT,1.0,103279000000,6.0,True,1,True
Renault,SAI,8,SOFT,1.0,103521000000,7.0,True,1,True
Renault,SAI,9,SOFT,1.0,103237000000,8.0,True,1,True
Renault,SAI,10,SOFT,1.0,103064000000,9.0,True,1,True
Renault,SAI,11,SOFT,1.0,102785000000,10.0,True,1,True
Renault,SAI,12,SOFT,1.0,102924000000,11.0,True,1,True
Renault,SAI,13,SOFT,1.0,103021000000,12.0,True,1,True
Renault,SAI,14,SOFT,1.0,104774000000,13.0,True,1,True
Renault,SAI,15,SOFT,1.0,102993000000,14.0,True,1,True
Renault,SAI,16,SOFT,1.0,102514000000,15.0,True,1,True
Renault,SAI,17,SOFT,1.0,102313000000,16.0,True,1,True
Renault,SAI,18,SOFT,1.0,106216000000,17.0,True,1,True
Renault,SAI,19,SOFT,1.0,102342000000,18.0,True,1,True
Renault,SAI,20,SOFT,1.0,102279000000,19.0,True,1,True
Renault,SAI,21,SOFT,1.0,101880000000,20.0,True,1,True
Renault,SAI,22,SOFT,1.0,101867000000,21.0,True,1,True
Renault,SAI,23,SOFT,1.0,101688000000,22.0,True,1,True
Renault,SAI,24,SOFT,1.0,102066000000,23.0,True,1,True
Renault,SAI,25,SOFT,1.0,104787000000,24.0,True,1,True
Renault,SAI,26,SOFT,1.0,101989000000,25.0,True,1,True
Renault,SAI,27,SOFT,1.0,101873000000,26.0,True,1,True
Renault,SAI,28,SOFT,1.0,101428000000,27.0,True,1,True
Renault,SAI,29,SOFT,1.0,101320000000,28.0,True,1,True
Renault,SAI,30,SOFT,1.0,101475000000,29.0,True,1,True
Renault,SAI,31,SOFT,1.0,101126000000,30.0,True,1,True
Renault,SAI,32,SOFT,1.0,105840000000,31.0,True,1,False
Renault,SAI,33,ULTRASOFT,2.0,123528000000,1.0,True,1,False
Renault,SAI,34,ULTRASOFT,2.0,101522000000,2.0,True,1,True
Renault,SAI,35,ULTRASOFT,2.0,99731000000,3.0,True,1,True
Renault,SAI,36,ULTRASOFT,2.0,100509000000,4.0,True,1,True
Renault,SAI,37,ULTRASOFT,2.0,100903000000,5.0,True,1,True
Renault,SAI,38,ULTRASOFT,2.0,101297000000,6.0,True,1,True
Renault,SAI,39,ULTRASOFT,2.0,101988000000,7.0,True,1,True
Renault,SAI,40,ULTRASOFT,2.0,102782000000,8.0,True,1,True
Renault,SAI,41,ULTRASOFT,2.0,102264000000,9.0,True,1,True
Renault,SAI,42,ULTRASOFT,2.0,101497000000,10.0,True,1,True
Renault,SAI,43,ULTRASOFT,2.0,102795000000,11.0,True,1,True
Renault,SAI,44,ULTRASOFT,2.0,100627000000,12.0,True,1,True
Renault,SAI,45,ULTRASOFT,2.0,100514000000,13.0,True,1,True
Renault,SAI,46,ULTRASOFT,2.0,100542000000,14.0,True,1,True
Renault,SAI,47,ULTRASOFT,2.0,100665000000,15.0,True,1,True
Renault,SAI,48,ULTRASOFT,2.0,100557000000,16.0,True,1,True
Renault,SAI,49,ULTRASOFT,2.0,102651000000,17.0,True,1,True
Renault,SAI,50,ULTRASOFT,2.0,102251000000,18.0,True,1,True
Renault,SAI,51,ULTRASOFT,2.0,105229000000,19.0,True,1,True
