['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,SIR,2,ULTRASOFT,1.0,104593000000,1.0,True,1,True
Williams,SIR,3,ULTRASOFT,1.0,105160000000,2.0,True,1,True
Williams,SIR,4,ULTRASOFT,1.0,104247000000,3.0,True,2,True
Williams,SIR,5,ULTRASOFT,1.0,104576000000,4.0,True,1,True
Williams,SIR,6,ULTRASOFT,1.0,105775000000,5.0,True,1,True
Williams,SIR,7,ULTRASOFT,1.0,108276000000,6.0,True,1,True
Williams,SIR,8,ULTRASOFT,1.0,107737000000,7.0,True,1,True
Williams,SIR,9,ULTRASOFT,1.0,107205000000,8.0,True,1,True
Williams,SIR,10,ULTRASOFT,1.0,111949000000,9.0,True,1,False
Williams,SIR,11,SOFT,2.0,123408000000,1.0,True,1,False
Williams,SIR,12,SOFT,2.0,101925000000,2.0,True,1,True
Williams,SIR,13,SOFT,2.0,102184000000,3.0,True,1,True
Williams,SIR,14,SOFT,2.0,101800000000,4.0,True,1,True
Williams,SIR,15,SOFT,2.0,101987000000,5.0,True,1,True
Williams,SIR,16,SOFT,2.0,101723000000,6.0,True,1,True
Williams,SIR,17,SOFT,2.0,101589000000,7.0,True,1,True
Williams,SIR,18,SOFT,2.0,101651000000,8.0,True,1,False
Williams,SIR,19,SOFT,2.0,101768000000,9.0,True,1,True
Williams,SIR,20,SOFT,2.0,101820000000,10.0,True,1,True
Williams,SIR,21,SOFT,2.0,105832000000,11.0,True,1,True
Williams,SIR,22,SOFT,2.0,103592000000,12.0,True,1,True
Williams,SIR,23,SOFT,2.0,101950000000,13.0,True,1,True
Williams,SIR,24,SOFT,2.0,102781000000,14.0,True,1,True
Williams,SIR,25,SOFT,2.0,101483000000,15.0,True,1,True
Williams,SIR,26,SOFT,2.0,101584000000,16.0,True,1,True
Williams,SIR,27,SOFT,2.0,103118000000,17.0,True,1,True
Williams,SIR,28,SOFT,2.0,100791000000,18.0,True,1,True
Williams,SIR,29,SOFT,2.0,100909000000,19.0,True,1,True
Williams,SIR,30,SOFT,2.0,101205000000,20.0,True,1,True
Williams,SIR,31,SOFT,2.0,100623000000,21.0,True,1,True
Williams,SIR,32,SOFT,2.0,101197000000,22.0,True,1,True
Williams,SIR,33,SOFT,2.0,101929000000,23.0,True,1,True
Williams,SIR,34,SOFT,2.0,100755000000,24.0,True,1,True
Williams,SIR,35,SOFT,2.0,100810000000,25.0,True,1,True
Williams,SIR,36,SOFT,2.0,100294000000,26.0,True,1,True
Williams,SIR,37,SOFT,2.0,100041000000,27.0,True,1,True
Williams,SIR,38,SOFT,2.0,100515000000,28.0,True,1,True
Williams,SIR,39,SOFT,2.0,100225000000,29.0,True,1,True
Williams,SIR,40,SOFT,2.0,100435000000,30.0,True,1,True
Williams,SIR,41,SOFT,2.0,100277000000,31.0,True,1,True
Williams,SIR,42,SOFT,2.0,101941000000,32.0,True,1,True
Williams,SIR,43,SOFT,2.0,99838000000,33.0,True,1,True
Williams,SIR,44,SOFT,2.0,100533000000,34.0,True,1,True
Williams,SIR,45,SOFT,2.0,100462000000,35.0,True,1,True
Williams,SIR,46,SOFT,2.0,100326000000,36.0,True,1,True
Williams,SIR,47,SOFT,2.0,101076000000,37.0,True,1,True
Williams,SIR,48,SOFT,2.0,101699000000,38.0,True,1,True
Williams,SIR,49,SOFT,2.0,100861000000,39.0,True,1,True
Williams,SIR,50,SOFT,2.0,102614000000,40.0,True,1,True
Williams,SIR,51,SOFT,2.0,104037000000,41.0,True,1,True
