['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2,ULTRASOFT,1.0,104323000000,1.0,True,1,True
Williams,STR,3,ULTRASOFT,1.0,104741000000,2.0,True,1,True
Williams,STR,4,ULTRASOFT,1.0,104505000000,3.0,True,2,True
Williams,STR,5,ULTRASOFT,1.0,104786000000,4.0,True,1,True
Williams,STR,6,ULTRASOFT,1.0,106054000000,5.0,True,1,True
Williams,STR,7,ULTRASOFT,1.0,112775000000,6.0,True,1,False
Williams,STR,8,SOFT,2.0,121404000000,1.0,True,1,False
Williams,STR,9,SOFT,2.0,101984000000,2.0,True,1,True
Williams,STR,10,SOFT,2.0,102409000000,3.0,True,1,True
Williams,STR,11,SOFT,2.0,102579000000,4.0,True,1,True
Williams,STR,12,SOFT,2.0,102450000000,5.0,True,1,True
Williams,STR,13,SOFT,2.0,102409000000,6.0,True,1,True
Williams,STR,14,SOFT,2.0,102577000000,7.0,True,1,True
Williams,STR,15,SOFT,2.0,102103000000,8.0,True,1,True
Williams,STR,16,SOFT,2.0,101979000000,9.0,True,1,True
Williams,STR,17,SOFT,2.0,101921000000,10.0,True,1,True
Williams,STR,18,SOFT,2.0,101699000000,11.0,True,1,True
Williams,STR,19,SOFT,2.0,102091000000,12.0,True,1,True
Williams,STR,20,SOFT,2.0,101422000000,13.0,True,1,True
Williams,STR,21,SOFT,2.0,101412000000,14.0,True,1,True
Williams,STR,22,SOFT,2.0,101572000000,15.0,True,1,True
Williams,STR,23,SOFT,2.0,101028000000,16.0,True,1,True
Williams,STR,24,SOFT,2.0,100836000000,17.0,True,1,True
Williams,STR,25,SOFT,2.0,100749000000,18.0,True,1,True
Williams,STR,26,SOFT,2.0,101141000000,19.0,True,1,True
Williams,STR,27,SOFT,2.0,100804000000,20.0,True,1,True
Williams,STR,28,SOFT,2.0,100943000000,21.0,True,1,True
Williams,STR,29,SOFT,2.0,103867000000,22.0,True,1,True
Williams,STR,30,SOFT,2.0,103299000000,23.0,True,1,True
Williams,STR,31,SOFT,2.0,100647000000,24.0,True,1,True
Williams,STR,32,SOFT,2.0,102130000000,25.0,True,1,True
Williams,STR,33,SOFT,2.0,100806000000,26.0,True,1,True
Williams,STR,34,SOFT,2.0,100965000000,27.0,True,1,True
Williams,STR,35,SOFT,2.0,100889000000,28.0,True,1,True
Williams,STR,36,SOFT,2.0,101011000000,29.0,True,1,True
Williams,STR,37,SOFT,2.0,100166000000,30.0,True,1,True
Williams,STR,38,SOFT,2.0,101760000000,31.0,True,1,True
Williams,STR,39,SOFT,2.0,99761000000,32.0,True,1,True
Williams,STR,40,SOFT,2.0,100137000000,33.0,True,1,True
Williams,STR,41,SOFT,2.0,100262000000,34.0,True,1,True
Williams,STR,42,SOFT,2.0,100106000000,35.0,True,1,True
Williams,STR,43,SOFT,2.0,99784000000,36.0,True,1,True
Williams,STR,44,SOFT,2.0,99435000000,37.0,True,1,True
Williams,STR,45,SOFT,2.0,100687000000,38.0,True,1,True
Williams,STR,46,SOFT,2.0,100996000000,39.0,True,1,True
Williams,STR,47,SOFT,2.0,100384000000,40.0,True,1,True
Williams,STR,48,SOFT,2.0,100497000000,41.0,True,1,True
Williams,STR,49,SOFT,2.0,100663000000,42.0,True,1,True
Williams,STR,50,SOFT,2.0,100431000000,43.0,True,1,True
Williams,STR,51,SOFT,2.0,100325000000,44.0,True,1,True
Williams,STR,52,SOFT,2.0,100842000000,45.0,True,1,True
