['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2,ULTRASOFT,1.0,105885000000,1.0,True,1,True
McLaren,VAN,3,ULTRASOFT,1.0,104493000000,2.0,True,1,True
McLaren,VAN,4,ULTRASOFT,1.0,104659000000,3.0,True,2,True
McLaren,VAN,5,ULTRASOFT,1.0,104620000000,4.0,True,1,True
McLaren,VAN,6,ULTRASOFT,1.0,104525000000,5.0,True,1,True
McLaren,VAN,7,ULTRASOFT,1.0,105241000000,6.0,True,1,True
McLaren,VAN,8,ULTRASOFT,1.0,106392000000,7.0,True,1,True
McLaren,VAN,9,ULTRASOFT,1.0,105428000000,8.0,True,1,True
McLaren,VAN,10,ULTRASOFT,1.0,105271000000,9.0,True,1,True
McLaren,VAN,11,ULTRASOFT,1.0,109604000000,10.0,True,1,False
McLaren,VAN,12,SOFT,2.0,122919000000,1.0,True,1,False
McLaren,VAN,13,SOFT,2.0,102191000000,2.0,True,1,True
McLaren,VAN,14,SOFT,2.0,102394000000,3.0,True,1,True
McLaren,VAN,15,SOFT,2.0,102436000000,4.0,True,1,True
McLaren,VAN,16,SOFT,2.0,101768000000,5.0,True,1,True
McLaren,VAN,17,SOFT,2.0,101896000000,6.0,True,1,True
McLaren,VAN,18,SOFT,2.0,102006000000,7.0,True,1,True
McLaren,VAN,19,SOFT,2.0,102078000000,8.0,True,1,True
McLaren,VAN,20,SOFT,2.0,102113000000,9.0,True,1,True
McLaren,VAN,21,SOFT,2.0,101968000000,10.0,True,1,True
McLaren,VAN,22,SOFT,2.0,107396000000,11.0,True,1,True
McLaren,VAN,23,SOFT,2.0,101822000000,12.0,True,1,True
McLaren,VAN,24,SOFT,2.0,101760000000,13.0,True,1,True
McLaren,VAN,25,SOFT,2.0,103149000000,14.0,True,1,True
McLaren,VAN,26,SOFT,2.0,101199000000,15.0,True,1,True
McLaren,VAN,27,SOFT,2.0,101174000000,16.0,True,1,True
McLaren,VAN,28,SOFT,2.0,101626000000,17.0,True,1,True
McLaren,VAN,29,SOFT,2.0,102357000000,18.0,True,1,True
McLaren,VAN,30,SOFT,2.0,101104000000,19.0,True,1,True
McLaren,VAN,31,SOFT,2.0,100706000000,20.0,True,1,True
McLaren,VAN,32,SOFT,2.0,101154000000,21.0,True,1,True
McLaren,VAN,33,SOFT,2.0,100901000000,22.0,True,1,True
McLaren,VAN,34,SOFT,2.0,100590000000,23.0,True,1,True
McLaren,VAN,35,SOFT,2.0,100575000000,24.0,True,1,True
McLaren,VAN,36,SOFT,2.0,100804000000,25.0,True,1,True
McLaren,VAN,37,SOFT,2.0,100686000000,26.0,True,1,True
McLaren,VAN,38,SOFT,2.0,100521000000,27.0,True,1,True
McLaren,VAN,39,SOFT,2.0,100445000000,28.0,True,1,True
McLaren,VAN,40,SOFT,2.0,100115000000,29.0,True,1,True
McLaren,VAN,41,SOFT,2.0,99922000000,30.0,True,1,True
McLaren,VAN,42,SOFT,2.0,100568000000,31.0,True,1,True
McLaren,VAN,43,SOFT,2.0,102348000000,32.0,True,1,True
McLaren,VAN,44,SOFT,2.0,100758000000,33.0,True,1,True
McLaren,VAN,45,SOFT,2.0,100491000000,34.0,True,1,True
McLaren,VAN,46,SOFT,2.0,100406000000,35.0,True,1,True
McLaren,VAN,47,SOFT,2.0,100666000000,36.0,True,1,True
McLaren,VAN,48,SOFT,2.0,100815000000,37.0,True,1,True
McLaren,VAN,49,SOFT,2.0,102279000000,38.0,True,1,True
McLaren,VAN,50,SOFT,2.0,102045000000,39.0,True,1,True
McLaren,VAN,51,SOFT,2.0,100549000000,40.0,True,1,True
