['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2,SOFT,1.0,102825000000,1.0,True,1,False
Red Bull Racing,VER,3,SOFT,1.0,101713000000,2.0,True,1,True
Red Bull Racing,VER,4,SOFT,1.0,101156000000,3.0,True,2,True
Red Bull Racing,VER,5,SOFT,1.0,100795000000,4.0,True,1,True
Red Bull Racing,VER,6,SOFT,1.0,101017000000,5.0,True,1,True
Red Bull Racing,VER,7,SOFT,1.0,101160000000,6.0,True,1,True
Red Bull Racing,VER,8,SOFT,1.0,99598000000,7.0,True,1,True
Red Bull Racing,VER,9,SOFT,1.0,100384000000,8.0,True,1,True
Red Bull Racing,VER,10,SOFT,1.0,100010000000,9.0,True,1,True
Red Bull Racing,VER,11,SOFT,1.0,99746000000,10.0,True,1,True
Red Bull Racing,VER,12,SOFT,1.0,99908000000,11.0,True,1,True
Red Bull Racing,VER,13,SOFT,1.0,99762000000,12.0,True,1,True
Red Bull Racing,VER,14,SOFT,1.0,99507000000,13.0,True,1,True
Red Bull Racing,VER,15,SOFT,1.0,99718000000,14.0,True,1,True
Red Bull Racing,VER,16,SOFT,1.0,99582000000,15.0,True,1,True
Red Bull Racing,VER,17,SOFT,1.0,99415000000,16.0,True,1,True
Red Bull Racing,VER,18,SOFT,1.0,99148000000,17.0,True,1,True
Red Bull Racing,VER,19,SOFT,1.0,99295000000,18.0,True,1,True
Red Bull Racing,VER,20,SOFT,1.0,99339000000,19.0,True,1,True
Red Bull Racing,VER,21,SOFT,1.0,99174000000,20.0,True,1,True
Red Bull Racing,VER,22,SOFT,1.0,99485000000,21.0,True,1,True
Red Bull Racing,VER,23,SOFT,1.0,99433000000,22.0,True,1,True
Red Bull Racing,VER,24,SOFT,1.0,98757000000,23.0,True,1,True
Red Bull Racing,VER,25,SOFT,1.0,98885000000,24.0,True,1,True
Red Bull Racing,VER,26,SOFT,1.0,98645000000,25.0,True,1,True
Red Bull Racing,VER,27,SOFT,1.0,98379000000,26.0,True,1,True
Red Bull Racing,VER,28,SOFT,1.0,98406000000,27.0,True,1,True
Red Bull Racing,VER,29,SOFT,1.0,99067000000,28.0,True,1,False
Red Bull Racing,VER,30,SOFT,1.0,98710000000,29.0,True,1,True
Red Bull Racing,VER,31,SOFT,1.0,98486000000,30.0,True,1,True
Red Bull Racing,VER,32,SOFT,1.0,98219000000,31.0,True,1,True
Red Bull Racing,VER,33,SOFT,1.0,98415000000,32.0,True,1,True
Red Bull Racing,VER,34,SOFT,1.0,97875000000,33.0,True,1,True
Red Bull Racing,VER,35,SOFT,1.0,97820000000,34.0,True,1,True
Red Bull Racing,VER,36,SOFT,1.0,97902000000,35.0,True,1,True
Red Bull Racing,VER,37,SOFT,1.0,97638000000,36.0,True,1,True
Red Bull Racing,VER,38,SOFT,1.0,97561000000,37.0,True,1,True
Red Bull Racing,VER,39,SOFT,1.0,97817000000,38.0,True,1,True
Red Bull Racing,VER,40,SOFT,1.0,98183000000,39.0,True,1,True
Red Bull Racing,VER,41,SOFT,1.0,98135000000,40.0,True,1,True
Red Bull Racing,VER,42,SOFT,1.0,97961000000,41.0,True,1,True
Red Bull Racing,VER,43,SOFT,1.0,102365000000,42.0,True,1,False
Red Bull Racing,VER,44,ULTRASOFT,2.0,117741000000,1.0,True,1,False
Red Bull Racing,VER,45,ULTRASOFT,2.0,96283000000,2.0,True,1,True
Red Bull Racing,VER,46,ULTRASOFT,2.0,97925000000,3.0,True,1,True
Red Bull Racing,VER,47,ULTRASOFT,2.0,97215000000,4.0,True,1,True
Red Bull Racing,VER,48,ULTRASOFT,2.0,97197000000,5.0,True,1,True
Red Bull Racing,VER,49,ULTRASOFT,2.0,97360000000,6.0,True,1,True
Red Bull Racing,VER,50,ULTRASOFT,2.0,97234000000,7.0,True,1,True
Red Bull Racing,VER,51,ULTRASOFT,2.0,97118000000,8.0,True,1,True
Red Bull Racing,VER,52,ULTRASOFT,2.0,97347000000,9.0,True,1,True
Red Bull Racing,VER,53,ULTRASOFT,2.0,98246000000,10.0,True,1,True
