['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,VET,2,ULTRASOFT,1.0,100317000000,4.0,False,1,True
Ferrari,VET,3,ULTRASOFT,1.0,100119000000,5.0,False,1,True
Ferrari,VET,4,ULTRASOFT,1.0,100122000000,6.0,False,2,True
Ferrari,VET,5,ULTRASOFT,1.0,100096000000,7.0,False,1,True
Ferrari,VET,6,ULTRASOFT,1.0,100005000000,8.0,False,1,True
Ferrari,VET,7,ULTRASOFT,1.0,100035000000,9.0,False,1,True
Ferrari,VET,8,ULTRASOFT,1.0,99546000000,10.0,False,1,True
Ferrari,VET,9,ULTRASOFT,1.0,99907000000,11.0,False,1,True
Ferrari,VET,10,ULTRASOFT,1.0,100349000000,12.0,False,1,True
Ferrari,VET,11,ULTRASOFT,1.0,100108000000,13.0,False,1,True
Ferrari,VET,12,ULTRASOFT,1.0,100027000000,14.0,False,1,True
Ferrari,VET,13,ULTRASOFT,1.0,104329000000,15.0,False,1,False
Ferrari,VET,14,SOFT,2.0,117762000000,1.0,True,1,False
Ferrari,VET,15,SOFT,2.0,99353000000,2.0,True,1,True
Ferrari,VET,16,SOFT,2.0,101443000000,3.0,True,1,True
Ferrari,VET,17,SOFT,2.0,99132000000,4.0,True,1,True
Ferrari,VET,18,SOFT,2.0,99156000000,5.0,True,1,True
Ferrari,VET,19,SOFT,2.0,98429000000,6.0,True,1,True
Ferrari,VET,20,SOFT,2.0,98723000000,7.0,True,1,True
Ferrari,VET,21,SOFT,2.0,98475000000,8.0,True,1,True
Ferrari,VET,22,SOFT,2.0,98807000000,9.0,True,1,True
Ferrari,VET,23,SOFT,2.0,98559000000,10.0,True,1,True
Ferrari,VET,24,SOFT,2.0,99036000000,11.0,True,1,True
Ferrari,VET,25,SOFT,2.0,99929000000,12.0,True,1,True
Ferrari,VET,26,SOFT,2.0,98852000000,13.0,True,1,True
Ferrari,VET,27,SOFT,2.0,98786000000,14.0,True,1,True
Ferrari,VET,28,SOFT,2.0,99292000000,15.0,True,1,True
Ferrari,VET,29,SOFT,2.0,98412000000,16.0,True,1,True
Ferrari,VET,30,SOFT,2.0,98446000000,17.0,True,1,True
Ferrari,VET,31,SOFT,2.0,99371000000,18.0,True,1,True
Ferrari,VET,32,SOFT,2.0,97750000000,19.0,True,1,True
Ferrari,VET,33,SOFT,2.0,98393000000,20.0,True,1,True
Ferrari,VET,34,SOFT,2.0,98407000000,21.0,True,1,True
Ferrari,VET,35,SOFT,2.0,97995000000,22.0,True,1,True
Ferrari,VET,36,SOFT,2.0,97991000000,23.0,True,1,True
Ferrari,VET,37,SOFT,2.0,97632000000,24.0,True,1,True
Ferrari,VET,38,SOFT,2.0,97420000000,25.0,True,1,True
Ferrari,VET,39,SOFT,2.0,97116000000,26.0,True,1,True
Ferrari,VET,40,SOFT,2.0,97289000000,27.0,True,1,True
Ferrari,VET,41,SOFT,2.0,97458000000,28.0,True,1,True
Ferrari,VET,42,SOFT,2.0,97621000000,29.0,True,1,True
Ferrari,VET,43,SOFT,2.0,97350000000,30.0,True,1,True
Ferrari,VET,44,SOFT,2.0,97530000000,31.0,True,1,True
Ferrari,VET,45,SOFT,2.0,96688000000,32.0,True,1,True
Ferrari,VET,46,SOFT,2.0,96984000000,33.0,True,1,True
Ferrari,VET,47,SOFT,2.0,96467000000,34.0,True,1,True
Ferrari,VET,48,SOFT,2.0,96631000000,35.0,True,1,True
Ferrari,VET,49,SOFT,2.0,97925000000,36.0,True,1,True
Ferrari,VET,50,SOFT,2.0,95990000000,37.0,True,1,True
Ferrari,VET,51,SOFT,2.0,96886000000,38.0,True,1,True
Ferrari,VET,52,SOFT,2.0,96760000000,39.0,True,1,True
Ferrari,VET,53,SOFT,2.0,98583000000,40.0,True,1,True
