['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,ALO,2.0,ULTRASOFT,1.0,None,1.0,True,4,False
McLaren,ALO,3.0,ULTRASOFT,1.0,None,2.0,True,4,False
McLaren,ALO,4.0,ULTRASOFT,1.0,None,3.0,True,4,False
McLaren,ALO,5.0,ULTRASOFT,1.0,110255000000,4.0,True,1,False
McLaren,ALO,6.0,ULTRASOFT,1.0,109733000000,5.0,True,1,True
McLaren,ALO,7.0,ULTRASOFT,1.0,109194000000,6.0,True,1,True
McLaren,ALO,8.0,ULTRASOFT,1.0,108811000000,7.0,True,1,True
McLaren,ALO,9.0,ULTRASOFT,1.0,108743000000,8.0,True,1,True
McLaren,ALO,10.0,ULTRASOFT,1.0,108997000000,9.0,True,1,True
McLaren,ALO,11.0,ULTRASOFT,1.0,109660000000,10.0,True,1,True
McLaren,ALO,12.0,ULTRASOFT,1.0,109220000000,11.0,True,1,True
McLaren,ALO,13.0,ULTRASOFT,1.0,109832000000,12.0,True,1,True
McLaren,ALO,14.0,ULTRASOFT,1.0,110203000000,13.0,True,1,True
McLaren,ALO,15.0,ULTRASOFT,1.0,111038000000,14.0,True,1,True
McLaren,ALO,16.0,ULTRASOFT,1.0,111032000000,15.0,True,1,True
McLaren,ALO,17.0,ULTRASOFT,1.0,107422000000,16.0,True,1,True
McLaren,ALO,18.0,ULTRASOFT,1.0,107522000000,17.0,True,1,True
McLaren,ALO,19.0,ULTRASOFT,1.0,106798000000,18.0,True,1,True
McLaren,ALO,20.0,ULTRASOFT,1.0,107111000000,19.0,True,1,True
McLaren,ALO,21.0,ULTRASOFT,1.0,107048000000,20.0,True,1,True
McLaren,ALO,22.0,ULTRASOFT,1.0,107142000000,21.0,True,1,True
McLaren,ALO,23.0,ULTRASOFT,1.0,107252000000,22.0,True,1,True
McLaren,ALO,24.0,ULTRASOFT,1.0,107086000000,23.0,True,1,True
McLaren,ALO,25.0,ULTRASOFT,1.0,107376000000,24.0,True,1,True
McLaren,ALO,26.0,ULTRASOFT,1.0,106882000000,25.0,True,1,True
McLaren,ALO,27.0,ULTRASOFT,1.0,106796000000,26.0,True,1,True
McLaren,ALO,28.0,ULTRASOFT,1.0,107146000000,27.0,True,1,True
McLaren,ALO,29.0,ULTRASOFT,1.0,106790000000,28.0,True,1,True
McLaren,ALO,30.0,ULTRASOFT,1.0,107202000000,29.0,True,1,True
McLaren,ALO,31.0,ULTRASOFT,1.0,106805000000,30.0,True,1,True
McLaren,ALO,32.0,ULTRASOFT,1.0,106893000000,31.0,True,1,True
McLaren,ALO,33.0,ULTRASOFT,1.0,106699000000,32.0,True,1,True
McLaren,ALO,34.0,ULTRASOFT,1.0,107143000000,33.0,True,1,True
McLaren,ALO,35.0,ULTRASOFT,1.0,106837000000,34.0,True,1,True
McLaren,ALO,36.0,ULTRASOFT,1.0,106896000000,35.0,True,1,True
McLaren,ALO,37.0,ULTRASOFT,1.0,107999000000,36.0,True,1,True
McLaren,ALO,38.0,ULTRASOFT,1.0,115275000000,37.0,True,1,False
McLaren,ALO,39.0,SOFT,2.0,127447000000,1.0,True,1,False
McLaren,ALO,40.0,SOFT,2.0,105535000000,2.0,True,1,True
McLaren,ALO,41.0,SOFT,2.0,105921000000,3.0,True,1,True
McLaren,ALO,42.0,SOFT,2.0,105958000000,4.0,True,1,True
McLaren,ALO,43.0,SOFT,2.0,106736000000,5.0,True,1,True
McLaren,ALO,44.0,SOFT,2.0,103518000000,6.0,True,1,True
McLaren,ALO,45.0,SOFT,2.0,106138000000,7.0,True,1,True
McLaren,ALO,46.0,SOFT,2.0,104786000000,8.0,True,1,True
McLaren,ALO,47.0,SOFT,2.0,105377000000,9.0,True,1,True
McLaren,ALO,48.0,SOFT,2.0,105530000000,10.0,True,1,True
McLaren,ALO,49.0,SOFT,2.0,105864000000,11.0,True,1,True
McLaren,ALO,50.0,SOFT,2.0,107072000000,12.0,True,1,True
McLaren,ALO,51.0,SOFT,2.0,106083000000,13.0,True,1,True
McLaren,ALO,52.0,SOFT,2.0,104881000000,14.0,True,1,True
McLaren,ALO,53.0,SOFT,2.0,104674000000,15.0,True,1,True
McLaren,ALO,54.0,SOFT,2.0,105403000000,16.0,True,1,True
McLaren,ALO,55.0,SOFT,2.0,107882000000,17.0,True,1,True
McLaren,ALO,56.0,SOFT,2.0,107143000000,18.0,True,1,True
McLaren,ALO,57.0,SOFT,2.0,103164000000,19.0,True,1,True
McLaren,ALO,58.0,SOFT,2.0,104611000000,20.0,True,1,True
McLaren,ALO,59.0,SOFT,2.0,105074000000,21.0,True,1,True
McLaren,ALO,60.0,SOFT,2.0,105012000000,22.0,True,1,True
McLaren,ALO,61.0,SOFT,2.0,108763000000,23.0,True,1,True
