['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2.0,HYPERSOFT,1.0,None,4.0,False,4,False
Mercedes,BOT,3.0,HYPERSOFT,1.0,None,5.0,False,4,False
Mercedes,BOT,4.0,HYPERSOFT,1.0,None,6.0,False,4,False
Mercedes,BOT,5.0,HYPERSOFT,1.0,108477000000,7.0,False,1,False
Mercedes,BOT,6.0,HYPERSOFT,1.0,108699000000,8.0,False,1,True
Mercedes,BOT,7.0,HYPERSOFT,1.0,107909000000,9.0,False,1,True
Mercedes,BOT,8.0,HYPERSOFT,1.0,107399000000,10.0,False,1,True
Mercedes,BOT,9.0,HYPERSOFT,1.0,107307000000,11.0,False,1,True
Mercedes,BOT,10.0,HYPERSOFT,1.0,107814000000,12.0,False,1,True
Mercedes,BOT,11.0,HYPERSOFT,1.0,107859000000,13.0,False,1,True
Mercedes,BOT,12.0,HYPERSOFT,1.0,107125000000,14.0,False,1,True
Mercedes,BOT,13.0,HYPERSOFT,1.0,106839000000,15.0,False,1,True
Mercedes,BOT,14.0,HYPERSOFT,1.0,106319000000,16.0,False,1,True
Mercedes,BOT,15.0,HYPERSOFT,1.0,105839000000,17.0,False,1,True
Mercedes,BOT,16.0,HYPERSOFT,1.0,113563000000,18.0,False,1,False
Mercedes,BOT,17.0,SOFT,2.0,125123000000,1.0,True,1,False
Mercedes,BOT,18.0,SOFT,2.0,105544000000,2.0,True,1,True
Mercedes,BOT,19.0,SOFT,2.0,105680000000,3.0,True,1,True
Mercedes,BOT,20.0,SOFT,2.0,106191000000,4.0,True,1,True
Mercedes,BOT,21.0,SOFT,2.0,106398000000,5.0,True,1,True
Mercedes,BOT,22.0,SOFT,2.0,106378000000,6.0,True,1,True
Mercedes,BOT,23.0,SOFT,2.0,105843000000,7.0,True,1,True
Mercedes,BOT,24.0,SOFT,2.0,105387000000,8.0,True,1,True
Mercedes,BOT,25.0,SOFT,2.0,105427000000,9.0,True,1,True
Mercedes,BOT,26.0,SOFT,2.0,105812000000,10.0,True,1,True
Mercedes,BOT,27.0,SOFT,2.0,105464000000,11.0,True,1,True
Mercedes,BOT,28.0,SOFT,2.0,105675000000,12.0,True,1,True
Mercedes,BOT,29.0,SOFT,2.0,105684000000,13.0,True,1,True
Mercedes,BOT,30.0,SOFT,2.0,105813000000,14.0,True,1,True
Mercedes,BOT,31.0,SOFT,2.0,105464000000,15.0,True,1,True
Mercedes,BOT,32.0,SOFT,2.0,105637000000,16.0,True,1,True
Mercedes,BOT,33.0,SOFT,2.0,105452000000,17.0,True,1,True
Mercedes,BOT,34.0,SOFT,2.0,105721000000,18.0,True,1,True
Mercedes,BOT,35.0,SOFT,2.0,105719000000,19.0,True,1,True
Mercedes,BOT,36.0,SOFT,2.0,105361000000,20.0,True,1,True
Mercedes,BOT,37.0,SOFT,2.0,105885000000,21.0,True,1,True
Mercedes,BOT,38.0,SOFT,2.0,108318000000,22.0,True,1,True
Mercedes,BOT,39.0,SOFT,2.0,108553000000,23.0,True,1,True
Mercedes,BOT,40.0,SOFT,2.0,106622000000,24.0,True,1,True
Mercedes,BOT,41.0,SOFT,2.0,104812000000,25.0,True,1,True
Mercedes,BOT,42.0,SOFT,2.0,104720000000,26.0,True,1,True
Mercedes,BOT,43.0,SOFT,2.0,107345000000,27.0,True,1,True
Mercedes,BOT,44.0,SOFT,2.0,105503000000,28.0,True,1,True
Mercedes,BOT,45.0,SOFT,2.0,105358000000,29.0,True,1,True
Mercedes,BOT,46.0,SOFT,2.0,104869000000,30.0,True,1,True
Mercedes,BOT,47.0,SOFT,2.0,105355000000,31.0,True,1,True
Mercedes,BOT,48.0,SOFT,2.0,106146000000,32.0,True,1,True
Mercedes,BOT,49.0,SOFT,2.0,106216000000,33.0,True,1,True
Mercedes,BOT,50.0,SOFT,2.0,106354000000,34.0,True,1,True
Mercedes,BOT,51.0,SOFT,2.0,106040000000,35.0,True,1,True
Mercedes,BOT,52.0,SOFT,2.0,106256000000,36.0,True,1,True
Mercedes,BOT,53.0,SOFT,2.0,106040000000,37.0,True,1,True
Mercedes,BOT,54.0,SOFT,2.0,106031000000,38.0,True,1,True
Mercedes,BOT,55.0,SOFT,2.0,106568000000,39.0,True,1,True
Mercedes,BOT,56.0,SOFT,2.0,106519000000,40.0,True,1,True
Mercedes,BOT,57.0,SOFT,2.0,106905000000,41.0,True,1,True
Mercedes,BOT,58.0,SOFT,2.0,107076000000,42.0,True,1,True
Mercedes,BOT,59.0,SOFT,2.0,106347000000,43.0,True,1,True
Mercedes,BOT,60.0,SOFT,2.0,107211000000,44.0,True,1,True
Mercedes,BOT,61.0,SOFT,2.0,106891000000,45.0,True,1,True
