['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2.0,HYPERSOFT,1.0,None,1.0,True,4,False
Toro Rosso,GAS,3.0,HYPERSOFT,1.0,None,2.0,True,4,False
Toro Rosso,GAS,4.0,HYPERSOFT,1.0,None,3.0,True,4,False
Toro Rosso,GAS,5.0,HYPERSOFT,1.0,111186000000,4.0,True,1,False
Toro Rosso,GAS,6.0,HYPERSOFT,1.0,110994000000,5.0,True,1,True
Toro Rosso,GAS,7.0,HYPERSOFT,1.0,110018000000,6.0,True,1,True
Toro Rosso,GAS,8.0,HYPERSOFT,1.0,109401000000,7.0,True,1,True
Toro Rosso,GAS,9.0,HYPERSOFT,1.0,109377000000,8.0,True,1,True
Toro Rosso,GAS,10.0,HYPERSOFT,1.0,109143000000,9.0,True,1,True
Toro Rosso,GAS,11.0,HYPERSOFT,1.0,108879000000,10.0,True,1,True
Toro Rosso,GAS,12.0,HYPERSOFT,1.0,109044000000,11.0,True,1,True
Toro Rosso,GAS,13.0,HYPERSOFT,1.0,109276000000,12.0,True,1,True
Toro Rosso,GAS,14.0,HYPERSOFT,1.0,109454000000,13.0,True,1,True
Toro Rosso,GAS,15.0,HYPERSOFT,1.0,109727000000,14.0,True,1,True
Toro Rosso,GAS,16.0,HYPERSOFT,1.0,110199000000,15.0,True,1,True
Toro Rosso,GAS,17.0,HYPERSOFT,1.0,109290000000,16.0,True,1,True
Toro Rosso,GAS,18.0,HYPERSOFT,1.0,108741000000,17.0,True,1,True
Toro Rosso,GAS,19.0,HYPERSOFT,1.0,108363000000,18.0,True,1,True
Toro Rosso,GAS,20.0,HYPERSOFT,1.0,108922000000,19.0,True,1,True
Toro Rosso,GAS,21.0,HYPERSOFT,1.0,108783000000,20.0,True,1,True
Toro Rosso,GAS,22.0,HYPERSOFT,1.0,108681000000,21.0,True,1,True
Toro Rosso,GAS,23.0,HYPERSOFT,1.0,108900000000,22.0,True,1,True
Toro Rosso,GAS,24.0,HYPERSOFT,1.0,109448000000,23.0,True,1,True
Toro Rosso,GAS,25.0,HYPERSOFT,1.0,108986000000,24.0,True,1,True
Toro Rosso,GAS,26.0,HYPERSOFT,1.0,121260000000,25.0,True,1,False
Toro Rosso,GAS,27.0,ULTRASOFT,2.0,125254000000,1.0,True,1,False
Toro Rosso,GAS,28.0,ULTRASOFT,2.0,106624000000,2.0,True,1,True
Toro Rosso,GAS,29.0,ULTRASOFT,2.0,106627000000,3.0,True,1,True
Toro Rosso,GAS,30.0,ULTRASOFT,2.0,107156000000,4.0,True,1,True
Toro Rosso,GAS,31.0,ULTRASOFT,2.0,107076000000,5.0,True,1,True
Toro Rosso,GAS,32.0,ULTRASOFT,2.0,107541000000,6.0,True,1,True
Toro Rosso,GAS,33.0,ULTRASOFT,2.0,108304000000,7.0,True,1,True
Toro Rosso,GAS,34.0,ULTRASOFT,2.0,111721000000,8.0,True,1,True
Toro Rosso,GAS,35.0,ULTRASOFT,2.0,110756000000,9.0,True,1,True
Toro Rosso,GAS,36.0,ULTRASOFT,2.0,111636000000,10.0,True,1,True
Toro Rosso,GAS,37.0,ULTRASOFT,2.0,115138000000,11.0,True,1,True
Toro Rosso,GAS,38.0,ULTRASOFT,2.0,112065000000,12.0,True,1,True
Toro Rosso,GAS,39.0,ULTRASOFT,2.0,108408000000,13.0,True,1,True
Toro Rosso,GAS,40.0,ULTRASOFT,2.0,109528000000,14.0,True,1,True
Toro Rosso,GAS,41.0,ULTRASOFT,2.0,107670000000,15.0,True,1,True
Toro Rosso,GAS,42.0,ULTRASOFT,2.0,107238000000,16.0,True,1,True
Toro Rosso,GAS,43.0,ULTRASOFT,2.0,106926000000,17.0,True,1,True
Toro Rosso,GAS,44.0,ULTRASOFT,2.0,106543000000,18.0,True,1,True
Toro Rosso,GAS,45.0,ULTRASOFT,2.0,106498000000,19.0,True,1,True
Toro Rosso,GAS,46.0,ULTRASOFT,2.0,106750000000,20.0,True,1,True
Toro Rosso,GAS,47.0,ULTRASOFT,2.0,106910000000,21.0,True,1,True
Toro Rosso,GAS,48.0,ULTRASOFT,2.0,106507000000,22.0,True,1,True
Toro Rosso,GAS,49.0,ULTRASOFT,2.0,106502000000,23.0,True,1,True
Toro Rosso,GAS,50.0,ULTRASOFT,2.0,106726000000,24.0,True,1,True
Toro Rosso,GAS,51.0,ULTRASOFT,2.0,106169000000,25.0,True,1,True
Toro Rosso,GAS,52.0,ULTRASOFT,2.0,106544000000,26.0,True,1,True
Toro Rosso,GAS,53.0,ULTRASOFT,2.0,106674000000,27.0,True,1,True
Toro Rosso,GAS,54.0,ULTRASOFT,2.0,106424000000,28.0,True,1,True
Toro Rosso,GAS,55.0,ULTRASOFT,2.0,106068000000,29.0,True,1,True
Toro Rosso,GAS,56.0,ULTRASOFT,2.0,106063000000,30.0,True,1,True
Toro Rosso,GAS,57.0,ULTRASOFT,2.0,106378000000,31.0,True,1,True
Toro Rosso,GAS,58.0,ULTRASOFT,2.0,106318000000,32.0,True,1,True
Toro Rosso,GAS,59.0,ULTRASOFT,2.0,107427000000,33.0,True,1,True
Toro Rosso,GAS,60.0,ULTRASOFT,2.0,108796000000,34.0,True,1,True
