['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,GRO,2.0,HYPERSOFT,1.0,None,4.0,False,4,False
Haas F1 Team,GRO,3.0,HYPERSOFT,1.0,None,5.0,False,4,False
Haas F1 Team,GRO,4.0,HYPERSOFT,1.0,None,6.0,False,4,False
Haas F1 Team,GRO,5.0,HYPERSOFT,1.0,109355000000,7.0,False,1,False
Haas F1 Team,GRO,6.0,HYPERSOFT,1.0,109120000000,8.0,False,1,True
Haas F1 Team,GRO,7.0,HYPERSOFT,1.0,108934000000,9.0,False,1,True
Haas F1 Team,GRO,8.0,HYPERSOFT,1.0,108623000000,10.0,False,1,True
Haas F1 Team,GRO,9.0,HYPERSOFT,1.0,109220000000,11.0,False,1,True
Haas F1 Team,GRO,10.0,HYPERSOFT,1.0,109010000000,12.0,False,1,True
Haas F1 Team,GRO,11.0,HYPERSOFT,1.0,109396000000,13.0,False,1,True
Haas F1 Team,GRO,12.0,HYPERSOFT,1.0,109785000000,14.0,False,1,True
Haas F1 Team,GRO,13.0,HYPERSOFT,1.0,110652000000,15.0,False,1,True
Haas F1 Team,GRO,14.0,HYPERSOFT,1.0,110554000000,16.0,False,1,True
Haas F1 Team,GRO,15.0,HYPERSOFT,1.0,110774000000,17.0,False,1,True
Haas F1 Team,GRO,16.0,HYPERSOFT,1.0,119146000000,18.0,False,1,False
Haas F1 Team,GRO,17.0,SOFT,2.0,128416000000,1.0,True,1,False
Haas F1 Team,GRO,18.0,SOFT,2.0,108251000000,2.0,True,1,True
Haas F1 Team,GRO,19.0,SOFT,2.0,108629000000,3.0,True,1,True
Haas F1 Team,GRO,20.0,SOFT,2.0,108529000000,4.0,True,1,True
Haas F1 Team,GRO,21.0,SOFT,2.0,108088000000,5.0,True,1,True
Haas F1 Team,GRO,22.0,SOFT,2.0,108002000000,6.0,True,1,True
Haas F1 Team,GRO,23.0,SOFT,2.0,108473000000,7.0,True,1,True
Haas F1 Team,GRO,24.0,SOFT,2.0,107979000000,8.0,True,1,True
Haas F1 Team,GRO,25.0,SOFT,2.0,108381000000,9.0,True,1,True
Haas F1 Team,GRO,26.0,SOFT,2.0,107919000000,10.0,True,1,True
Haas F1 Team,GRO,27.0,SOFT,2.0,108555000000,11.0,True,1,True
Haas F1 Team,GRO,28.0,SOFT,2.0,109053000000,12.0,True,1,True
Haas F1 Team,GRO,29.0,SOFT,2.0,108315000000,13.0,True,1,True
Haas F1 Team,GRO,30.0,SOFT,2.0,108400000000,14.0,True,1,True
Haas F1 Team,GRO,31.0,SOFT,2.0,108385000000,15.0,True,1,True
Haas F1 Team,GRO,32.0,SOFT,2.0,108432000000,16.0,True,1,True
Haas F1 Team,GRO,33.0,SOFT,2.0,109588000000,17.0,True,1,True
Haas F1 Team,GRO,34.0,SOFT,2.0,112606000000,18.0,True,1,True
Haas F1 Team,GRO,35.0,SOFT,2.0,110437000000,19.0,True,1,True
Haas F1 Team,GRO,36.0,SOFT,2.0,110894000000,20.0,True,1,True
Haas F1 Team,GRO,37.0,SOFT,2.0,114525000000,21.0,True,1,True
Haas F1 Team,GRO,38.0,SOFT,2.0,110053000000,22.0,True,1,True
Haas F1 Team,GRO,39.0,SOFT,2.0,111543000000,23.0,True,1,True
Haas F1 Team,GRO,40.0,SOFT,2.0,107250000000,24.0,True,1,True
Haas F1 Team,GRO,41.0,SOFT,2.0,109145000000,25.0,True,1,True
Haas F1 Team,GRO,42.0,SOFT,2.0,106723000000,26.0,True,1,True
Haas F1 Team,GRO,43.0,SOFT,2.0,106646000000,27.0,True,1,True
Haas F1 Team,GRO,44.0,SOFT,2.0,107009000000,28.0,True,1,True
Haas F1 Team,GRO,45.0,SOFT,2.0,107219000000,29.0,True,1,True
Haas F1 Team,GRO,46.0,SOFT,2.0,106908000000,30.0,True,1,True
Haas F1 Team,GRO,47.0,SOFT,2.0,106741000000,31.0,True,1,True
Haas F1 Team,GRO,48.0,SOFT,2.0,106464000000,32.0,True,1,True
Haas F1 Team,GRO,49.0,SOFT,2.0,106317000000,33.0,True,1,True
Haas F1 Team,GRO,50.0,SOFT,2.0,106941000000,34.0,True,1,True
Haas F1 Team,GRO,51.0,SOFT,2.0,106003000000,35.0,True,1,True
Haas F1 Team,GRO,52.0,SOFT,2.0,106467000000,36.0,True,1,True
Haas F1 Team,GRO,53.0,SOFT,2.0,106458000000,37.0,True,1,True
Haas F1 Team,GRO,54.0,SOFT,2.0,106222000000,38.0,True,1,True
Haas F1 Team,GRO,55.0,SOFT,2.0,106031000000,39.0,True,1,True
Haas F1 Team,GRO,56.0,SOFT,2.0,106620000000,40.0,True,1,True
Haas F1 Team,GRO,57.0,SOFT,2.0,105904000000,41.0,True,1,True
Haas F1 Team,GRO,58.0,SOFT,2.0,106599000000,42.0,True,1,True
Haas F1 Team,GRO,59.0,SOFT,2.0,108225000000,43.0,True,1,True
Haas F1 Team,GRO,60.0,SOFT,2.0,107781000000,44.0,True,1,True
