['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,HAR,2.0,HYPERSOFT,1.0,None,1.0,True,4,False
Toro Rosso,HAR,3.0,HYPERSOFT,1.0,None,2.0,True,4,False
Toro Rosso,HAR,4.0,HYPERSOFT,1.0,None,3.0,True,4,False
Toro Rosso,HAR,5.0,HYPERSOFT,1.0,111553000000,4.0,True,1,False
Toro Rosso,HAR,6.0,HYPERSOFT,1.0,111150000000,5.0,True,1,True
Toro Rosso,HAR,7.0,HYPERSOFT,1.0,110199000000,6.0,True,1,True
Toro Rosso,HAR,8.0,HYPERSOFT,1.0,109755000000,7.0,True,1,True
Toro Rosso,HAR,9.0,HYPERSOFT,1.0,110273000000,8.0,True,1,True
Toro Rosso,HAR,10.0,HYPERSOFT,1.0,109616000000,9.0,True,1,True
Toro Rosso,HAR,11.0,HYPERSOFT,1.0,109847000000,10.0,True,1,True
Toro Rosso,HAR,12.0,HYPERSOFT,1.0,109054000000,11.0,True,1,True
Toro Rosso,HAR,13.0,HYPERSOFT,1.0,109408000000,12.0,True,1,True
Toro Rosso,HAR,14.0,HYPERSOFT,1.0,115999000000,13.0,True,1,False
Toro Rosso,HAR,15.0,ULTRASOFT,2.0,127120000000,1.0,True,1,False
Toro Rosso,HAR,16.0,ULTRASOFT,2.0,106657000000,2.0,True,1,True
Toro Rosso,HAR,17.0,ULTRASOFT,2.0,108422000000,3.0,True,1,True
Toro Rosso,HAR,18.0,ULTRASOFT,2.0,108774000000,4.0,True,1,True
Toro Rosso,HAR,19.0,ULTRASOFT,2.0,108800000000,5.0,True,1,True
Toro Rosso,HAR,20.0,ULTRASOFT,2.0,108475000000,6.0,True,1,True
Toro Rosso,HAR,21.0,ULTRASOFT,2.0,108490000000,7.0,True,1,True
Toro Rosso,HAR,22.0,ULTRASOFT,2.0,108566000000,8.0,True,1,True
Toro Rosso,HAR,23.0,ULTRASOFT,2.0,108278000000,9.0,True,1,True
Toro Rosso,HAR,24.0,ULTRASOFT,2.0,108209000000,10.0,True,1,True
Toro Rosso,HAR,25.0,ULTRASOFT,2.0,108003000000,11.0,True,1,True
Toro Rosso,HAR,26.0,ULTRASOFT,2.0,108158000000,12.0,True,1,True
Toro Rosso,HAR,27.0,ULTRASOFT,2.0,108200000000,13.0,True,1,True
Toro Rosso,HAR,28.0,ULTRASOFT,2.0,108429000000,14.0,True,1,True
Toro Rosso,HAR,29.0,ULTRASOFT,2.0,108552000000,15.0,True,1,True
Toro Rosso,HAR,30.0,ULTRASOFT,2.0,108186000000,16.0,True,1,True
Toro Rosso,HAR,31.0,ULTRASOFT,2.0,108023000000,17.0,True,1,True
Toro Rosso,HAR,32.0,ULTRASOFT,2.0,108706000000,18.0,True,1,True
Toro Rosso,HAR,33.0,ULTRASOFT,2.0,110510000000,19.0,True,1,True
Toro Rosso,HAR,34.0,ULTRASOFT,2.0,111139000000,20.0,True,1,True
Toro Rosso,HAR,35.0,ULTRASOFT,2.0,111433000000,21.0,True,1,True
Toro Rosso,HAR,36.0,ULTRASOFT,2.0,118232000000,22.0,True,1,False
Toro Rosso,HAR,37.0,HYPERSOFT,3.0,125987000000,1.0,True,1,False
Toro Rosso,HAR,38.0,HYPERSOFT,3.0,104889000000,2.0,True,1,True
Toro Rosso,HAR,39.0,HYPERSOFT,3.0,106303000000,3.0,True,1,True
Toro Rosso,HAR,40.0,HYPERSOFT,3.0,108540000000,4.0,True,1,True
Toro Rosso,HAR,41.0,HYPERSOFT,3.0,111266000000,5.0,True,1,True
Toro Rosso,HAR,42.0,HYPERSOFT,3.0,110824000000,6.0,True,1,True
Toro Rosso,HAR,43.0,HYPERSOFT,3.0,113545000000,7.0,True,1,True
Toro Rosso,HAR,44.0,HYPERSOFT,3.0,109055000000,8.0,True,1,True
Toro Rosso,HAR,45.0,HYPERSOFT,3.0,107188000000,9.0,True,1,True
Toro Rosso,HAR,46.0,HYPERSOFT,3.0,105613000000,10.0,True,1,True
Toro Rosso,HAR,47.0,HYPERSOFT,3.0,105273000000,11.0,True,1,True
Toro Rosso,HAR,48.0,HYPERSOFT,3.0,105155000000,12.0,True,1,True
Toro Rosso,HAR,49.0,HYPERSOFT,3.0,105568000000,13.0,True,1,True
Toro Rosso,HAR,50.0,HYPERSOFT,3.0,106075000000,14.0,True,1,True
Toro Rosso,HAR,51.0,HYPERSOFT,3.0,106701000000,15.0,True,1,True
Toro Rosso,HAR,52.0,HYPERSOFT,3.0,106228000000,16.0,True,1,True
Toro Rosso,HAR,53.0,HYPERSOFT,3.0,106643000000,17.0,True,1,True
Toro Rosso,HAR,54.0,HYPERSOFT,3.0,106915000000,18.0,True,1,True
Toro Rosso,HAR,55.0,HYPERSOFT,3.0,106979000000,19.0,True,1,True
Toro Rosso,HAR,56.0,HYPERSOFT,3.0,106840000000,20.0,True,1,True
Toro Rosso,HAR,57.0,HYPERSOFT,3.0,106852000000,21.0,True,1,True
Toro Rosso,HAR,58.0,HYPERSOFT,3.0,108266000000,22.0,True,1,True
Toro Rosso,HAR,59.0,HYPERSOFT,3.0,112626000000,23.0,True,1,True
Toro Rosso,HAR,60.0,HYPERSOFT,3.0,118462000000,24.0,True,1,True
