['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,HUL,2.0,HYPERSOFT,1.0,None,4.0,False,4,False
Renault,HUL,3.0,HYPERSOFT,1.0,None,5.0,False,4,False
Renault,HUL,4.0,HYPERSOFT,1.0,None,6.0,False,4,False
Renault,HUL,5.0,HYPERSOFT,1.0,111024000000,7.0,False,1,False
Renault,HUL,6.0,HYPERSOFT,1.0,110904000000,8.0,False,1,True
Renault,HUL,7.0,HYPERSOFT,1.0,110054000000,9.0,False,1,True
Renault,HUL,8.0,HYPERSOFT,1.0,109173000000,10.0,False,1,True
Renault,HUL,9.0,HYPERSOFT,1.0,109188000000,11.0,False,1,True
Renault,HUL,10.0,HYPERSOFT,1.0,109159000000,12.0,False,1,True
Renault,HUL,11.0,HYPERSOFT,1.0,108749000000,13.0,False,1,True
Renault,HUL,12.0,HYPERSOFT,1.0,109069000000,14.0,False,1,True
Renault,HUL,13.0,HYPERSOFT,1.0,109526000000,15.0,False,1,True
Renault,HUL,14.0,HYPERSOFT,1.0,109203000000,16.0,False,1,True
Renault,HUL,15.0,HYPERSOFT,1.0,117216000000,17.0,False,1,False
Renault,HUL,16.0,ULTRASOFT,2.0,127551000000,1.0,True,1,False
Renault,HUL,17.0,ULTRASOFT,2.0,108915000000,2.0,True,1,True
Renault,HUL,18.0,ULTRASOFT,2.0,108330000000,3.0,True,1,True
Renault,HUL,19.0,ULTRASOFT,2.0,108275000000,4.0,True,1,True
Renault,HUL,20.0,ULTRASOFT,2.0,108177000000,5.0,True,1,True
Renault,HUL,21.0,ULTRASOFT,2.0,107821000000,6.0,True,1,True
Renault,HUL,22.0,ULTRASOFT,2.0,108623000000,7.0,True,1,True
Renault,HUL,23.0,ULTRASOFT,2.0,108340000000,8.0,True,1,True
Renault,HUL,24.0,ULTRASOFT,2.0,108264000000,9.0,True,1,True
Renault,HUL,25.0,ULTRASOFT,2.0,108125000000,10.0,True,1,True
Renault,HUL,26.0,ULTRASOFT,2.0,108000000000,11.0,True,1,True
Renault,HUL,27.0,ULTRASOFT,2.0,108447000000,12.0,True,1,True
Renault,HUL,28.0,ULTRASOFT,2.0,108169000000,13.0,True,1,True
Renault,HUL,29.0,ULTRASOFT,2.0,109218000000,14.0,True,1,True
Renault,HUL,30.0,ULTRASOFT,2.0,108262000000,15.0,True,1,True
Renault,HUL,31.0,ULTRASOFT,2.0,108338000000,16.0,True,1,True
Renault,HUL,32.0,ULTRASOFT,2.0,108407000000,17.0,True,1,True
Renault,HUL,33.0,ULTRASOFT,2.0,109705000000,18.0,True,1,True
Renault,HUL,34.0,ULTRASOFT,2.0,109195000000,19.0,True,1,True
Renault,HUL,35.0,ULTRASOFT,2.0,106112000000,20.0,True,1,True
Renault,HUL,36.0,ULTRASOFT,2.0,107159000000,21.0,True,1,True
Renault,HUL,37.0,ULTRASOFT,2.0,109338000000,22.0,True,1,True
Renault,HUL,38.0,ULTRASOFT,2.0,106928000000,23.0,True,1,True
Renault,HUL,39.0,ULTRASOFT,2.0,107195000000,24.0,True,1,True
Renault,HUL,40.0,ULTRASOFT,2.0,106825000000,25.0,True,1,True
Renault,HUL,41.0,ULTRASOFT,2.0,106850000000,26.0,True,1,True
Renault,HUL,42.0,ULTRASOFT,2.0,106512000000,27.0,True,1,True
Renault,HUL,43.0,ULTRASOFT,2.0,106990000000,28.0,True,1,True
Renault,HUL,44.0,ULTRASOFT,2.0,110271000000,29.0,True,1,False
Renault,HUL,45.0,ULTRASOFT,2.0,109807000000,30.0,True,1,True
Renault,HUL,46.0,ULTRASOFT,2.0,110414000000,31.0,True,1,True
Renault,HUL,47.0,ULTRASOFT,2.0,106257000000,32.0,True,1,True
Renault,HUL,48.0,ULTRASOFT,2.0,106945000000,33.0,True,1,True
Renault,HUL,49.0,ULTRASOFT,2.0,106141000000,34.0,True,1,False
Renault,HUL,50.0,ULTRASOFT,2.0,106095000000,35.0,True,1,True
Renault,HUL,51.0,ULTRASOFT,2.0,106137000000,36.0,True,1,True
Renault,HUL,52.0,ULTRASOFT,2.0,106136000000,37.0,True,1,True
Renault,HUL,53.0,ULTRASOFT,2.0,106093000000,38.0,True,1,True
Renault,HUL,54.0,ULTRASOFT,2.0,106370000000,39.0,True,1,True
Renault,HUL,55.0,ULTRASOFT,2.0,106519000000,40.0,True,1,True
Renault,HUL,56.0,ULTRASOFT,2.0,107529000000,41.0,True,1,True
Renault,HUL,57.0,ULTRASOFT,2.0,106741000000,42.0,True,1,True
Renault,HUL,58.0,ULTRASOFT,2.0,106217000000,43.0,True,1,True
Renault,HUL,59.0,ULTRASOFT,2.0,106772000000,44.0,True,1,True
Renault,HUL,60.0,ULTRASOFT,2.0,106563000000,45.0,True,1,True
