['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2.0,ULTRASOFT,1.0,None,1.0,True,4,False
Sauber,LEC,3.0,ULTRASOFT,1.0,None,2.0,True,4,False
Sauber,LEC,4.0,ULTRASOFT,1.0,None,3.0,True,4,False
Sauber,LEC,5.0,ULTRASOFT,1.0,111484000000,4.0,True,1,False
Sauber,LEC,6.0,ULTRASOFT,1.0,111002000000,5.0,True,1,True
Sauber,LEC,7.0,ULTRASOFT,1.0,110030000000,6.0,True,1,True
Sauber,LEC,8.0,ULTRASOFT,1.0,109733000000,7.0,True,1,True
Sauber,LEC,9.0,ULTRASOFT,1.0,109371000000,8.0,True,1,True
Sauber,LEC,10.0,ULTRASOFT,1.0,109383000000,9.0,True,1,True
Sauber,LEC,11.0,ULTRASOFT,1.0,109001000000,10.0,True,1,True
Sauber,LEC,12.0,ULTRASOFT,1.0,108819000000,11.0,True,1,True
Sauber,LEC,13.0,ULTRASOFT,1.0,108787000000,12.0,True,1,True
Sauber,LEC,14.0,ULTRASOFT,1.0,110038000000,13.0,True,1,True
Sauber,LEC,15.0,ULTRASOFT,1.0,109305000000,14.0,True,1,True
Sauber,LEC,16.0,ULTRASOFT,1.0,110000000000,15.0,True,1,True
Sauber,LEC,17.0,ULTRASOFT,1.0,109714000000,16.0,True,1,True
Sauber,LEC,18.0,ULTRASOFT,1.0,108602000000,17.0,True,1,True
Sauber,LEC,19.0,ULTRASOFT,1.0,108562000000,18.0,True,1,True
Sauber,LEC,20.0,ULTRASOFT,1.0,108590000000,19.0,True,1,True
Sauber,LEC,21.0,ULTRASOFT,1.0,109039000000,20.0,True,1,True
Sauber,LEC,22.0,ULTRASOFT,1.0,108556000000,21.0,True,1,True
Sauber,LEC,23.0,ULTRASOFT,1.0,108860000000,22.0,True,1,True
Sauber,LEC,24.0,ULTRASOFT,1.0,109312000000,23.0,True,1,True
Sauber,LEC,25.0,ULTRASOFT,1.0,108854000000,24.0,True,1,True
Sauber,LEC,26.0,ULTRASOFT,1.0,110972000000,25.0,True,1,True
Sauber,LEC,27.0,ULTRASOFT,1.0,107219000000,26.0,True,1,True
Sauber,LEC,28.0,ULTRASOFT,1.0,107149000000,27.0,True,1,True
Sauber,LEC,29.0,ULTRASOFT,1.0,106697000000,28.0,True,1,True
Sauber,LEC,30.0,ULTRASOFT,1.0,106438000000,29.0,True,1,True
Sauber,LEC,31.0,ULTRASOFT,1.0,106461000000,30.0,True,1,True
Sauber,LEC,32.0,ULTRASOFT,1.0,106963000000,31.0,True,1,True
Sauber,LEC,33.0,ULTRASOFT,1.0,107114000000,32.0,True,1,True
Sauber,LEC,34.0,ULTRASOFT,1.0,107219000000,33.0,True,1,True
Sauber,LEC,35.0,ULTRASOFT,1.0,106813000000,34.0,True,1,True
Sauber,LEC,36.0,ULTRASOFT,1.0,106855000000,35.0,True,1,True
Sauber,LEC,37.0,ULTRASOFT,1.0,107123000000,36.0,True,1,True
Sauber,LEC,38.0,ULTRASOFT,1.0,115224000000,37.0,True,1,False
Sauber,LEC,39.0,HYPERSOFT,2.0,125530000000,1.0,True,1,False
Sauber,LEC,40.0,HYPERSOFT,2.0,106373000000,2.0,True,1,True
Sauber,LEC,41.0,HYPERSOFT,2.0,105903000000,3.0,True,1,True
Sauber,LEC,42.0,HYPERSOFT,2.0,107192000000,4.0,True,1,True
Sauber,LEC,43.0,HYPERSOFT,2.0,108412000000,5.0,True,1,True
Sauber,LEC,44.0,HYPERSOFT,2.0,106351000000,6.0,True,1,True
Sauber,LEC,45.0,HYPERSOFT,2.0,105853000000,7.0,True,1,True
Sauber,LEC,46.0,HYPERSOFT,2.0,106276000000,8.0,True,1,True
Sauber,LEC,47.0,HYPERSOFT,2.0,106248000000,9.0,True,1,True
Sauber,LEC,48.0,HYPERSOFT,2.0,108450000000,10.0,True,1,True
Sauber,LEC,49.0,HYPERSOFT,2.0,108198000000,11.0,True,1,True
Sauber,LEC,50.0,HYPERSOFT,2.0,105957000000,12.0,True,1,True
Sauber,LEC,51.0,HYPERSOFT,2.0,106086000000,13.0,True,1,True
Sauber,LEC,52.0,HYPERSOFT,2.0,106669000000,14.0,True,1,True
Sauber,LEC,53.0,HYPERSOFT,2.0,107214000000,15.0,True,1,True
Sauber,LEC,54.0,HYPERSOFT,2.0,107301000000,16.0,True,1,True
Sauber,LEC,55.0,HYPERSOFT,2.0,106136000000,17.0,True,1,True
Sauber,LEC,56.0,HYPERSOFT,2.0,106065000000,18.0,True,1,True
Sauber,LEC,57.0,HYPERSOFT,2.0,105203000000,19.0,True,1,True
Sauber,LEC,58.0,HYPERSOFT,2.0,106464000000,20.0,True,1,True
Sauber,LEC,59.0,HYPERSOFT,2.0,106355000000,21.0,True,1,True
Sauber,LEC,60.0,HYPERSOFT,2.0,106184000000,22.0,True,1,True
