['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2.0,ULTRASOFT,1.0,None,1.0,True,4,False
Haas F1 Team,MAG,3.0,ULTRASOFT,1.0,None,2.0,True,4,False
Haas F1 Team,MAG,4.0,ULTRASOFT,1.0,None,3.0,True,4,False
Haas F1 Team,MAG,5.0,ULTRASOFT,1.0,111813000000,4.0,True,1,False
Haas F1 Team,MAG,6.0,ULTRASOFT,1.0,110974000000,5.0,True,1,True
Haas F1 Team,MAG,7.0,ULTRASOFT,1.0,110318000000,6.0,True,1,True
Haas F1 Team,MAG,8.0,ULTRASOFT,1.0,110004000000,7.0,True,1,True
Haas F1 Team,MAG,9.0,ULTRASOFT,1.0,109933000000,8.0,True,1,True
Haas F1 Team,MAG,10.0,ULTRASOFT,1.0,109966000000,9.0,True,1,True
Haas F1 Team,MAG,11.0,ULTRASOFT,1.0,109155000000,10.0,True,1,True
Haas F1 Team,MAG,12.0,ULTRASOFT,1.0,109076000000,11.0,True,1,True
Haas F1 Team,MAG,13.0,ULTRASOFT,1.0,109364000000,12.0,True,1,True
Haas F1 Team,MAG,14.0,ULTRASOFT,1.0,109047000000,13.0,True,1,True
Haas F1 Team,MAG,15.0,ULTRASOFT,1.0,109946000000,14.0,True,1,True
Haas F1 Team,MAG,16.0,ULTRASOFT,1.0,109818000000,15.0,True,1,True
Haas F1 Team,MAG,17.0,ULTRASOFT,1.0,110086000000,16.0,True,1,True
Haas F1 Team,MAG,18.0,ULTRASOFT,1.0,109779000000,17.0,True,1,True
Haas F1 Team,MAG,19.0,ULTRASOFT,1.0,108915000000,18.0,True,1,True
Haas F1 Team,MAG,20.0,ULTRASOFT,1.0,108951000000,19.0,True,1,True
Haas F1 Team,MAG,21.0,ULTRASOFT,1.0,108858000000,20.0,True,1,True
Haas F1 Team,MAG,22.0,ULTRASOFT,1.0,109130000000,21.0,True,1,True
Haas F1 Team,MAG,23.0,ULTRASOFT,1.0,108667000000,22.0,True,1,True
Haas F1 Team,MAG,24.0,ULTRASOFT,1.0,108568000000,23.0,True,1,True
Haas F1 Team,MAG,25.0,ULTRASOFT,1.0,108777000000,24.0,True,1,True
Haas F1 Team,MAG,26.0,ULTRASOFT,1.0,117382000000,25.0,True,1,False
Haas F1 Team,MAG,27.0,SOFT,2.0,125653000000,1.0,True,1,False
Haas F1 Team,MAG,28.0,SOFT,2.0,106613000000,2.0,True,1,True
Haas F1 Team,MAG,29.0,SOFT,2.0,106309000000,3.0,True,1,True
Haas F1 Team,MAG,30.0,SOFT,2.0,106569000000,4.0,True,1,True
Haas F1 Team,MAG,31.0,SOFT,2.0,106770000000,5.0,True,1,True
Haas F1 Team,MAG,32.0,SOFT,2.0,107449000000,6.0,True,1,True
Haas F1 Team,MAG,33.0,SOFT,2.0,109343000000,7.0,True,1,True
Haas F1 Team,MAG,34.0,SOFT,2.0,110764000000,8.0,True,1,True
Haas F1 Team,MAG,35.0,SOFT,2.0,113543000000,9.0,True,1,True
Haas F1 Team,MAG,36.0,SOFT,2.0,117993000000,10.0,True,1,False
Haas F1 Team,MAG,37.0,HYPERSOFT,3.0,127022000000,1.0,True,1,False
Haas F1 Team,MAG,38.0,HYPERSOFT,3.0,104703000000,2.0,True,1,True
Haas F1 Team,MAG,39.0,HYPERSOFT,3.0,105097000000,3.0,True,1,True
Haas F1 Team,MAG,40.0,HYPERSOFT,3.0,107425000000,4.0,True,1,True
Haas F1 Team,MAG,41.0,HYPERSOFT,3.0,110771000000,5.0,True,1,True
Haas F1 Team,MAG,42.0,HYPERSOFT,3.0,109533000000,6.0,True,1,True
Haas F1 Team,MAG,43.0,HYPERSOFT,3.0,106050000000,7.0,True,1,True
Haas F1 Team,MAG,44.0,HYPERSOFT,3.0,105697000000,8.0,True,1,True
Haas F1 Team,MAG,45.0,HYPERSOFT,3.0,106358000000,9.0,True,1,True
Haas F1 Team,MAG,46.0,HYPERSOFT,3.0,106958000000,10.0,True,1,True
Haas F1 Team,MAG,47.0,HYPERSOFT,3.0,106534000000,11.0,True,1,True
Haas F1 Team,MAG,48.0,HYPERSOFT,3.0,114585000000,12.0,True,1,False
Haas F1 Team,MAG,49.0,HYPERSOFT,3.0,124527000000,13.0,True,1,False
Haas F1 Team,MAG,50.0,HYPERSOFT,3.0,101905000000,14.0,True,1,True
Haas F1 Team,MAG,51.0,HYPERSOFT,3.0,106121000000,15.0,True,1,True
Haas F1 Team,MAG,52.0,HYPERSOFT,3.0,106645000000,16.0,True,1,True
Haas F1 Team,MAG,53.0,HYPERSOFT,3.0,107907000000,17.0,True,1,True
Haas F1 Team,MAG,54.0,HYPERSOFT,3.0,110278000000,18.0,True,1,True
Haas F1 Team,MAG,55.0,HYPERSOFT,3.0,106485000000,19.0,True,1,True
Haas F1 Team,MAG,56.0,HYPERSOFT,3.0,107907000000,20.0,True,1,True
Haas F1 Team,MAG,57.0,HYPERSOFT,3.0,110498000000,21.0,True,1,True
Haas F1 Team,MAG,58.0,HYPERSOFT,3.0,107436000000,22.0,True,1,True
Haas F1 Team,MAG,59.0,HYPERSOFT,3.0,114270000000,23.0,True,1,True
