['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,PER,2.0,HYPERSOFT,1.0,None,4.0,False,4,False
Racing Point,PER,3.0,HYPERSOFT,1.0,None,5.0,False,4,False
Racing Point,PER,4.0,HYPERSOFT,1.0,None,6.0,False,4,False
Racing Point,PER,5.0,HYPERSOFT,1.0,108673000000,7.0,False,1,False
Racing Point,PER,6.0,HYPERSOFT,1.0,108963000000,8.0,False,1,True
Racing Point,PER,7.0,HYPERSOFT,1.0,108388000000,9.0,False,1,True
Racing Point,PER,8.0,HYPERSOFT,1.0,107968000000,10.0,False,1,True
Racing Point,PER,9.0,HYPERSOFT,1.0,108002000000,11.0,False,1,True
Racing Point,PER,10.0,HYPERSOFT,1.0,108145000000,12.0,False,1,True
Racing Point,PER,11.0,HYPERSOFT,1.0,108250000000,13.0,False,1,True
Racing Point,PER,12.0,HYPERSOFT,1.0,108514000000,14.0,False,1,True
Racing Point,PER,13.0,HYPERSOFT,1.0,109511000000,15.0,False,1,True
Racing Point,PER,14.0,HYPERSOFT,1.0,109655000000,16.0,False,1,True
Racing Point,PER,15.0,HYPERSOFT,1.0,109636000000,17.0,False,1,True
Racing Point,PER,16.0,HYPERSOFT,1.0,110575000000,18.0,False,1,True
Racing Point,PER,17.0,HYPERSOFT,1.0,117819000000,19.0,False,1,False
Racing Point,PER,18.0,ULTRASOFT,2.0,129117000000,1.0,True,1,False
Racing Point,PER,19.0,ULTRASOFT,2.0,107508000000,2.0,True,1,True
Racing Point,PER,20.0,ULTRASOFT,2.0,108554000000,3.0,True,1,True
Racing Point,PER,21.0,ULTRASOFT,2.0,109392000000,4.0,True,1,True
Racing Point,PER,22.0,ULTRASOFT,2.0,109175000000,5.0,True,1,True
Racing Point,PER,23.0,ULTRASOFT,2.0,108974000000,6.0,True,1,True
Racing Point,PER,24.0,ULTRASOFT,2.0,108994000000,7.0,True,1,True
Racing Point,PER,25.0,ULTRASOFT,2.0,109248000000,8.0,True,1,True
Racing Point,PER,26.0,ULTRASOFT,2.0,108668000000,9.0,True,1,True
Racing Point,PER,27.0,ULTRASOFT,2.0,108598000000,10.0,True,1,True
Racing Point,PER,28.0,ULTRASOFT,2.0,109199000000,11.0,True,1,True
Racing Point,PER,29.0,ULTRASOFT,2.0,109595000000,12.0,True,1,True
Racing Point,PER,30.0,ULTRASOFT,2.0,108464000000,13.0,True,1,True
Racing Point,PER,31.0,ULTRASOFT,2.0,108561000000,14.0,True,1,True
Racing Point,PER,32.0,ULTRASOFT,2.0,108498000000,15.0,True,1,True
Racing Point,PER,33.0,ULTRASOFT,2.0,125587000000,16.0,True,1,False
Racing Point,PER,34.0,SOFT,3.0,127642000000,1.0,True,1,False
Racing Point,PER,35.0,SOFT,3.0,106075000000,2.0,True,1,True
Racing Point,PER,36.0,SOFT,3.0,105670000000,3.0,True,1,True
Racing Point,PER,37.0,SOFT,3.0,105602000000,4.0,True,1,True
Racing Point,PER,38.0,SOFT,3.0,109043000000,5.0,True,1,True
Racing Point,PER,39.0,SOFT,3.0,117741000000,6.0,True,1,False
Racing Point,PER,40.0,SOFT,4.0,122513000000,7.0,False,1,False
Racing Point,PER,41.0,SOFT,4.0,106531000000,8.0,False,1,True
Racing Point,PER,42.0,SOFT,4.0,106349000000,9.0,False,1,True
Racing Point,PER,43.0,SOFT,4.0,106571000000,10.0,False,1,True
Racing Point,PER,44.0,SOFT,4.0,108925000000,11.0,False,1,True
Racing Point,PER,45.0,SOFT,4.0,108622000000,12.0,False,1,True
Racing Point,PER,46.0,SOFT,4.0,106550000000,13.0,False,1,True
Racing Point,PER,47.0,SOFT,4.0,105722000000,14.0,False,1,True
Racing Point,PER,48.0,SOFT,4.0,105389000000,15.0,False,1,True
Racing Point,PER,49.0,SOFT,4.0,105668000000,16.0,False,1,True
Racing Point,PER,50.0,SOFT,4.0,105847000000,17.0,False,1,True
Racing Point,PER,51.0,SOFT,4.0,106180000000,18.0,False,1,True
Racing Point,PER,52.0,SOFT,4.0,105687000000,19.0,False,1,True
Racing Point,PER,53.0,SOFT,4.0,105692000000,20.0,False,1,True
Racing Point,PER,54.0,SOFT,4.0,105879000000,21.0,False,1,True
Racing Point,PER,55.0,SOFT,4.0,106281000000,22.0,False,1,True
Racing Point,PER,56.0,SOFT,4.0,106434000000,23.0,False,1,True
Racing Point,PER,57.0,SOFT,4.0,106857000000,24.0,False,1,True
Racing Point,PER,58.0,SOFT,4.0,108012000000,25.0,False,1,True
Racing Point,PER,59.0,SOFT,4.0,108985000000,26.0,False,1,True
Racing Point,PER,60.0,SOFT,4.0,106706000000,27.0,False,1,True
