['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Ferrari,RAI,2.0,HYPERSOFT,1.0,None,4.0,False,4,False
Ferrari,RAI,3.0,HYPERSOFT,1.0,None,5.0,False,4,False
Ferrari,RAI,4.0,HYPERSOFT,1.0,None,6.0,False,4,False
Ferrari,RAI,5.0,HYPERSOFT,1.0,108817000000,7.0,False,1,False
Ferrari,RAI,6.0,HYPERSOFT,1.0,108816000000,8.0,False,1,True
Ferrari,RAI,7.0,HYPERSOFT,1.0,107999000000,9.0,False,1,True
Ferrari,RAI,8.0,HYPERSOFT,1.0,107736000000,10.0,False,1,True
Ferrari,RAI,9.0,HYPERSOFT,1.0,107375000000,11.0,False,1,True
Ferrari,RAI,10.0,HYPERSOFT,1.0,107479000000,12.0,False,1,True
Ferrari,RAI,11.0,HYPERSOFT,1.0,107962000000,13.0,False,1,True
Ferrari,RAI,12.0,HYPERSOFT,1.0,107239000000,14.0,False,1,True
Ferrari,RAI,13.0,HYPERSOFT,1.0,107069000000,15.0,False,1,True
Ferrari,RAI,14.0,HYPERSOFT,1.0,106235000000,16.0,False,1,True
Ferrari,RAI,15.0,HYPERSOFT,1.0,106259000000,17.0,False,1,True
Ferrari,RAI,16.0,HYPERSOFT,1.0,106480000000,18.0,False,1,True
Ferrari,RAI,17.0,HYPERSOFT,1.0,105547000000,19.0,False,1,True
Ferrari,RAI,18.0,HYPERSOFT,1.0,106196000000,20.0,False,1,True
Ferrari,RAI,19.0,HYPERSOFT,1.0,106582000000,21.0,False,1,True
Ferrari,RAI,20.0,HYPERSOFT,1.0,106011000000,22.0,False,1,True
Ferrari,RAI,21.0,HYPERSOFT,1.0,106674000000,23.0,False,1,True
Ferrari,RAI,22.0,HYPERSOFT,1.0,115399000000,24.0,False,1,False
Ferrari,RAI,23.0,SOFT,2.0,124271000000,1.0,True,1,False
Ferrari,RAI,24.0,SOFT,2.0,104746000000,2.0,True,1,True
Ferrari,RAI,25.0,SOFT,2.0,105265000000,3.0,True,1,True
Ferrari,RAI,26.0,SOFT,2.0,105580000000,4.0,True,1,True
Ferrari,RAI,27.0,SOFT,2.0,105654000000,5.0,True,1,True
Ferrari,RAI,28.0,SOFT,2.0,105384000000,6.0,True,1,True
Ferrari,RAI,29.0,SOFT,2.0,105795000000,7.0,True,1,True
Ferrari,RAI,30.0,SOFT,2.0,105396000000,8.0,True,1,True
Ferrari,RAI,31.0,SOFT,2.0,105556000000,9.0,True,1,True
Ferrari,RAI,32.0,SOFT,2.0,106095000000,10.0,True,1,True
Ferrari,RAI,33.0,SOFT,2.0,105591000000,11.0,True,1,True
Ferrari,RAI,34.0,SOFT,2.0,105303000000,12.0,True,1,True
Ferrari,RAI,35.0,SOFT,2.0,104810000000,13.0,True,1,True
Ferrari,RAI,36.0,SOFT,2.0,105309000000,14.0,True,1,True
Ferrari,RAI,37.0,SOFT,2.0,106009000000,15.0,True,1,True
Ferrari,RAI,38.0,SOFT,2.0,106739000000,16.0,True,1,True
Ferrari,RAI,39.0,SOFT,2.0,109040000000,17.0,True,1,True
Ferrari,RAI,40.0,SOFT,2.0,106660000000,18.0,True,1,True
Ferrari,RAI,41.0,SOFT,2.0,105234000000,19.0,True,1,True
Ferrari,RAI,42.0,SOFT,2.0,105891000000,20.0,True,1,True
Ferrari,RAI,43.0,SOFT,2.0,105790000000,21.0,True,1,True
Ferrari,RAI,44.0,SOFT,2.0,105732000000,22.0,True,1,True
Ferrari,RAI,45.0,SOFT,2.0,105723000000,23.0,True,1,True
Ferrari,RAI,46.0,SOFT,2.0,104715000000,24.0,True,1,True
Ferrari,RAI,47.0,SOFT,2.0,105253000000,25.0,True,1,True
Ferrari,RAI,48.0,SOFT,2.0,105745000000,26.0,True,1,True
Ferrari,RAI,49.0,SOFT,2.0,105972000000,27.0,True,1,True
Ferrari,RAI,50.0,SOFT,2.0,106237000000,28.0,True,1,True
Ferrari,RAI,51.0,SOFT,2.0,106286000000,29.0,True,1,True
Ferrari,RAI,52.0,SOFT,2.0,106174000000,30.0,True,1,True
Ferrari,RAI,53.0,SOFT,2.0,106078000000,31.0,True,1,True
Ferrari,RAI,54.0,SOFT,2.0,106254000000,32.0,True,1,True
Ferrari,RAI,55.0,SOFT,2.0,106107000000,33.0,True,1,True
Ferrari,RAI,56.0,SOFT,2.0,106493000000,34.0,True,1,True
Ferrari,RAI,57.0,SOFT,2.0,106732000000,35.0,True,1,True
Ferrari,RAI,58.0,SOFT,2.0,107752000000,36.0,True,1,True
Ferrari,RAI,59.0,SOFT,2.0,106306000000,37.0,True,1,True
Ferrari,RAI,60.0,SOFT,2.0,106922000000,38.0,True,1,True
Ferrari,RAI,61.0,SOFT,2.0,106825000000,39.0,True,1,True
