['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2.0,HYPERSOFT,1.0,None,4.0,False,4,False
Red Bull Racing,RIC,3.0,HYPERSOFT,1.0,None,5.0,False,4,False
Red Bull Racing,RIC,4.0,HYPERSOFT,1.0,None,6.0,False,4,False
Red Bull Racing,RIC,5.0,HYPERSOFT,1.0,109039000000,7.0,False,1,False
Red Bull Racing,RIC,6.0,HYPERSOFT,1.0,108804000000,8.0,False,1,True
Red Bull Racing,RIC,7.0,HYPERSOFT,1.0,108095000000,9.0,False,1,True
Red Bull Racing,RIC,8.0,HYPERSOFT,1.0,108223000000,10.0,False,1,True
Red Bull Racing,RIC,9.0,HYPERSOFT,1.0,107778000000,11.0,False,1,True
Red Bull Racing,RIC,10.0,HYPERSOFT,1.0,107826000000,12.0,False,1,True
Red Bull Racing,RIC,11.0,HYPERSOFT,1.0,108114000000,13.0,False,1,True
Red Bull Racing,RIC,12.0,HYPERSOFT,1.0,107788000000,14.0,False,1,True
Red Bull Racing,RIC,13.0,HYPERSOFT,1.0,107523000000,15.0,False,1,True
Red Bull Racing,RIC,14.0,HYPERSOFT,1.0,106805000000,16.0,False,1,True
Red Bull Racing,RIC,15.0,HYPERSOFT,1.0,105939000000,17.0,False,1,True
Red Bull Racing,RIC,16.0,HYPERSOFT,1.0,106081000000,18.0,False,1,True
Red Bull Racing,RIC,17.0,HYPERSOFT,1.0,106253000000,19.0,False,1,True
Red Bull Racing,RIC,18.0,HYPERSOFT,1.0,105720000000,20.0,False,1,True
Red Bull Racing,RIC,19.0,HYPERSOFT,1.0,105688000000,21.0,False,1,True
Red Bull Racing,RIC,20.0,HYPERSOFT,1.0,105912000000,22.0,False,1,True
Red Bull Racing,RIC,21.0,HYPERSOFT,1.0,106684000000,23.0,False,1,True
Red Bull Racing,RIC,22.0,HYPERSOFT,1.0,106690000000,24.0,False,1,True
Red Bull Racing,RIC,23.0,HYPERSOFT,1.0,105845000000,25.0,False,1,True
Red Bull Racing,RIC,24.0,HYPERSOFT,1.0,106409000000,26.0,False,1,True
Red Bull Racing,RIC,25.0,HYPERSOFT,1.0,106422000000,27.0,False,1,True
Red Bull Racing,RIC,26.0,HYPERSOFT,1.0,106228000000,28.0,False,1,True
Red Bull Racing,RIC,27.0,HYPERSOFT,1.0,114890000000,29.0,False,1,False
Red Bull Racing,RIC,28.0,ULTRASOFT,2.0,128039000000,1.0,True,1,False
Red Bull Racing,RIC,29.0,ULTRASOFT,2.0,107541000000,2.0,True,1,True
Red Bull Racing,RIC,30.0,ULTRASOFT,2.0,105788000000,3.0,True,1,True
Red Bull Racing,RIC,31.0,ULTRASOFT,2.0,105603000000,4.0,True,1,True
Red Bull Racing,RIC,32.0,ULTRASOFT,2.0,105274000000,5.0,True,1,True
Red Bull Racing,RIC,33.0,ULTRASOFT,2.0,105023000000,6.0,True,1,True
Red Bull Racing,RIC,34.0,ULTRASOFT,2.0,105334000000,7.0,True,1,True
Red Bull Racing,RIC,35.0,ULTRASOFT,2.0,103853000000,8.0,True,1,True
Red Bull Racing,RIC,36.0,ULTRASOFT,2.0,104778000000,9.0,True,1,True
Red Bull Racing,RIC,37.0,ULTRASOFT,2.0,105194000000,10.0,True,1,True
Red Bull Racing,RIC,38.0,ULTRASOFT,2.0,105157000000,11.0,True,1,True
Red Bull Racing,RIC,39.0,ULTRASOFT,2.0,106543000000,12.0,True,1,True
Red Bull Racing,RIC,40.0,ULTRASOFT,2.0,105982000000,13.0,True,1,True
Red Bull Racing,RIC,41.0,ULTRASOFT,2.0,105954000000,14.0,True,1,True
Red Bull Racing,RIC,42.0,ULTRASOFT,2.0,104793000000,15.0,True,1,True
Red Bull Racing,RIC,43.0,ULTRASOFT,2.0,103652000000,16.0,True,1,True
Red Bull Racing,RIC,44.0,ULTRASOFT,2.0,105435000000,17.0,True,1,True
Red Bull Racing,RIC,45.0,ULTRASOFT,2.0,105286000000,18.0,True,1,True
Red Bull Racing,RIC,46.0,ULTRASOFT,2.0,104743000000,19.0,True,1,True
Red Bull Racing,RIC,47.0,ULTRASOFT,2.0,106186000000,20.0,True,1,True
Red Bull Racing,RIC,48.0,ULTRASOFT,2.0,107396000000,21.0,True,1,True
Red Bull Racing,RIC,49.0,ULTRASOFT,2.0,103335000000,22.0,True,1,True
Red Bull Racing,RIC,50.0,ULTRASOFT,2.0,106367000000,23.0,True,1,True
Red Bull Racing,RIC,51.0,ULTRASOFT,2.0,105696000000,24.0,True,1,True
Red Bull Racing,RIC,52.0,ULTRASOFT,2.0,106233000000,25.0,True,1,True
Red Bull Racing,RIC,53.0,ULTRASOFT,2.0,106460000000,26.0,True,1,True
Red Bull Racing,RIC,54.0,ULTRASOFT,2.0,109243000000,27.0,True,1,True
Red Bull Racing,RIC,55.0,ULTRASOFT,2.0,103214000000,28.0,True,1,True
Red Bull Racing,RIC,56.0,ULTRASOFT,2.0,107257000000,29.0,True,1,True
Red Bull Racing,RIC,57.0,ULTRASOFT,2.0,108702000000,30.0,True,1,True
Red Bull Racing,RIC,58.0,ULTRASOFT,2.0,107989000000,31.0,True,1,True
Red Bull Racing,RIC,59.0,ULTRASOFT,2.0,103120000000,32.0,True,1,True
Red Bull Racing,RIC,60.0,ULTRASOFT,2.0,106716000000,33.0,True,1,True
Red Bull Racing,RIC,61.0,ULTRASOFT,2.0,106774000000,34.0,True,1,True
