['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Renault,SAI,2.0,ULTRASOFT,1.0,None,1.0,True,4,False
Renault,SAI,3.0,ULTRASOFT,1.0,None,2.0,True,4,False
Renault,SAI,4.0,ULTRASOFT,1.0,None,3.0,True,4,False
Renault,SAI,5.0,ULTRASOFT,1.0,110637000000,4.0,True,1,False
Renault,SAI,6.0,ULTRASOFT,1.0,110337000000,5.0,True,1,True
Renault,SAI,7.0,ULTRASOFT,1.0,109504000000,6.0,True,1,True
Renault,SAI,8.0,ULTRASOFT,1.0,109200000000,7.0,True,1,True
Renault,SAI,9.0,ULTRASOFT,1.0,108924000000,8.0,True,1,True
Renault,SAI,10.0,ULTRASOFT,1.0,108878000000,9.0,True,1,True
Renault,SAI,11.0,ULTRASOFT,1.0,109383000000,10.0,True,1,True
Renault,SAI,12.0,ULTRASOFT,1.0,109674000000,11.0,True,1,True
Renault,SAI,13.0,ULTRASOFT,1.0,109266000000,12.0,True,1,True
Renault,SAI,14.0,ULTRASOFT,1.0,109302000000,13.0,True,1,True
Renault,SAI,15.0,ULTRASOFT,1.0,110555000000,14.0,True,1,True
Renault,SAI,16.0,ULTRASOFT,1.0,111296000000,15.0,True,1,True
Renault,SAI,17.0,ULTRASOFT,1.0,108000000000,16.0,True,1,True
Renault,SAI,18.0,ULTRASOFT,1.0,107803000000,17.0,True,1,True
Renault,SAI,19.0,ULTRASOFT,1.0,107468000000,18.0,True,1,True
Renault,SAI,20.0,ULTRASOFT,1.0,107433000000,19.0,True,1,True
Renault,SAI,21.0,ULTRASOFT,1.0,107410000000,20.0,True,1,True
Renault,SAI,22.0,ULTRASOFT,1.0,107254000000,21.0,True,1,True
Renault,SAI,23.0,ULTRASOFT,1.0,107257000000,22.0,True,1,True
Renault,SAI,24.0,ULTRASOFT,1.0,107172000000,23.0,True,1,True
Renault,SAI,25.0,ULTRASOFT,1.0,107232000000,24.0,True,1,True
Renault,SAI,26.0,ULTRASOFT,1.0,107314000000,25.0,True,1,True
Renault,SAI,27.0,ULTRASOFT,1.0,107158000000,26.0,True,1,True
Renault,SAI,28.0,ULTRASOFT,1.0,107027000000,27.0,True,1,True
Renault,SAI,29.0,ULTRASOFT,1.0,106912000000,28.0,True,1,True
Renault,SAI,30.0,ULTRASOFT,1.0,107105000000,29.0,True,1,True
Renault,SAI,31.0,ULTRASOFT,1.0,107051000000,30.0,True,1,True
Renault,SAI,32.0,ULTRASOFT,1.0,107023000000,31.0,True,1,True
Renault,SAI,33.0,ULTRASOFT,1.0,107305000000,32.0,True,1,True
Renault,SAI,34.0,ULTRASOFT,1.0,106667000000,33.0,True,1,True
Renault,SAI,35.0,ULTRASOFT,1.0,106931000000,34.0,True,1,True
Renault,SAI,36.0,ULTRASOFT,1.0,107164000000,35.0,True,1,True
Renault,SAI,37.0,ULTRASOFT,1.0,115341000000,36.0,True,1,False
Renault,SAI,38.0,SOFT,2.0,126917000000,1.0,True,1,False
Renault,SAI,39.0,SOFT,2.0,107124000000,2.0,True,1,True
Renault,SAI,40.0,SOFT,2.0,107627000000,3.0,True,1,True
Renault,SAI,41.0,SOFT,2.0,108200000000,4.0,True,1,True
Renault,SAI,42.0,SOFT,2.0,108055000000,5.0,True,1,True
Renault,SAI,43.0,SOFT,2.0,111173000000,6.0,True,1,True
Renault,SAI,44.0,SOFT,2.0,106722000000,7.0,True,1,True
Renault,SAI,45.0,SOFT,2.0,105810000000,8.0,True,1,True
Renault,SAI,46.0,SOFT,2.0,106272000000,9.0,True,1,True
Renault,SAI,47.0,SOFT,2.0,105402000000,10.0,True,1,True
Renault,SAI,48.0,SOFT,2.0,105480000000,11.0,True,1,True
Renault,SAI,49.0,SOFT,2.0,105327000000,12.0,True,1,True
Renault,SAI,50.0,SOFT,2.0,105211000000,13.0,True,1,True
Renault,SAI,51.0,SOFT,2.0,105377000000,14.0,True,1,True
Renault,SAI,52.0,SOFT,2.0,105381000000,15.0,True,1,True
Renault,SAI,53.0,SOFT,2.0,106426000000,16.0,True,1,True
Renault,SAI,54.0,SOFT,2.0,107951000000,17.0,True,1,True
Renault,SAI,55.0,SOFT,2.0,108180000000,18.0,True,1,True
Renault,SAI,56.0,SOFT,2.0,105621000000,19.0,True,1,True
Renault,SAI,57.0,SOFT,2.0,105673000000,20.0,True,1,True
Renault,SAI,58.0,SOFT,2.0,106327000000,21.0,True,1,True
Renault,SAI,59.0,SOFT,2.0,106514000000,22.0,True,1,True
Renault,SAI,60.0,SOFT,2.0,107255000000,23.0,True,1,True
