['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
McLaren,VAN,2.0,ULTRASOFT,1.0,None,1.0,True,4,False
McLaren,VAN,3.0,ULTRASOFT,1.0,None,2.0,True,4,False
McLaren,VAN,4.0,ULTRASOFT,1.0,149971000000,3.0,True,4,False
McLaren,VAN,5.0,ULTRASOFT,1.0,111556000000,4.0,True,1,False
McLaren,VAN,6.0,ULTRASOFT,1.0,111187000000,5.0,True,1,True
McLaren,VAN,7.0,ULTRASOFT,1.0,110543000000,6.0,True,1,True
McLaren,VAN,8.0,ULTRASOFT,1.0,110103000000,7.0,True,1,True
McLaren,VAN,9.0,ULTRASOFT,1.0,110030000000,8.0,True,1,True
McLaren,VAN,10.0,ULTRASOFT,1.0,109710000000,9.0,True,1,True
McLaren,VAN,11.0,ULTRASOFT,1.0,109665000000,10.0,True,1,True
McLaren,VAN,12.0,ULTRASOFT,1.0,109884000000,11.0,True,1,True
McLaren,VAN,13.0,ULTRASOFT,1.0,109426000000,12.0,True,1,True
McLaren,VAN,14.0,ULTRASOFT,1.0,108949000000,13.0,True,1,True
McLaren,VAN,15.0,ULTRASOFT,1.0,108931000000,14.0,True,1,True
McLaren,VAN,16.0,ULTRASOFT,1.0,109283000000,15.0,True,1,True
McLaren,VAN,17.0,ULTRASOFT,1.0,109736000000,16.0,True,1,True
McLaren,VAN,18.0,ULTRASOFT,1.0,109765000000,17.0,True,1,True
McLaren,VAN,19.0,ULTRASOFT,1.0,109361000000,18.0,True,1,True
McLaren,VAN,20.0,ULTRASOFT,1.0,109076000000,19.0,True,1,True
McLaren,VAN,21.0,ULTRASOFT,1.0,108766000000,20.0,True,1,True
McLaren,VAN,22.0,ULTRASOFT,1.0,109154000000,21.0,True,1,True
McLaren,VAN,23.0,ULTRASOFT,1.0,108813000000,22.0,True,1,True
McLaren,VAN,24.0,ULTRASOFT,1.0,108908000000,23.0,True,1,True
McLaren,VAN,25.0,ULTRASOFT,1.0,108668000000,24.0,True,1,True
McLaren,VAN,26.0,ULTRASOFT,1.0,109303000000,25.0,True,1,True
McLaren,VAN,27.0,ULTRASOFT,1.0,108204000000,26.0,True,1,True
McLaren,VAN,28.0,ULTRASOFT,1.0,108224000000,27.0,True,1,True
McLaren,VAN,29.0,ULTRASOFT,1.0,108159000000,28.0,True,1,True
McLaren,VAN,30.0,ULTRASOFT,1.0,108475000000,29.0,True,1,True
McLaren,VAN,31.0,ULTRASOFT,1.0,107800000000,30.0,True,1,True
McLaren,VAN,32.0,ULTRASOFT,1.0,107884000000,31.0,True,1,True
McLaren,VAN,33.0,ULTRASOFT,1.0,107883000000,32.0,True,1,True
McLaren,VAN,34.0,ULTRASOFT,1.0,107836000000,33.0,True,1,True
McLaren,VAN,35.0,ULTRASOFT,1.0,107753000000,34.0,True,1,True
McLaren,VAN,36.0,ULTRASOFT,1.0,107747000000,35.0,True,1,True
McLaren,VAN,37.0,ULTRASOFT,1.0,108412000000,36.0,True,1,True
McLaren,VAN,38.0,ULTRASOFT,1.0,108287000000,37.0,True,1,True
McLaren,VAN,39.0,ULTRASOFT,1.0,107895000000,38.0,True,1,True
McLaren,VAN,40.0,ULTRASOFT,1.0,108283000000,39.0,True,1,True
McLaren,VAN,41.0,ULTRASOFT,1.0,108081000000,40.0,True,1,True
McLaren,VAN,42.0,ULTRASOFT,1.0,108576000000,41.0,True,1,True
McLaren,VAN,43.0,ULTRASOFT,1.0,116766000000,42.0,True,1,False
McLaren,VAN,44.0,ULTRASOFT,1.0,126948000000,43.0,True,1,False
McLaren,VAN,45.0,ULTRASOFT,1.0,106389000000,44.0,True,1,True
McLaren,VAN,46.0,ULTRASOFT,1.0,105840000000,45.0,True,1,True
McLaren,VAN,47.0,ULTRASOFT,1.0,106423000000,46.0,True,1,True
McLaren,VAN,48.0,ULTRASOFT,1.0,106121000000,47.0,True,1,True
McLaren,VAN,49.0,ULTRASOFT,1.0,105895000000,48.0,True,1,False
McLaren,VAN,50.0,ULTRASOFT,1.0,105555000000,49.0,True,1,True
McLaren,VAN,51.0,ULTRASOFT,1.0,105764000000,50.0,True,1,True
McLaren,VAN,52.0,ULTRASOFT,1.0,105934000000,51.0,True,1,True
McLaren,VAN,53.0,ULTRASOFT,1.0,106340000000,52.0,True,1,True
McLaren,VAN,54.0,ULTRASOFT,1.0,107303000000,53.0,True,1,True
McLaren,VAN,55.0,ULTRASOFT,1.0,106719000000,54.0,True,1,True
McLaren,VAN,56.0,ULTRASOFT,1.0,107069000000,55.0,True,1,True
McLaren,VAN,57.0,ULTRASOFT,1.0,107252000000,56.0,True,1,True
McLaren,VAN,58.0,ULTRASOFT,1.0,107808000000,57.0,True,1,True
McLaren,VAN,59.0,SOFT,2.0,107720000000,1.0,True,1,True
McLaren,VAN,60.0,SOFT,2.0,106793000000,2.0,True,1,True
