['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2.0,HYPERSOFT,1.0,None,4.0,False,4,False
Red Bull Racing,VER,3.0,HYPERSOFT,1.0,None,5.0,False,4,False
Red Bull Racing,VER,4.0,HYPERSOFT,1.0,None,6.0,False,4,False
Red Bull Racing,VER,5.0,HYPERSOFT,1.0,108360000000,7.0,False,1,False
Red Bull Racing,VER,6.0,HYPERSOFT,1.0,108359000000,8.0,False,1,True
Red Bull Racing,VER,7.0,HYPERSOFT,1.0,107717000000,9.0,False,1,True
Red Bull Racing,VER,8.0,HYPERSOFT,1.0,107186000000,10.0,False,1,True
Red Bull Racing,VER,9.0,HYPERSOFT,1.0,107348000000,11.0,False,1,True
Red Bull Racing,VER,10.0,HYPERSOFT,1.0,107706000000,12.0,False,1,True
Red Bull Racing,VER,11.0,HYPERSOFT,1.0,107754000000,13.0,False,1,True
Red Bull Racing,VER,12.0,HYPERSOFT,1.0,106826000000,14.0,False,1,True
Red Bull Racing,VER,13.0,HYPERSOFT,1.0,105962000000,15.0,False,1,True
Red Bull Racing,VER,14.0,HYPERSOFT,1.0,105767000000,16.0,False,1,True
Red Bull Racing,VER,15.0,HYPERSOFT,1.0,105283000000,17.0,False,1,True
Red Bull Racing,VER,16.0,HYPERSOFT,1.0,105216000000,18.0,False,1,True
Red Bull Racing,VER,17.0,HYPERSOFT,1.0,112508000000,19.0,False,1,False
Red Bull Racing,VER,18.0,SOFT,2.0,125658000000,1.0,True,1,False
Red Bull Racing,VER,19.0,SOFT,2.0,105893000000,2.0,True,1,True
Red Bull Racing,VER,20.0,SOFT,2.0,105753000000,3.0,True,1,True
Red Bull Racing,VER,21.0,SOFT,2.0,105991000000,4.0,True,1,True
Red Bull Racing,VER,22.0,SOFT,2.0,105741000000,5.0,True,1,True
Red Bull Racing,VER,23.0,SOFT,2.0,105630000000,6.0,True,1,True
Red Bull Racing,VER,24.0,SOFT,2.0,106004000000,7.0,True,1,True
Red Bull Racing,VER,25.0,SOFT,2.0,105862000000,8.0,True,1,True
Red Bull Racing,VER,26.0,SOFT,2.0,105590000000,9.0,True,1,True
Red Bull Racing,VER,27.0,SOFT,2.0,105505000000,10.0,True,1,True
Red Bull Racing,VER,28.0,SOFT,2.0,105251000000,11.0,True,1,True
Red Bull Racing,VER,29.0,SOFT,2.0,105609000000,12.0,True,1,True
Red Bull Racing,VER,30.0,SOFT,2.0,105239000000,13.0,True,1,True
Red Bull Racing,VER,31.0,SOFT,2.0,105542000000,14.0,True,1,True
Red Bull Racing,VER,32.0,SOFT,2.0,105234000000,15.0,True,1,True
Red Bull Racing,VER,33.0,SOFT,2.0,105102000000,16.0,True,1,True
Red Bull Racing,VER,34.0,SOFT,2.0,105184000000,17.0,True,1,True
Red Bull Racing,VER,35.0,SOFT,2.0,105649000000,18.0,True,1,True
Red Bull Racing,VER,36.0,SOFT,2.0,105702000000,19.0,True,1,True
Red Bull Racing,VER,37.0,SOFT,2.0,106900000000,20.0,True,1,True
Red Bull Racing,VER,38.0,SOFT,2.0,110394000000,21.0,True,1,True
Red Bull Racing,VER,39.0,SOFT,2.0,105978000000,22.0,True,1,True
Red Bull Racing,VER,40.0,SOFT,2.0,104868000000,23.0,True,1,True
Red Bull Racing,VER,41.0,SOFT,2.0,105213000000,24.0,True,1,True
Red Bull Racing,VER,42.0,SOFT,2.0,105175000000,25.0,True,1,True
Red Bull Racing,VER,43.0,SOFT,2.0,104696000000,26.0,True,1,True
Red Bull Racing,VER,44.0,SOFT,2.0,104892000000,27.0,True,1,True
Red Bull Racing,VER,45.0,SOFT,2.0,105248000000,28.0,True,1,True
Red Bull Racing,VER,46.0,SOFT,2.0,105154000000,29.0,True,1,True
Red Bull Racing,VER,47.0,SOFT,2.0,104251000000,30.0,True,1,True
Red Bull Racing,VER,48.0,SOFT,2.0,104721000000,31.0,True,1,True
Red Bull Racing,VER,49.0,SOFT,2.0,104697000000,32.0,True,1,True
Red Bull Racing,VER,50.0,SOFT,2.0,103852000000,33.0,True,1,True
Red Bull Racing,VER,51.0,SOFT,2.0,103533000000,34.0,True,1,True
Red Bull Racing,VER,52.0,SOFT,2.0,104780000000,35.0,True,1,True
Red Bull Racing,VER,53.0,SOFT,2.0,103610000000,36.0,True,1,True
Red Bull Racing,VER,54.0,SOFT,2.0,103345000000,37.0,True,1,True
Red Bull Racing,VER,55.0,SOFT,2.0,105322000000,38.0,True,1,True
Red Bull Racing,VER,56.0,SOFT,2.0,103691000000,39.0,True,1,True
Red Bull Racing,VER,57.0,SOFT,2.0,103905000000,40.0,True,1,True
Red Bull Racing,VER,58.0,SOFT,2.0,104030000000,41.0,True,1,True
Red Bull Racing,VER,59.0,SOFT,2.0,103916000000,42.0,True,1,True
Red Bull Racing,VER,60.0,SOFT,2.0,105179000000,43.0,True,1,True
Red Bull Racing,VER,61.0,SOFT,2.0,105035000000,44.0,True,1,True
