['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2.0,SOFT,1.0,None,4.0,False,4,False
Mercedes,BOT,3.0,SOFT,1.0,132648000000,5.0,False,4,False
Mercedes,BOT,4.0,SOFT,1.0,128556000000,6.0,False,4,False
Mercedes,BOT,5.0,SOFT,1.0,130238000000,7.0,False,4,False
Mercedes,BOT,6.0,SOFT,1.0,132666000000,8.0,False,4,False
Mercedes,BOT,7.0,SOFT,1.0,83984000000,9.0,False,1,False
Mercedes,BOT,8.0,SOFT,1.0,83445000000,10.0,False,1,True
Mercedes,BOT,9.0,SOFT,1.0,82313000000,11.0,False,1,True
Mercedes,BOT,10.0,SOFT,1.0,82221000000,12.0,False,1,True
Mercedes,BOT,11.0,SOFT,1.0,82244000000,13.0,False,1,True
Mercedes,BOT,12.0,SOFT,1.0,82603000000,14.0,False,1,True
Mercedes,BOT,13.0,SOFT,1.0,82410000000,15.0,False,1,True
Mercedes,BOT,14.0,SOFT,1.0,82372000000,16.0,False,1,True
Mercedes,BOT,15.0,SOFT,1.0,82336000000,17.0,False,1,True
Mercedes,BOT,16.0,SOFT,1.0,81936000000,18.0,False,1,True
Mercedes,BOT,17.0,SOFT,1.0,81956000000,19.0,False,1,True
Mercedes,BOT,18.0,SOFT,1.0,81485000000,20.0,False,1,True
Mercedes,BOT,19.0,SOFT,1.0,84219000000,21.0,False,1,False
Mercedes,BOT,20.0,MEDIUM,2.0,103642000000,1.0,True,1,False
Mercedes,BOT,21.0,MEDIUM,2.0,80402000000,2.0,True,1,True
Mercedes,BOT,22.0,MEDIUM,2.0,81347000000,3.0,True,1,True
Mercedes,BOT,23.0,MEDIUM,2.0,81182000000,4.0,True,1,True
Mercedes,BOT,24.0,MEDIUM,2.0,81249000000,5.0,True,1,True
Mercedes,BOT,25.0,MEDIUM,2.0,81347000000,6.0,True,1,True
Mercedes,BOT,26.0,MEDIUM,2.0,80940000000,7.0,True,1,True
Mercedes,BOT,27.0,MEDIUM,2.0,80857000000,8.0,True,1,True
Mercedes,BOT,28.0,MEDIUM,2.0,81015000000,9.0,True,1,True
Mercedes,BOT,29.0,MEDIUM,2.0,81319000000,10.0,True,1,True
Mercedes,BOT,30.0,MEDIUM,2.0,81445000000,11.0,True,1,True
Mercedes,BOT,31.0,MEDIUM,2.0,82081000000,12.0,True,1,True
Mercedes,BOT,32.0,MEDIUM,2.0,80844000000,13.0,True,1,True
Mercedes,BOT,33.0,MEDIUM,2.0,80847000000,14.0,True,1,True
Mercedes,BOT,34.0,MEDIUM,2.0,80589000000,15.0,True,1,True
Mercedes,BOT,35.0,MEDIUM,2.0,80951000000,16.0,True,1,True
Mercedes,BOT,36.0,MEDIUM,2.0,80947000000,17.0,True,1,True
Mercedes,BOT,37.0,MEDIUM,2.0,81402000000,18.0,True,1,True
Mercedes,BOT,38.0,MEDIUM,2.0,81185000000,19.0,True,1,True
Mercedes,BOT,39.0,MEDIUM,2.0,81265000000,20.0,True,1,True
Mercedes,BOT,40.0,MEDIUM,2.0,81257000000,21.0,True,2,True
Mercedes,BOT,41.0,MEDIUM,2.0,116194000000,22.0,True,26,False
Mercedes,BOT,42.0,MEDIUM,2.0,116214000000,23.0,True,672,False
Mercedes,BOT,43.0,MEDIUM,2.0,81790000000,24.0,True,2,True
Mercedes,BOT,44.0,MEDIUM,2.0,81378000000,25.0,True,1,True
Mercedes,BOT,45.0,MEDIUM,2.0,79944000000,26.0,True,1,True
Mercedes,BOT,46.0,MEDIUM,2.0,80240000000,27.0,True,1,True
Mercedes,BOT,47.0,MEDIUM,2.0,80381000000,28.0,True,1,True
Mercedes,BOT,48.0,MEDIUM,2.0,81942000000,29.0,True,1,True
Mercedes,BOT,49.0,MEDIUM,2.0,79828000000,30.0,True,1,True
Mercedes,BOT,50.0,MEDIUM,2.0,80492000000,31.0,True,1,True
Mercedes,BOT,51.0,MEDIUM,2.0,79924000000,32.0,True,1,True
Mercedes,BOT,52.0,MEDIUM,2.0,79987000000,33.0,True,1,True
Mercedes,BOT,53.0,MEDIUM,2.0,80092000000,34.0,True,1,True
Mercedes,BOT,54.0,MEDIUM,2.0,79946000000,35.0,True,1,True
Mercedes,BOT,55.0,MEDIUM,2.0,79837000000,36.0,True,1,True
Mercedes,BOT,56.0,MEDIUM,2.0,79478000000,37.0,True,1,True
Mercedes,BOT,57.0,MEDIUM,2.0,79940000000,38.0,True,1,True
Mercedes,BOT,58.0,MEDIUM,2.0,80098000000,39.0,True,1,True
Mercedes,BOT,59.0,MEDIUM,2.0,80169000000,40.0,True,1,True
Mercedes,BOT,60.0,MEDIUM,2.0,80006000000,41.0,True,1,True
Mercedes,BOT,61.0,MEDIUM,2.0,79819000000,42.0,True,1,True
Mercedes,BOT,62.0,MEDIUM,2.0,79872000000,43.0,True,1,True
Mercedes,BOT,63.0,MEDIUM,2.0,80058000000,44.0,True,1,True
Mercedes,BOT,64.0,MEDIUM,2.0,80421000000,45.0,True,1,True
Mercedes,BOT,65.0,MEDIUM,2.0,81130000000,46.0,True,1,True
Mercedes,BOT,66.0,MEDIUM,2.0,80478000000,47.0,True,1,True
