['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,HAM,2.0,nan,nan,None,nan,nan,4,False
Mercedes,HAM,3.0,SOFT,1.0,132826000000,4.0,False,4,False
Mercedes,HAM,4.0,SOFT,1.0,128778000000,5.0,False,4,False
Mercedes,HAM,5.0,SOFT,1.0,130440000000,6.0,False,4,False
Mercedes,HAM,6.0,SOFT,1.0,133880000000,7.0,False,4,False
Mercedes,HAM,7.0,SOFT,1.0,82990000000,8.0,False,1,False
Mercedes,HAM,8.0,SOFT,1.0,81631000000,9.0,False,1,True
Mercedes,HAM,9.0,SOFT,1.0,81386000000,10.0,False,1,True
Mercedes,HAM,10.0,SOFT,1.0,81790000000,11.0,False,1,True
Mercedes,HAM,11.0,SOFT,1.0,81808000000,12.0,False,1,True
Mercedes,HAM,12.0,SOFT,1.0,81810000000,13.0,False,1,True
Mercedes,HAM,13.0,SOFT,1.0,81936000000,14.0,False,1,True
Mercedes,HAM,14.0,SOFT,1.0,81574000000,15.0,False,1,True
Mercedes,HAM,15.0,SOFT,1.0,81778000000,16.0,False,1,True
Mercedes,HAM,16.0,SOFT,1.0,81562000000,17.0,False,1,False
Mercedes,HAM,17.0,SOFT,1.0,81509000000,18.0,False,1,True
Mercedes,HAM,18.0,SOFT,1.0,81328000000,19.0,False,1,True
Mercedes,HAM,19.0,SOFT,1.0,81393000000,20.0,False,1,True
Mercedes,HAM,20.0,SOFT,1.0,81334000000,21.0,False,1,True
Mercedes,HAM,21.0,SOFT,1.0,81157000000,22.0,False,1,True
Mercedes,HAM,22.0,SOFT,1.0,80849000000,23.0,False,1,True
Mercedes,HAM,23.0,SOFT,1.0,81045000000,24.0,False,1,True
Mercedes,HAM,24.0,SOFT,1.0,81662000000,25.0,False,1,True
Mercedes,HAM,25.0,SOFT,1.0,84565000000,26.0,False,1,False
Mercedes,HAM,26.0,MEDIUM,2.0,100689000000,1.0,True,1,False
Mercedes,HAM,27.0,MEDIUM,2.0,80131000000,2.0,True,1,True
Mercedes,HAM,28.0,MEDIUM,2.0,80711000000,3.0,True,1,True
Mercedes,HAM,29.0,MEDIUM,2.0,80713000000,4.0,True,1,True
Mercedes,HAM,30.0,MEDIUM,2.0,81074000000,5.0,True,1,True
Mercedes,HAM,31.0,MEDIUM,2.0,80948000000,6.0,True,1,True
Mercedes,HAM,32.0,MEDIUM,2.0,81600000000,7.0,True,1,True
Mercedes,HAM,33.0,MEDIUM,2.0,81228000000,8.0,True,1,True
Mercedes,HAM,34.0,MEDIUM,2.0,81854000000,9.0,True,1,True
Mercedes,HAM,35.0,MEDIUM,2.0,80542000000,10.0,True,1,True
Mercedes,HAM,36.0,MEDIUM,2.0,80359000000,11.0,True,1,True
Mercedes,HAM,37.0,MEDIUM,2.0,81296000000,12.0,True,1,True
Mercedes,HAM,38.0,MEDIUM,2.0,80363000000,13.0,True,1,True
Mercedes,HAM,39.0,MEDIUM,2.0,80810000000,14.0,True,1,True
Mercedes,HAM,40.0,MEDIUM,2.0,80507000000,15.0,True,2,True
Mercedes,HAM,41.0,MEDIUM,2.0,108590000000,16.0,True,26,False
Mercedes,HAM,42.0,MEDIUM,2.0,122018000000,17.0,True,67,False
Mercedes,HAM,43.0,MEDIUM,2.0,84158000000,18.0,True,72,False
Mercedes,HAM,44.0,MEDIUM,2.0,80625000000,19.0,True,1,True
Mercedes,HAM,45.0,MEDIUM,2.0,80425000000,20.0,True,1,True
Mercedes,HAM,46.0,MEDIUM,2.0,80621000000,21.0,True,1,True
Mercedes,HAM,47.0,MEDIUM,2.0,79766000000,22.0,True,1,True
Mercedes,HAM,48.0,MEDIUM,2.0,80200000000,23.0,True,1,True
Mercedes,HAM,49.0,MEDIUM,2.0,79983000000,24.0,True,1,True
Mercedes,HAM,50.0,MEDIUM,2.0,79902000000,25.0,True,1,True
Mercedes,HAM,51.0,MEDIUM,2.0,79634000000,26.0,True,1,True
Mercedes,HAM,52.0,MEDIUM,2.0,79984000000,27.0,True,1,True
Mercedes,HAM,53.0,MEDIUM,2.0,79831000000,28.0,True,1,True
Mercedes,HAM,54.0,MEDIUM,2.0,80007000000,29.0,True,1,True
Mercedes,HAM,55.0,MEDIUM,2.0,79860000000,30.0,True,1,True
Mercedes,HAM,56.0,MEDIUM,2.0,79811000000,31.0,True,1,True
Mercedes,HAM,57.0,MEDIUM,2.0,79443000000,32.0,True,1,True
Mercedes,HAM,58.0,MEDIUM,2.0,79488000000,33.0,True,1,True
Mercedes,HAM,59.0,MEDIUM,2.0,79614000000,34.0,True,1,True
Mercedes,HAM,60.0,MEDIUM,2.0,81819000000,35.0,True,1,True
Mercedes,HAM,61.0,MEDIUM,2.0,80470000000,36.0,True,1,True
Mercedes,HAM,62.0,MEDIUM,2.0,79152000000,37.0,True,1,True
Mercedes,HAM,63.0,MEDIUM,2.0,79822000000,38.0,True,1,True
Mercedes,HAM,64.0,MEDIUM,2.0,79133000000,39.0,True,1,True
Mercedes,HAM,65.0,MEDIUM,2.0,79425000000,40.0,True,1,False
Mercedes,HAM,66.0,MEDIUM,2.0,80393000000,41.0,True,1,True
