['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Sauber,LEC,2.0,SOFT,1.0,None,1.0,True,4,False
Sauber,LEC,3.0,SOFT,1.0,131588000000,2.0,True,4,False
Sauber,LEC,4.0,SOFT,1.0,129653000000,3.0,True,4,False
Sauber,LEC,5.0,SOFT,1.0,129851000000,4.0,True,4,False
Sauber,LEC,6.0,SOFT,1.0,127708000000,5.0,True,4,False
Sauber,LEC,7.0,SOFT,1.0,87831000000,6.0,True,1,False
Sauber,LEC,8.0,SOFT,1.0,85760000000,7.0,True,1,True
Sauber,LEC,9.0,SOFT,1.0,84833000000,8.0,True,1,True
Sauber,LEC,10.0,SOFT,1.0,84277000000,9.0,True,1,True
Sauber,LEC,11.0,SOFT,1.0,84289000000,10.0,True,1,True
Sauber,LEC,12.0,SOFT,1.0,84200000000,11.0,True,1,True
Sauber,LEC,13.0,SOFT,1.0,84335000000,12.0,True,1,True
Sauber,LEC,14.0,SOFT,1.0,83958000000,13.0,True,1,True
Sauber,LEC,15.0,SOFT,1.0,84055000000,14.0,True,1,True
Sauber,LEC,16.0,SOFT,1.0,83736000000,15.0,True,1,True
Sauber,LEC,17.0,SOFT,1.0,83977000000,16.0,True,1,True
Sauber,LEC,18.0,SOFT,1.0,84176000000,17.0,True,1,True
Sauber,LEC,19.0,SOFT,1.0,83853000000,18.0,True,1,True
Sauber,LEC,20.0,SOFT,1.0,87170000000,19.0,True,1,False
Sauber,LEC,21.0,MEDIUM,2.0,101964000000,1.0,True,1,False
Sauber,LEC,22.0,MEDIUM,2.0,83030000000,2.0,True,1,True
Sauber,LEC,23.0,MEDIUM,2.0,83539000000,3.0,True,1,True
Sauber,LEC,24.0,MEDIUM,2.0,83536000000,4.0,True,1,True
Sauber,LEC,25.0,MEDIUM,2.0,83012000000,5.0,True,1,True
Sauber,LEC,26.0,MEDIUM,2.0,82962000000,6.0,True,1,True
Sauber,LEC,27.0,MEDIUM,2.0,83047000000,7.0,True,1,True
Sauber,LEC,28.0,MEDIUM,2.0,83625000000,8.0,True,1,True
Sauber,LEC,29.0,MEDIUM,2.0,84207000000,9.0,True,1,True
Sauber,LEC,30.0,MEDIUM,2.0,83531000000,10.0,True,1,True
Sauber,LEC,31.0,MEDIUM,2.0,83943000000,11.0,True,1,True
Sauber,LEC,32.0,MEDIUM,2.0,83429000000,12.0,True,1,True
Sauber,LEC,33.0,MEDIUM,2.0,82840000000,13.0,True,1,True
Sauber,LEC,34.0,MEDIUM,2.0,83227000000,14.0,True,1,True
Sauber,LEC,35.0,MEDIUM,2.0,83229000000,15.0,True,1,True
Sauber,LEC,36.0,MEDIUM,2.0,82926000000,16.0,True,1,True
Sauber,LEC,37.0,MEDIUM,2.0,84541000000,17.0,True,1,True
Sauber,LEC,38.0,MEDIUM,2.0,82818000000,18.0,True,1,True
Sauber,LEC,39.0,MEDIUM,2.0,82710000000,19.0,True,2,True
Sauber,LEC,40.0,MEDIUM,2.0,113315000000,20.0,True,26,False
Sauber,LEC,41.0,MEDIUM,2.0,121252000000,21.0,True,67,False
Sauber,LEC,42.0,MEDIUM,2.0,88474000000,22.0,True,2,True
Sauber,LEC,43.0,MEDIUM,2.0,83154000000,23.0,True,1,True
Sauber,LEC,44.0,MEDIUM,2.0,82591000000,24.0,True,1,True
Sauber,LEC,45.0,MEDIUM,2.0,82519000000,25.0,True,1,True
Sauber,LEC,46.0,MEDIUM,2.0,82358000000,26.0,True,1,True
Sauber,LEC,47.0,MEDIUM,2.0,86017000000,27.0,True,1,True
Sauber,LEC,48.0,MEDIUM,2.0,82445000000,28.0,True,1,True
Sauber,LEC,49.0,MEDIUM,2.0,82279000000,29.0,True,1,True
Sauber,LEC,50.0,MEDIUM,2.0,82264000000,30.0,True,1,True
Sauber,LEC,51.0,MEDIUM,2.0,82122000000,31.0,True,1,True
Sauber,LEC,52.0,MEDIUM,2.0,82264000000,32.0,True,1,True
Sauber,LEC,53.0,MEDIUM,2.0,84486000000,33.0,True,1,True
Sauber,LEC,54.0,MEDIUM,2.0,83617000000,34.0,True,1,True
Sauber,LEC,55.0,MEDIUM,2.0,82318000000,35.0,True,1,True
Sauber,LEC,56.0,MEDIUM,2.0,82628000000,36.0,True,1,True
Sauber,LEC,57.0,MEDIUM,2.0,82984000000,37.0,True,1,True
Sauber,LEC,58.0,MEDIUM,2.0,84121000000,38.0,True,1,True
Sauber,LEC,59.0,MEDIUM,2.0,83446000000,39.0,True,1,True
Sauber,LEC,60.0,MEDIUM,2.0,83599000000,40.0,True,1,True
Sauber,LEC,61.0,MEDIUM,2.0,83357000000,41.0,True,1,True
Sauber,LEC,62.0,MEDIUM,2.0,82810000000,42.0,True,1,True
Sauber,LEC,63.0,MEDIUM,2.0,84848000000,43.0,True,1,True
Sauber,LEC,64.0,MEDIUM,2.0,83706000000,44.0,True,1,True
