['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2.0,SOFT,1.0,None,5.0,False,4,False
Haas F1 Team,MAG,3.0,SOFT,1.0,133292000000,6.0,False,4,False
Haas F1 Team,MAG,4.0,SOFT,1.0,128069000000,7.0,False,4,False
Haas F1 Team,MAG,5.0,SOFT,1.0,130421000000,8.0,False,4,False
Haas F1 Team,MAG,6.0,SOFT,1.0,130231000000,9.0,False,4,False
Haas F1 Team,MAG,7.0,SOFT,1.0,87167000000,10.0,False,1,False
Haas F1 Team,MAG,8.0,SOFT,1.0,85039000000,11.0,False,1,True
Haas F1 Team,MAG,9.0,SOFT,1.0,83739000000,12.0,False,1,True
Haas F1 Team,MAG,10.0,SOFT,1.0,83548000000,13.0,False,1,True
Haas F1 Team,MAG,11.0,SOFT,1.0,83431000000,14.0,False,1,True
Haas F1 Team,MAG,12.0,SOFT,1.0,83576000000,15.0,False,1,True
Haas F1 Team,MAG,13.0,SOFT,1.0,83564000000,16.0,False,1,True
Haas F1 Team,MAG,14.0,SOFT,1.0,83467000000,17.0,False,1,True
Haas F1 Team,MAG,15.0,SOFT,1.0,83604000000,18.0,False,1,True
Haas F1 Team,MAG,16.0,SOFT,1.0,83363000000,19.0,False,1,True
Haas F1 Team,MAG,17.0,SOFT,1.0,83027000000,20.0,False,1,True
Haas F1 Team,MAG,18.0,SOFT,1.0,83077000000,21.0,False,1,True
Haas F1 Team,MAG,19.0,SOFT,1.0,82856000000,22.0,False,1,True
Haas F1 Team,MAG,20.0,SOFT,1.0,84524000000,23.0,False,1,True
Haas F1 Team,MAG,21.0,SOFT,1.0,84423000000,24.0,False,1,True
Haas F1 Team,MAG,22.0,SOFT,1.0,82842000000,25.0,False,1,True
Haas F1 Team,MAG,23.0,SOFT,1.0,82559000000,26.0,False,1,True
Haas F1 Team,MAG,24.0,SOFT,1.0,82911000000,27.0,False,1,True
Haas F1 Team,MAG,25.0,SOFT,1.0,83194000000,28.0,False,1,True
Haas F1 Team,MAG,26.0,SOFT,1.0,83129000000,29.0,False,1,True
Haas F1 Team,MAG,27.0,SOFT,1.0,82800000000,30.0,False,1,True
Haas F1 Team,MAG,28.0,SOFT,1.0,82587000000,31.0,False,1,True
Haas F1 Team,MAG,29.0,SOFT,1.0,82505000000,32.0,False,1,True
Haas F1 Team,MAG,30.0,SOFT,1.0,82733000000,33.0,False,1,True
Haas F1 Team,MAG,31.0,SOFT,1.0,82771000000,34.0,False,1,True
Haas F1 Team,MAG,32.0,SOFT,1.0,86628000000,35.0,False,1,False
Haas F1 Team,MAG,33.0,MEDIUM,2.0,102220000000,1.0,True,1,False
Haas F1 Team,MAG,34.0,MEDIUM,2.0,81246000000,2.0,True,1,True
Haas F1 Team,MAG,35.0,MEDIUM,2.0,81243000000,3.0,True,1,True
Haas F1 Team,MAG,36.0,MEDIUM,2.0,81421000000,4.0,True,1,True
Haas F1 Team,MAG,37.0,MEDIUM,2.0,81851000000,5.0,True,1,True
Haas F1 Team,MAG,38.0,MEDIUM,2.0,81645000000,6.0,True,1,True
Haas F1 Team,MAG,39.0,MEDIUM,2.0,81588000000,7.0,True,1,True
Haas F1 Team,MAG,40.0,MEDIUM,2.0,101289000000,8.0,True,26,False
Haas F1 Team,MAG,41.0,MEDIUM,2.0,120523000000,9.0,True,6,False
Haas F1 Team,MAG,42.0,MEDIUM,2.0,95617000000,10.0,True,672,False
Haas F1 Team,MAG,43.0,MEDIUM,2.0,82025000000,11.0,True,1,True
Haas F1 Team,MAG,44.0,MEDIUM,2.0,81577000000,12.0,True,1,True
Haas F1 Team,MAG,45.0,MEDIUM,2.0,81550000000,13.0,True,1,True
Haas F1 Team,MAG,46.0,MEDIUM,2.0,81419000000,14.0,True,1,True
Haas F1 Team,MAG,47.0,MEDIUM,2.0,82357000000,15.0,True,1,True
Haas F1 Team,MAG,48.0,MEDIUM,2.0,81370000000,16.0,True,1,True
Haas F1 Team,MAG,49.0,MEDIUM,2.0,81265000000,17.0,True,1,True
Haas F1 Team,MAG,50.0,MEDIUM,2.0,81322000000,18.0,True,1,True
Haas F1 Team,MAG,51.0,MEDIUM,2.0,81232000000,19.0,True,1,True
Haas F1 Team,MAG,52.0,MEDIUM,2.0,84213000000,20.0,True,1,True
Haas F1 Team,MAG,53.0,MEDIUM,2.0,81565000000,21.0,True,1,True
Haas F1 Team,MAG,54.0,MEDIUM,2.0,81165000000,22.0,True,1,True
Haas F1 Team,MAG,55.0,MEDIUM,2.0,80973000000,23.0,True,1,True
Haas F1 Team,MAG,56.0,MEDIUM,2.0,81106000000,24.0,True,1,True
Haas F1 Team,MAG,57.0,MEDIUM,2.0,80966000000,25.0,True,1,True
Haas F1 Team,MAG,58.0,MEDIUM,2.0,80984000000,26.0,True,1,True
Haas F1 Team,MAG,59.0,MEDIUM,2.0,80908000000,27.0,True,1,True
Haas F1 Team,MAG,60.0,MEDIUM,2.0,80793000000,28.0,True,1,True
Haas F1 Team,MAG,61.0,MEDIUM,2.0,80590000000,29.0,True,1,True
Haas F1 Team,MAG,62.0,MEDIUM,2.0,80564000000,30.0,True,1,True
Haas F1 Team,MAG,63.0,MEDIUM,2.0,81993000000,31.0,True,1,True
Haas F1 Team,MAG,64.0,MEDIUM,2.0,80246000000,32.0,True,1,True
Haas F1 Team,MAG,65.0,MEDIUM,2.0,82366000000,33.0,True,1,True
