['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Force India,OCO,2.0,SOFT,1.0,None,1.0,True,4,False
Force India,OCO,3.0,SOFT,1.0,131580000000,2.0,True,4,False
Force India,OCO,4.0,SOFT,1.0,130739000000,3.0,True,4,False
Force India,OCO,5.0,SOFT,1.0,129448000000,4.0,True,4,False
Force India,OCO,6.0,SOFT,1.0,126196000000,5.0,True,4,False
Force India,OCO,7.0,SOFT,1.0,88685000000,6.0,True,1,False
Force India,OCO,8.0,SOFT,1.0,85963000000,7.0,True,1,True
Force India,OCO,9.0,SOFT,1.0,85174000000,8.0,True,1,True
Force India,OCO,10.0,SOFT,1.0,84671000000,9.0,True,1,True
Force India,OCO,11.0,SOFT,1.0,84377000000,10.0,True,1,True
Force India,OCO,12.0,SOFT,1.0,84629000000,11.0,True,1,True
Force India,OCO,13.0,SOFT,1.0,84525000000,12.0,True,1,True
Force India,OCO,14.0,SOFT,1.0,84685000000,13.0,True,1,True
Force India,OCO,15.0,SOFT,1.0,84527000000,14.0,True,1,True
Force India,OCO,16.0,SOFT,1.0,84173000000,15.0,True,1,True
Force India,OCO,17.0,SOFT,1.0,84246000000,16.0,True,1,True
Force India,OCO,18.0,SOFT,1.0,84109000000,17.0,True,1,True
Force India,OCO,19.0,SOFT,1.0,83893000000,18.0,True,1,True
Force India,OCO,20.0,SOFT,1.0,83557000000,19.0,True,1,True
Force India,OCO,21.0,SOFT,1.0,83687000000,20.0,True,1,True
Force India,OCO,22.0,SOFT,1.0,83405000000,21.0,True,1,True
Force India,OCO,23.0,SOFT,1.0,83350000000,22.0,True,1,True
Force India,OCO,24.0,SOFT,1.0,83460000000,23.0,True,1,True
Force India,OCO,25.0,SOFT,1.0,83716000000,24.0,True,1,True
Force India,OCO,26.0,SOFT,1.0,83340000000,25.0,True,1,True
Force India,OCO,27.0,SOFT,1.0,83448000000,26.0,True,1,True
Force India,OCO,28.0,SOFT,1.0,83585000000,27.0,True,1,True
Force India,OCO,29.0,SOFT,1.0,87102000000,28.0,True,1,False
Force India,OCO,30.0,MEDIUM,2.0,127590000000,1.0,True,1,False
Force India,OCO,31.0,MEDIUM,2.0,82922000000,2.0,True,1,True
Force India,OCO,32.0,MEDIUM,2.0,82666000000,3.0,True,1,True
Force India,OCO,33.0,MEDIUM,2.0,83343000000,4.0,True,1,True
Force India,OCO,34.0,MEDIUM,2.0,84285000000,5.0,True,1,True
Force India,OCO,35.0,MEDIUM,2.0,82282000000,6.0,True,1,True
Force India,OCO,36.0,MEDIUM,2.0,82117000000,7.0,True,1,True
Force India,OCO,37.0,MEDIUM,2.0,84816000000,8.0,True,1,True
Force India,OCO,38.0,MEDIUM,2.0,82319000000,9.0,True,1,True
