['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,RIC,2.0,SOFT,1.0,None,4.0,False,4,False
Red Bull Racing,RIC,3.0,SOFT,1.0,133445000000,5.0,False,4,False
Red Bull Racing,RIC,4.0,SOFT,1.0,128545000000,6.0,False,4,False
Red Bull Racing,RIC,5.0,SOFT,1.0,130178000000,7.0,False,4,False
Red Bull Racing,RIC,6.0,SOFT,1.0,130561000000,8.0,False,4,False
Red Bull Racing,RIC,7.0,SOFT,1.0,87165000000,9.0,False,1,False
Red Bull Racing,RIC,8.0,SOFT,1.0,83567000000,10.0,False,1,True
Red Bull Racing,RIC,9.0,SOFT,1.0,82746000000,11.0,False,1,True
Red Bull Racing,RIC,10.0,SOFT,1.0,82555000000,12.0,False,1,True
Red Bull Racing,RIC,11.0,SOFT,1.0,82573000000,13.0,False,1,True
Red Bull Racing,RIC,12.0,SOFT,1.0,82345000000,14.0,False,1,True
Red Bull Racing,RIC,13.0,SOFT,1.0,82243000000,15.0,False,1,True
Red Bull Racing,RIC,14.0,SOFT,1.0,82595000000,16.0,False,1,True
Red Bull Racing,RIC,15.0,SOFT,1.0,82454000000,17.0,False,1,True
Red Bull Racing,RIC,16.0,SOFT,1.0,82368000000,18.0,False,1,True
Red Bull Racing,RIC,17.0,SOFT,1.0,82497000000,19.0,False,1,True
Red Bull Racing,RIC,18.0,SOFT,1.0,82314000000,20.0,False,1,True
Red Bull Racing,RIC,19.0,SOFT,1.0,82283000000,21.0,False,1,True
Red Bull Racing,RIC,20.0,SOFT,1.0,82115000000,22.0,False,1,True
Red Bull Racing,RIC,21.0,SOFT,1.0,81910000000,23.0,False,1,True
Red Bull Racing,RIC,22.0,SOFT,1.0,82311000000,24.0,False,1,True
Red Bull Racing,RIC,23.0,SOFT,1.0,81895000000,25.0,False,1,True
Red Bull Racing,RIC,24.0,SOFT,1.0,81960000000,26.0,False,1,True
Red Bull Racing,RIC,25.0,SOFT,1.0,81736000000,27.0,False,1,True
Red Bull Racing,RIC,26.0,SOFT,1.0,82592000000,28.0,False,1,True
Red Bull Racing,RIC,27.0,SOFT,1.0,82008000000,29.0,False,1,True
Red Bull Racing,RIC,28.0,SOFT,1.0,82041000000,30.0,False,1,True
Red Bull Racing,RIC,29.0,SOFT,1.0,82459000000,31.0,False,1,True
Red Bull Racing,RIC,30.0,SOFT,1.0,81403000000,32.0,False,1,True
Red Bull Racing,RIC,31.0,SOFT,1.0,81285000000,33.0,False,1,True
Red Bull Racing,RIC,32.0,SOFT,1.0,81312000000,34.0,False,1,True
Red Bull Racing,RIC,33.0,SOFT,1.0,84538000000,35.0,False,1,False
Red Bull Racing,RIC,34.0,MEDIUM,2.0,99339000000,1.0,True,1,False
Red Bull Racing,RIC,35.0,MEDIUM,2.0,80850000000,2.0,True,1,True
Red Bull Racing,RIC,36.0,MEDIUM,2.0,82436000000,3.0,True,1,True
Red Bull Racing,RIC,37.0,MEDIUM,2.0,81170000000,4.0,True,1,True
Red Bull Racing,RIC,38.0,MEDIUM,2.0,81413000000,5.0,True,1,True
Red Bull Racing,RIC,39.0,MEDIUM,2.0,80805000000,6.0,True,1,True
Red Bull Racing,RIC,40.0,MEDIUM,2.0,82254000000,7.0,True,26,False
Red Bull Racing,RIC,41.0,MEDIUM,2.0,122589000000,8.0,True,6,False
