['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Williams,STR,2.0,SOFT,1.0,None,1.0,True,4,False
Williams,STR,3.0,SOFT,1.0,132536000000,2.0,True,4,False
Williams,STR,4.0,SOFT,1.0,132029000000,3.0,True,4,False
Williams,STR,5.0,SOFT,1.0,129024000000,4.0,True,4,False
Williams,STR,6.0,SOFT,1.0,123498000000,5.0,True,4,False
Williams,STR,7.0,SOFT,1.0,88147000000,6.0,True,1,False
Williams,STR,8.0,SOFT,1.0,86534000000,7.0,True,1,True
Williams,STR,9.0,SOFT,1.0,85309000000,8.0,True,1,True
Williams,STR,10.0,SOFT,1.0,84972000000,9.0,True,1,True
Williams,STR,11.0,SOFT,1.0,85053000000,10.0,True,1,True
Williams,STR,12.0,SOFT,1.0,84877000000,11.0,True,1,True
Williams,STR,13.0,SOFT,1.0,84635000000,12.0,True,1,True
Williams,STR,14.0,SOFT,1.0,84703000000,13.0,True,1,True
Williams,STR,15.0,SOFT,1.0,84549000000,14.0,True,1,True
Williams,STR,16.0,SOFT,1.0,84245000000,15.0,True,1,True
Williams,STR,17.0,SOFT,1.0,84694000000,16.0,True,1,True
Williams,STR,18.0,SOFT,1.0,84340000000,17.0,True,1,True
Williams,STR,19.0,SOFT,1.0,84354000000,18.0,True,1,True
Williams,STR,20.0,SOFT,1.0,87849000000,19.0,True,1,False
Williams,STR,21.0,MEDIUM,2.0,101230000000,1.0,True,1,False
Williams,STR,22.0,MEDIUM,2.0,83280000000,2.0,True,1,True
Williams,STR,23.0,MEDIUM,2.0,85187000000,3.0,True,1,True
Williams,STR,24.0,MEDIUM,2.0,83537000000,4.0,True,1,True
Williams,STR,25.0,MEDIUM,2.0,83001000000,5.0,True,1,True
Williams,STR,26.0,MEDIUM,2.0,83139000000,6.0,True,1,True
Williams,STR,27.0,MEDIUM,2.0,83000000000,7.0,True,1,True
Williams,STR,28.0,MEDIUM,2.0,83128000000,8.0,True,1,True
Williams,STR,29.0,MEDIUM,2.0,83177000000,9.0,True,1,True
Williams,STR,30.0,MEDIUM,2.0,83093000000,10.0,True,1,True
Williams,STR,31.0,MEDIUM,2.0,83118000000,11.0,True,1,True
Williams,STR,32.0,MEDIUM,2.0,83073000000,12.0,True,1,True
Williams,STR,33.0,MEDIUM,2.0,86133000000,13.0,True,1,True
Williams,STR,34.0,MEDIUM,2.0,83113000000,14.0,True,1,True
Williams,STR,35.0,MEDIUM,2.0,84069000000,15.0,True,1,True
Williams,STR,36.0,MEDIUM,2.0,84664000000,16.0,True,1,True
Williams,STR,37.0,MEDIUM,2.0,85055000000,17.0,True,1,True
Williams,STR,38.0,MEDIUM,2.0,83153000000,18.0,True,1,True
Williams,STR,39.0,MEDIUM,2.0,82891000000,19.0,True,2,True
Williams,STR,40.0,MEDIUM,2.0,121631000000,20.0,True,26,False
Williams,STR,41.0,MEDIUM,2.0,115115000000,21.0,True,672,False
Williams,STR,42.0,MEDIUM,2.0,86657000000,22.0,True,1,True
Williams,STR,43.0,MEDIUM,2.0,84367000000,23.0,True,1,True
Williams,STR,44.0,MEDIUM,2.0,82859000000,24.0,True,1,True
Williams,STR,45.0,MEDIUM,2.0,83035000000,25.0,True,1,True
Williams,STR,46.0,MEDIUM,2.0,82478000000,26.0,True,1,True
Williams,STR,47.0,MEDIUM,2.0,82598000000,27.0,True,1,True
Williams,STR,48.0,MEDIUM,2.0,82629000000,28.0,True,1,True
Williams,STR,49.0,MEDIUM,2.0,83645000000,29.0,True,1,True
Williams,STR,50.0,MEDIUM,2.0,82475000000,30.0,True,1,True
Williams,STR,51.0,MEDIUM,2.0,82369000000,31.0,True,1,True
Williams,STR,52.0,MEDIUM,2.0,82419000000,32.0,True,1,True
Williams,STR,53.0,MEDIUM,2.0,82185000000,33.0,True,1,True
Williams,STR,54.0,MEDIUM,2.0,82205000000,34.0,True,1,True
Williams,STR,55.0,MEDIUM,2.0,82202000000,35.0,True,1,True
Williams,STR,56.0,MEDIUM,2.0,82421000000,36.0,True,1,True
Williams,STR,57.0,MEDIUM,2.0,83184000000,37.0,True,1,True
Williams,STR,58.0,MEDIUM,2.0,82627000000,38.0,True,1,True
Williams,STR,59.0,MEDIUM,2.0,82475000000,39.0,True,1,True
Williams,STR,60.0,MEDIUM,2.0,82095000000,40.0,True,1,True
Williams,STR,61.0,MEDIUM,2.0,83815000000,41.0,True,1,True
Williams,STR,62.0,MEDIUM,2.0,82751000000,42.0,True,1,True
Williams,STR,63.0,MEDIUM,2.0,82551000000,43.0,True,1,True
Williams,STR,64.0,MEDIUM,2.0,82894000000,44.0,True,1,True
