['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Red Bull Racing,VER,2.0,SOFT,1.0,None,4.0,False,4,False
Red Bull Racing,VER,3.0,SOFT,1.0,133094000000,5.0,False,4,False
Red Bull Racing,VER,4.0,SOFT,1.0,127521000000,6.0,False,4,False
Red Bull Racing,VER,5.0,SOFT,1.0,131713000000,7.0,False,4,False
Red Bull Racing,VER,6.0,SOFT,1.0,130817000000,8.0,False,4,False
Red Bull Racing,VER,7.0,SOFT,1.0,85139000000,9.0,False,1,False
Red Bull Racing,VER,8.0,SOFT,1.0,83711000000,10.0,False,1,True
Red Bull Racing,VER,9.0,SOFT,1.0,83025000000,11.0,False,1,True
Red Bull Racing,VER,10.0,SOFT,1.0,83065000000,12.0,False,1,True
Red Bull Racing,VER,11.0,SOFT,1.0,82627000000,13.0,False,1,True
Red Bull Racing,VER,12.0,SOFT,1.0,82552000000,14.0,False,1,True
Red Bull Racing,VER,13.0,SOFT,1.0,82611000000,15.0,False,1,True
Red Bull Racing,VER,14.0,SOFT,1.0,82357000000,16.0,False,1,True
Red Bull Racing,VER,15.0,SOFT,1.0,82242000000,17.0,False,1,True
Red Bull Racing,VER,16.0,SOFT,1.0,82104000000,18.0,False,1,True
Red Bull Racing,VER,17.0,SOFT,1.0,82115000000,19.0,False,1,True
Red Bull Racing,VER,18.0,SOFT,1.0,82294000000,20.0,False,1,True
Red Bull Racing,VER,19.0,SOFT,1.0,81964000000,21.0,False,1,True
Red Bull Racing,VER,20.0,SOFT,1.0,81924000000,22.0,False,1,True
Red Bull Racing,VER,21.0,SOFT,1.0,81709000000,23.0,False,1,True
Red Bull Racing,VER,22.0,SOFT,1.0,81798000000,24.0,False,1,True
Red Bull Racing,VER,23.0,SOFT,1.0,81909000000,25.0,False,1,True
Red Bull Racing,VER,24.0,SOFT,1.0,82241000000,26.0,False,1,True
Red Bull Racing,VER,25.0,SOFT,1.0,81290000000,27.0,False,1,True
Red Bull Racing,VER,26.0,SOFT,1.0,81192000000,28.0,False,1,True
Red Bull Racing,VER,27.0,SOFT,1.0,81370000000,29.0,False,1,True
Red Bull Racing,VER,28.0,SOFT,1.0,80603000000,30.0,False,1,True
Red Bull Racing,VER,29.0,SOFT,1.0,81396000000,31.0,False,1,True
Red Bull Racing,VER,30.0,SOFT,1.0,81372000000,32.0,False,1,True
Red Bull Racing,VER,31.0,SOFT,1.0,81366000000,33.0,False,1,True
Red Bull Racing,VER,32.0,SOFT,1.0,81232000000,34.0,False,1,True
Red Bull Racing,VER,33.0,SOFT,1.0,81501000000,35.0,False,1,True
Red Bull Racing,VER,34.0,SOFT,1.0,84621000000,36.0,False,1,False
Red Bull Racing,VER,35.0,MEDIUM,2.0,99586000000,1.0,True,1,False
Red Bull Racing,VER,36.0,MEDIUM,2.0,80982000000,2.0,True,1,True
Red Bull Racing,VER,37.0,MEDIUM,2.0,80825000000,3.0,True,1,True
Red Bull Racing,VER,38.0,MEDIUM,2.0,81191000000,4.0,True,1,True
Red Bull Racing,VER,39.0,MEDIUM,2.0,80720000000,5.0,True,1,True
Red Bull Racing,VER,40.0,MEDIUM,2.0,81044000000,6.0,True,2,True
Red Bull Racing,VER,41.0,MEDIUM,2.0,121224000000,7.0,True,26,False
Red Bull Racing,VER,42.0,MEDIUM,2.0,115380000000,8.0,True,672,False
Red Bull Racing,VER,43.0,MEDIUM,2.0,81016000000,9.0,True,1,True
Red Bull Racing,VER,44.0,MEDIUM,2.0,80746000000,10.0,True,1,True
Red Bull Racing,VER,45.0,MEDIUM,2.0,80681000000,11.0,True,1,True
Red Bull Racing,VER,46.0,MEDIUM,2.0,80446000000,12.0,True,1,True
Red Bull Racing,VER,47.0,MEDIUM,2.0,80477000000,13.0,True,1,True
Red Bull Racing,VER,48.0,MEDIUM,2.0,80805000000,14.0,True,1,True
Red Bull Racing,VER,49.0,MEDIUM,2.0,80336000000,15.0,True,1,True
Red Bull Racing,VER,50.0,MEDIUM,2.0,79823000000,16.0,True,1,True
Red Bull Racing,VER,51.0,MEDIUM,2.0,80442000000,17.0,True,1,True
Red Bull Racing,VER,52.0,MEDIUM,2.0,79877000000,18.0,True,1,True
Red Bull Racing,VER,53.0,MEDIUM,2.0,80355000000,19.0,True,1,True
Red Bull Racing,VER,54.0,MEDIUM,2.0,79777000000,20.0,True,1,True
Red Bull Racing,VER,55.0,MEDIUM,2.0,79731000000,21.0,True,1,True
Red Bull Racing,VER,56.0,MEDIUM,2.0,79508000000,22.0,True,1,True
Red Bull Racing,VER,57.0,MEDIUM,2.0,79515000000,23.0,True,1,True
Red Bull Racing,VER,58.0,MEDIUM,2.0,79599000000,24.0,True,1,True
Red Bull Racing,VER,59.0,MEDIUM,2.0,79656000000,25.0,True,1,True
Red Bull Racing,VER,60.0,MEDIUM,2.0,79707000000,26.0,True,1,True
Red Bull Racing,VER,61.0,MEDIUM,2.0,79557000000,27.0,True,1,True
Red Bull Racing,VER,62.0,MEDIUM,2.0,79422000000,28.0,True,1,True
Red Bull Racing,VER,63.0,MEDIUM,2.0,79454000000,29.0,True,1,True
Red Bull Racing,VER,64.0,MEDIUM,2.0,79786000000,30.0,True,1,True
Red Bull Racing,VER,65.0,MEDIUM,2.0,80194000000,31.0,True,1,True
Red Bull Racing,VER,66.0,MEDIUM,2.0,81202000000,32.0,True,1,True
