['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Mercedes,BOT,2,SUPERSOFT,1,101942000000,5.0,False,1,True
Mercedes,BOT,3,SUPERSOFT,1,101195000000,6.0,False,2,True
Mercedes,BOT,4,SUPERSOFT,1,101270000000,7.0,False,1,True
Mercedes,BOT,5,SUPERSOFT,1,101114000000,8.0,False,1,True
Mercedes,BOT,6,SUPERSOFT,1,101034000000,9.0,False,1,True
Mercedes,BOT,7,SUPERSOFT,1,100920000000,10.0,False,1,True
Mercedes,BOT,8,SUPERSOFT,1,100674000000,11.0,False,1,True
Mercedes,BOT,9,SUPERSOFT,1,100782000000,12.0,False,2,True
Mercedes,BOT,10,SUPERSOFT,1,104039000000,13.0,False,26,False
Mercedes,BOT,11,SUPERSOFT,1,137376000000,14.0,False,6,False
Mercedes,BOT,12,SUPERSOFT,1,108025000000,15.0,False,67,False
Mercedes,BOT,13,SUPERSOFT,1,100828000000,16.0,False,1,True
Mercedes,BOT,14,SUPERSOFT,1,102919000000,17.0,False,1,True
Mercedes,BOT,15,SUPERSOFT,1,100305000000,18.0,False,1,True
Mercedes,BOT,16,SUPERSOFT,1,100123000000,19.0,False,1,True
Mercedes,BOT,17,SUPERSOFT,1,100057000000,20.0,False,1,True
Mercedes,BOT,18,SUPERSOFT,1,100424000000,21.0,False,1,True
Mercedes,BOT,19,SUPERSOFT,1,101277000000,22.0,False,1,True
Mercedes,BOT,20,SUPERSOFT,1,101000000000,23.0,False,1,True
Mercedes,BOT,21,SUPERSOFT,1,101209000000,24.0,False,1,True
Mercedes,BOT,22,SUPERSOFT,1,100824000000,25.0,False,1,True
Mercedes,BOT,23,SUPERSOFT,1,100318000000,26.0,False,1,False
Mercedes,BOT,24,SOFT,2,119447000000,1.0,True,1,False
Mercedes,BOT,25,SOFT,2,100090000000,2.0,True,1,True
Mercedes,BOT,26,SOFT,2,99500000000,3.0,True,1,True
Mercedes,BOT,27,SOFT,2,99819000000,4.0,True,1,True
Mercedes,BOT,28,SOFT,2,99855000000,5.0,True,1,True
Mercedes,BOT,29,SOFT,2,99954000000,6.0,True,1,True
Mercedes,BOT,30,SOFT,2,99886000000,7.0,True,1,True
Mercedes,BOT,31,SOFT,2,100056000000,8.0,True,1,True
Mercedes,BOT,32,SOFT,2,99830000000,9.0,True,1,True
Mercedes,BOT,33,SOFT,2,99337000000,10.0,True,1,True
Mercedes,BOT,34,SOFT,2,None,11.0,True,1,False
Mercedes,BOT,35,SOFT,2,99336000000,12.0,True,1,True
Mercedes,BOT,36,SOFT,2,99968000000,13.0,True,1,True
Mercedes,BOT,37,SOFT,2,99171000000,14.0,True,1,True
Mercedes,BOT,38,SOFT,2,100385000000,15.0,True,1,True
Mercedes,BOT,39,SOFT,2,98811000000,16.0,True,1,True
Mercedes,BOT,40,SOFT,2,101442000000,17.0,True,1,True
Mercedes,BOT,41,SOFT,2,99702000000,18.0,True,1,True
Mercedes,BOT,42,SOFT,2,98905000000,19.0,True,1,True
Mercedes,BOT,43,SOFT,2,99397000000,20.0,True,1,True
Mercedes,BOT,44,SOFT,2,100243000000,21.0,True,1,True
Mercedes,BOT,45,SOFT,2,99811000000,22.0,True,1,True
Mercedes,BOT,46,SOFT,2,98470000000,23.0,True,1,True
Mercedes,BOT,47,SOFT,2,98613000000,24.0,True,1,True
Mercedes,BOT,48,SOFT,2,98697000000,25.0,True,1,True
Mercedes,BOT,49,SOFT,2,99294000000,26.0,True,1,True
Mercedes,BOT,50,SOFT,2,98958000000,27.0,True,1,True
Mercedes,BOT,51,SOFT,2,98953000000,28.0,True,1,True
Mercedes,BOT,52,SOFT,2,99616000000,29.0,True,1,True
Mercedes,BOT,53,SOFT,2,99843000000,30.0,True,1,True
Mercedes,BOT,54,SOFT,2,100459000000,31.0,True,1,True
Mercedes,BOT,55,SOFT,2,103336000000,32.0,True,1,True
Mercedes,BOT,56,SOFT,2,102673000000,33.0,True,1,True
