['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Toro Rosso,GAS,2,SUPERSOFT,1,105509000000,2.0,True,1,True
Toro Rosso,GAS,3,SUPERSOFT,1,104869000000,3.0,True,2,True
Toro Rosso,GAS,4,SUPERSOFT,1,105102000000,4.0,True,1,True
Toro Rosso,GAS,5,SUPERSOFT,1,103659000000,5.0,True,1,True
Toro Rosso,GAS,6,SUPERSOFT,1,103928000000,6.0,True,1,True
Toro Rosso,GAS,7,SUPERSOFT,1,103648000000,7.0,True,1,True
Toro Rosso,GAS,8,SUPERSOFT,1,104067000000,8.0,True,1,True
Toro Rosso,GAS,9,SUPERSOFT,1,103936000000,9.0,True,2,True
Toro Rosso,GAS,10,SUPERSOFT,1,115332000000,10.0,True,26,False
Toro Rosso,GAS,11,SOFT,2,145175000000,1.0,True,67,False
Toro Rosso,GAS,12,SOFT,2,100754000000,2.0,True,1,True
Toro Rosso,GAS,13,SOFT,2,101160000000,3.0,True,1,True
Toro Rosso,GAS,14,SOFT,2,101594000000,4.0,True,1,True
Toro Rosso,GAS,15,SOFT,2,101791000000,5.0,True,1,True
Toro Rosso,GAS,16,SOFT,2,102161000000,6.0,True,1,True
Toro Rosso,GAS,17,SOFT,2,102144000000,7.0,True,1,True
Toro Rosso,GAS,18,SOFT,2,102211000000,8.0,True,1,True
Toro Rosso,GAS,19,SOFT,2,102249000000,9.0,True,1,True
Toro Rosso,GAS,20,SOFT,2,102835000000,10.0,True,1,True
Toro Rosso,GAS,21,SOFT,2,102561000000,11.0,True,1,True
Toro Rosso,GAS,22,SOFT,2,102609000000,12.0,True,1,True
Toro Rosso,GAS,23,SOFT,2,103670000000,13.0,True,1,True
Toro Rosso,GAS,24,SOFT,2,102295000000,14.0,True,1,True
Toro Rosso,GAS,25,SOFT,2,103757000000,15.0,True,1,True
Toro Rosso,GAS,26,SOFT,2,102750000000,16.0,True,1,True
Toro Rosso,GAS,27,SOFT,2,103258000000,17.0,True,1,True
Toro Rosso,GAS,28,SOFT,2,103817000000,18.0,True,1,True
Toro Rosso,GAS,29,SOFT,2,102230000000,19.0,True,1,True
Toro Rosso,GAS,30,SOFT,2,102772000000,20.0,True,1,True
Toro Rosso,GAS,31,SOFT,2,103084000000,21.0,True,1,True
Toro Rosso,GAS,32,SOFT,2,102711000000,22.0,True,1,True
Toro Rosso,GAS,33,SOFT,2,102484000000,23.0,True,1,True
Toro Rosso,GAS,34,SOFT,2,103066000000,24.0,True,1,True
Toro Rosso,GAS,35,SOFT,2,106344000000,25.0,True,1,True
Toro Rosso,GAS,36,SOFT,2,104168000000,26.0,True,1,False
Toro Rosso,GAS,37,ULTRASOFT,3,120630000000,1.0,True,1,False
Toro Rosso,GAS,38,ULTRASOFT,3,99646000000,2.0,True,1,True
Toro Rosso,GAS,39,ULTRASOFT,3,100211000000,3.0,True,1,True
Toro Rosso,GAS,40,ULTRASOFT,3,100654000000,4.0,True,1,True
Toro Rosso,GAS,41,ULTRASOFT,3,100627000000,5.0,True,1,True
Toro Rosso,GAS,42,ULTRASOFT,3,100804000000,6.0,True,1,True
Toro Rosso,GAS,43,ULTRASOFT,3,100657000000,7.0,True,1,True
Toro Rosso,GAS,44,ULTRASOFT,3,100979000000,8.0,True,1,True
Toro Rosso,GAS,45,ULTRASOFT,3,100914000000,9.0,True,1,True
Toro Rosso,GAS,46,ULTRASOFT,3,101072000000,10.0,True,1,True
Toro Rosso,GAS,47,ULTRASOFT,3,101294000000,11.0,True,1,True
Toro Rosso,GAS,48,ULTRASOFT,3,101176000000,12.0,True,1,True
Toro Rosso,GAS,49,ULTRASOFT,3,102212000000,13.0,True,1,True
Toro Rosso,GAS,50,ULTRASOFT,3,101926000000,14.0,True,1,True
Toro Rosso,GAS,51,ULTRASOFT,3,100686000000,15.0,True,1,True
Toro Rosso,GAS,52,ULTRASOFT,3,101225000000,16.0,True,1,True
Toro Rosso,GAS,53,ULTRASOFT,3,101260000000,17.0,True,1,True
Toro Rosso,GAS,54,ULTRASOFT,3,101165000000,18.0,True,1,True
Toro Rosso,GAS,55,ULTRASOFT,3,102132000000,19.0,True,1,True
