['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Haas F1 Team,MAG,2,SUPERSOFT,1,104273000000,2.0,True,1,True
Haas F1 Team,MAG,3,SUPERSOFT,1,103180000000,3.0,True,2,True
Haas F1 Team,MAG,4,SUPERSOFT,1,103367000000,4.0,True,1,True
Haas F1 Team,MAG,5,SUPERSOFT,1,104372000000,5.0,True,1,True
Haas F1 Team,MAG,6,SUPERSOFT,1,102512000000,6.0,True,1,True
Haas F1 Team,MAG,7,SUPERSOFT,1,102877000000,7.0,True,1,True
Haas F1 Team,MAG,8,SUPERSOFT,1,103130000000,8.0,True,1,True
Haas F1 Team,MAG,9,SUPERSOFT,1,102899000000,9.0,True,2,True
Haas F1 Team,MAG,10,SUPERSOFT,1,117326000000,10.0,True,26,False
Haas F1 Team,MAG,11,SUPERSOFT,1,134061000000,11.0,True,67,False
Haas F1 Team,MAG,12,SUPERSOFT,1,101827000000,12.0,True,1,True
Haas F1 Team,MAG,13,SUPERSOFT,1,101754000000,13.0,True,1,True
Haas F1 Team,MAG,14,SUPERSOFT,1,102183000000,14.0,True,1,True
Haas F1 Team,MAG,15,SUPERSOFT,1,101963000000,15.0,True,1,True
Haas F1 Team,MAG,16,SUPERSOFT,1,102712000000,16.0,True,1,True
Haas F1 Team,MAG,17,SUPERSOFT,1,102554000000,17.0,True,1,True
Haas F1 Team,MAG,18,SUPERSOFT,1,102110000000,18.0,True,1,True
Haas F1 Team,MAG,19,SUPERSOFT,1,102740000000,19.0,True,1,True
Haas F1 Team,MAG,20,SUPERSOFT,1,102584000000,20.0,True,1,True
Haas F1 Team,MAG,21,SUPERSOFT,1,103110000000,21.0,True,1,True
Haas F1 Team,MAG,22,SUPERSOFT,1,103194000000,22.0,True,1,True
Haas F1 Team,MAG,23,SUPERSOFT,1,102372000000,23.0,True,1,True
Haas F1 Team,MAG,24,SUPERSOFT,1,102831000000,24.0,True,1,True
Haas F1 Team,MAG,25,SUPERSOFT,1,102822000000,25.0,True,1,True
Haas F1 Team,MAG,26,SUPERSOFT,1,101371000000,26.0,True,1,True
Haas F1 Team,MAG,27,SUPERSOFT,1,101452000000,27.0,True,1,True
Haas F1 Team,MAG,28,SUPERSOFT,1,101766000000,28.0,True,1,True
Haas F1 Team,MAG,29,SUPERSOFT,1,102285000000,29.0,True,1,True
Haas F1 Team,MAG,30,SUPERSOFT,1,102295000000,30.0,True,1,False
Haas F1 Team,MAG,31,SOFT,2,119287000000,1.0,True,1,False
Haas F1 Team,MAG,32,SOFT,2,98963000000,2.0,True,1,True
Haas F1 Team,MAG,33,SOFT,2,99964000000,3.0,True,1,True
Haas F1 Team,MAG,34,SOFT,2,100233000000,4.0,True,1,True
Haas F1 Team,MAG,35,SOFT,2,100613000000,5.0,True,1,True
Haas F1 Team,MAG,36,SOFT,2,100355000000,6.0,True,1,True
Haas F1 Team,MAG,37,SOFT,2,100454000000,7.0,True,1,True
Haas F1 Team,MAG,38,SOFT,2,100548000000,8.0,True,1,True
Haas F1 Team,MAG,39,SOFT,2,100377000000,9.0,True,1,True
Haas F1 Team,MAG,40,SOFT,2,100030000000,10.0,True,1,True
Haas F1 Team,MAG,41,SOFT,2,99995000000,11.0,True,1,True
Haas F1 Team,MAG,42,SOFT,2,100124000000,12.0,True,1,True
Haas F1 Team,MAG,43,SOFT,2,99849000000,13.0,True,1,True
Haas F1 Team,MAG,44,SOFT,2,100035000000,14.0,True,1,True
Haas F1 Team,MAG,45,SOFT,2,99944000000,15.0,True,1,True
Haas F1 Team,MAG,46,SOFT,2,100340000000,16.0,True,1,True
Haas F1 Team,MAG,47,SOFT,2,100098000000,17.0,True,1,True
Haas F1 Team,MAG,48,SOFT,2,100041000000,18.0,True,1,True
Haas F1 Team,MAG,49,SOFT,2,99953000000,19.0,True,1,True
Haas F1 Team,MAG,50,SOFT,2,99959000000,20.0,True,1,True
Haas F1 Team,MAG,51,SOFT,2,100430000000,21.0,True,1,True
Haas F1 Team,MAG,52,SOFT,2,100578000000,22.0,True,1,True
Haas F1 Team,MAG,53,SOFT,2,100566000000,23.0,True,1,True
Haas F1 Team,MAG,54,SOFT,2,100552000000,24.0,True,1,True
Haas F1 Team,MAG,55,SOFT,2,100830000000,25.0,True,1,True
Haas F1 Team,MAG,56,SOFT,2,103413000000,26.0,True,1,True
