['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,OCO,2,ULTRASOFT,1,103307000000,5.0,False,1,True
Racing Point,OCO,3,ULTRASOFT,1,103063000000,6.0,False,2,True
Racing Point,OCO,4,ULTRASOFT,1,104144000000,7.0,False,1,True
Racing Point,OCO,5,ULTRASOFT,1,102689000000,8.0,False,1,True
Racing Point,OCO,6,ULTRASOFT,1,102863000000,9.0,False,1,True
Racing Point,OCO,7,ULTRASOFT,1,103761000000,10.0,False,1,True
Racing Point,OCO,8,ULTRASOFT,1,103204000000,11.0,False,1,True
Racing Point,OCO,9,ULTRASOFT,1,103042000000,12.0,False,2,True
Racing Point,OCO,10,ULTRASOFT,1,116148000000,13.0,False,26,False
Racing Point,OCO,11,ULTRASOFT,1,135171000000,14.0,False,67,False
Racing Point,OCO,12,ULTRASOFT,1,101718000000,15.0,False,1,True
Racing Point,OCO,13,ULTRASOFT,1,101882000000,16.0,False,1,True
Racing Point,OCO,14,ULTRASOFT,1,101975000000,17.0,False,1,True
Racing Point,OCO,15,ULTRASOFT,1,102182000000,18.0,False,1,True
Racing Point,OCO,16,ULTRASOFT,1,102403000000,19.0,False,1,True
Racing Point,OCO,17,ULTRASOFT,1,102443000000,20.0,False,1,True
Racing Point,OCO,18,ULTRASOFT,1,102375000000,21.0,False,1,True
Racing Point,OCO,19,ULTRASOFT,1,102896000000,22.0,False,1,True
Racing Point,OCO,20,ULTRASOFT,1,102650000000,23.0,False,1,True
Racing Point,OCO,21,ULTRASOFT,1,102779000000,24.0,False,1,True
Racing Point,OCO,22,ULTRASOFT,1,102957000000,25.0,False,1,False
Racing Point,OCO,23,SOFT,2,121780000000,1.0,True,1,False
Racing Point,OCO,24,SOFT,2,101770000000,2.0,True,1,True
Racing Point,OCO,25,SOFT,2,102781000000,3.0,True,1,True
Racing Point,OCO,26,SOFT,2,101953000000,4.0,True,1,True
Racing Point,OCO,27,SOFT,2,101412000000,5.0,True,1,True
Racing Point,OCO,28,SOFT,2,101517000000,6.0,True,1,True
Racing Point,OCO,29,SOFT,2,100989000000,7.0,True,1,True
Racing Point,OCO,30,SOFT,2,101277000000,8.0,True,1,True
Racing Point,OCO,31,SOFT,2,100929000000,9.0,True,1,True
Racing Point,OCO,32,SOFT,2,101081000000,10.0,True,1,True
Racing Point,OCO,33,SOFT,2,100957000000,11.0,True,1,True
Racing Point,OCO,34,SOFT,2,100538000000,12.0,True,1,True
Racing Point,OCO,35,SOFT,2,100557000000,13.0,True,1,True
Racing Point,OCO,36,SOFT,2,100282000000,14.0,True,1,True
Racing Point,OCO,37,SOFT,2,100496000000,15.0,True,1,True
Racing Point,OCO,38,SOFT,2,100432000000,16.0,True,1,True
Racing Point,OCO,39,SOFT,2,100612000000,17.0,True,1,True
Racing Point,OCO,40,SOFT,2,100196000000,18.0,True,1,True
Racing Point,OCO,41,SOFT,2,100223000000,19.0,True,1,True
Racing Point,OCO,42,SOFT,2,100409000000,20.0,True,1,True
Racing Point,OCO,43,SOFT,2,100349000000,21.0,True,1,True
Racing Point,OCO,44,SOFT,2,100181000000,22.0,True,1,True
Racing Point,OCO,45,SOFT,2,99992000000,23.0,True,1,True
Racing Point,OCO,46,SOFT,2,100203000000,24.0,True,1,True
Racing Point,OCO,47,SOFT,2,100207000000,25.0,True,1,True
Racing Point,OCO,48,SOFT,2,100116000000,26.0,True,1,True
Racing Point,OCO,49,SOFT,2,100070000000,27.0,True,1,True
Racing Point,OCO,50,SOFT,2,100104000000,28.0,True,1,True
Racing Point,OCO,51,SOFT,2,100368000000,29.0,True,1,True
Racing Point,OCO,52,SOFT,2,100224000000,30.0,True,1,True
Racing Point,OCO,53,SOFT,2,100579000000,31.0,True,1,True
Racing Point,OCO,54,SOFT,2,100545000000,32.0,True,1,True
Racing Point,OCO,55,SOFT,2,100757000000,33.0,True,1,True
Racing Point,OCO,56,SOFT,2,103142000000,34.0,True,1,True
