['Team'],['Driver'],['LapNumber'],['Compound'],['Stint'],['LapTime'],['TyreLife'],['FreshTyre'],['TrackStatus'],['IsAccurate']
Racing Point,PER,2,ULTRASOFT,1,103615000000,5.0,False,1,True
Racing Point,PER,3,ULTRASOFT,1,103864000000,6.0,False,2,True
Racing Point,PER,4,ULTRASOFT,1,103312000000,7.0,False,1,True
Racing Point,PER,5,ULTRASOFT,1,102756000000,8.0,False,1,True
Racing Point,PER,6,ULTRASOFT,1,104215000000,9.0,False,1,True
Racing Point,PER,7,ULTRASOFT,1,102991000000,10.0,False,1,True
Racing Point,PER,8,ULTRASOFT,1,102895000000,11.0,False,1,True
Racing Point,PER,9,ULTRASOFT,1,102960000000,12.0,False,2,True
Racing Point,PER,10,ULTRASOFT,1,116989000000,13.0,False,26,False
Racing Point,PER,11,ULTRASOFT,1,133577000000,14.0,False,67,False
Racing Point,PER,12,ULTRASOFT,1,101656000000,15.0,False,1,True
Racing Point,PER,13,ULTRASOFT,1,101888000000,16.0,False,1,True
Racing Point,PER,14,ULTRASOFT,1,102474000000,17.0,False,1,True
Racing Point,PER,15,ULTRASOFT,1,102360000000,18.0,False,1,True
Racing Point,PER,16,ULTRASOFT,1,102526000000,19.0,False,1,True
Racing Point,PER,17,ULTRASOFT,1,102410000000,20.0,False,1,True
Racing Point,PER,18,ULTRASOFT,1,102382000000,21.0,False,1,True
Racing Point,PER,19,ULTRASOFT,1,102577000000,22.0,False,1,True
Racing Point,PER,20,ULTRASOFT,1,103114000000,23.0,False,1,True
Racing Point,PER,21,ULTRASOFT,1,103052000000,24.0,False,1,True
Racing Point,PER,22,ULTRASOFT,1,102870000000,25.0,False,1,True
Racing Point,PER,23,ULTRASOFT,1,102628000000,26.0,False,1,True
Racing Point,PER,24,ULTRASOFT,1,102980000000,27.0,False,1,True
Racing Point,PER,25,ULTRASOFT,1,103177000000,28.0,False,1,False
Racing Point,PER,26,SOFT,2,122613000000,1.0,True,1,False
Racing Point,PER,27,SOFT,2,101954000000,2.0,True,1,True
Racing Point,PER,28,SOFT,2,101701000000,3.0,True,1,True
Racing Point,PER,29,SOFT,2,101998000000,4.0,True,1,True
Racing Point,PER,30,SOFT,2,100885000000,5.0,True,1,True
Racing Point,PER,31,SOFT,2,102078000000,6.0,True,1,True
Racing Point,PER,32,SOFT,2,100966000000,7.0,True,1,True
Racing Point,PER,33,SOFT,2,100420000000,8.0,True,1,True
Racing Point,PER,34,SOFT,2,99944000000,9.0,True,1,True
Racing Point,PER,35,SOFT,2,99985000000,10.0,True,1,True
Racing Point,PER,36,SOFT,2,99569000000,11.0,True,1,True
Racing Point,PER,37,SOFT,2,None,12.0,True,1,False
Racing Point,PER,38,SOFT,2,100200000000,13.0,True,1,True
Racing Point,PER,39,SOFT,2,100356000000,14.0,True,1,True
Racing Point,PER,40,SOFT,2,99822000000,15.0,True,1,True
Racing Point,PER,41,SOFT,2,100052000000,16.0,True,1,True
Racing Point,PER,42,SOFT,2,100073000000,17.0,True,1,True
Racing Point,PER,43,SOFT,2,99885000000,18.0,True,1,True
Racing Point,PER,44,SOFT,2,100238000000,19.0,True,1,True
Racing Point,PER,45,SOFT,2,100132000000,20.0,True,1,True
Racing Point,PER,46,SOFT,2,100150000000,21.0,True,1,True
Racing Point,PER,47,SOFT,2,100060000000,22.0,True,1,True
Racing Point,PER,48,SOFT,2,99966000000,23.0,True,1,True
Racing Point,PER,49,SOFT,2,100109000000,24.0,True,1,True
Racing Point,PER,50,SOFT,2,99830000000,25.0,True,1,True
Racing Point,PER,51,SOFT,2,100414000000,26.0,True,1,True
Racing Point,PER,52,SOFT,2,100369000000,27.0,True,1,True
Racing Point,PER,53,SOFT,2,100499000000,28.0,True,1,True
Racing Point,PER,54,SOFT,2,100597000000,29.0,True,1,True
Racing Point,PER,55,SOFT,2,100753000000,30.0,True,1,True
Racing Point,PER,56,SOFT,2,102670000000,31.0,True,1,True
